Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Day,Model,Estimation_Method,Distribution
-0.020522166,-0.24495505,-0.56743366,-0.1054123,0.24858376,0.8320098,-0.080123335,0.71040213,-0.808977,1.0364277,44,Sequential RNN,MAP,t-Distribution
0.031542826,-0.16838968,-0.48141584,-0.053364806,0.21959412,0.7595149,-0.020863345,0.45190978,-0.8741698,1.1356419,45,Sequential RNN,MAP,t-Distribution
-0.011388881,-0.3756723,-0.5249611,-0.27792147,0.104638204,-0.024893146,-0.32569557,1.9812119,-0.64433944,1.0990218,46,Sequential RNN,MAP,t-Distribution
-0.010352677,-0.29767552,-0.55154127,-0.19611225,0.20516421,0.48839274,-0.18438104,1.220626,-0.7530447,1.0789245,47,Sequential RNN,MAP,t-Distribution
-0.027216932,-0.38763633,-0.61792475,-0.29002458,0.14757465,-0.026658805,-0.31476948,1.9371597,-0.6030244,1.1825209,48,Sequential RNN,MAP,t-Distribution
-0.006988527,-0.13517463,-0.5695483,-0.075847745,0.21576434,0.12958327,-0.05352212,0.5157104,-0.74526966,1.7252929,49,Sequential RNN,MAP,t-Distribution
0.026646458,-0.24863796,-0.6783056,-0.14267914,0.12939744,0.32246608,-0.13285977,0.9817873,-0.944246,1.6864312,50,Sequential RNN,MAP,t-Distribution
0.051985245,-0.23366009,-0.5088896,-0.13995261,0.12722673,0.48482758,-0.114024326,0.89466345,-0.838215,1.2760386,51,Sequential RNN,MAP,t-Distribution
-0.010353773,-0.3100695,-0.56283456,-0.25930256,0.16117752,-0.13069932,-0.29351258,1.6208682,-0.61339885,1.3981254,52,Sequential RNN,MAP,t-Distribution
0.026552096,-0.22617252,-0.5017674,-0.08514077,0.15953878,0.875411,-0.10161864,0.77225935,-0.934303,1.015241,53,Sequential RNN,MAP,t-Distribution
0.058619384,-0.22669323,-0.49861887,-0.13460603,0.10787798,0.569773,-0.1305041,0.9231425,-0.8332875,1.1642969,54,Sequential RNN,MAP,t-Distribution
-0.016164714,-0.28699917,-0.6849665,-0.13727596,0.18952492,0.5378191,-0.065567076,0.8100602,-0.94854134,1.6021106,55,Sequential RNN,MAP,t-Distribution
0.16477099,-0.07829248,-0.62315845,-0.031881716,0.14505063,0.21683612,0.036660936,0.10763595,-0.7533506,1.8157287,56,Sequential RNN,MAP,t-Distribution
-0.05977531,-0.01399496,-0.59716445,-0.03522879,0.24291036,-0.54738164,0.012253154,0.09364892,-0.21839629,2.123129,57,Sequential RNN,MAP,t-Distribution
-0.057682432,-0.25309205,-0.6807225,-0.16056262,0.17704996,-0.067047894,-0.16572231,1.0893204,-0.73387665,1.852336,58,Sequential RNN,MAP,t-Distribution
0.07188149,-0.25070703,-0.53328395,-0.15100476,0.109997004,0.54543775,-0.16009265,1.0386188,-0.8132062,1.1423595,59,Sequential RNN,MAP,t-Distribution
0.017334288,-0.25346676,-0.55846745,-0.19149987,0.14181776,-0.0156217655,-0.18041775,1.155373,-0.6941654,1.579114,60,Sequential RNN,MAP,t-Distribution
0.13163856,-0.1257182,-0.512801,-0.044857737,0.17669487,0.6654979,0.067530625,0.14804593,-0.7768537,1.2708228,61,Sequential RNN,MAP,t-Distribution
-0.043693744,-0.31959572,-0.6034095,-0.20232952,0.2417992,0.465596,-0.21001217,1.3373578,-0.8316825,1.1659702,62,Sequential RNN,MAP,t-Distribution
0.030234419,-0.22560157,-0.4734922,-0.12061324,0.10173907,0.4879015,-0.11859719,0.8818797,-0.80237716,1.2389268,63,Sequential RNN,MAP,t-Distribution
-0.017729089,-0.29071027,-0.57366645,-0.23691203,0.18223245,-0.20861956,-0.24676542,1.3887701,-0.64251465,1.6459149,64,Sequential RNN,MAP,t-Distribution
0.025428204,-0.102623284,-0.5857296,0.058637153,0.15939733,-0.3452648,-0.13462378,0.45327455,-0.34627986,1.8177841,65,Sequential RNN,MAP,t-Distribution
