Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Estimation_Method,Distribution,Model
28,0.45657468,2.6842768,1.4982184,1.0244876,0.8786388,5,5.0,MAP,t-Distribution,Sequential RNN
29,0.5051835,2.618876,1.5944091,1.1852206,0.7589308,5,5.0,MAP,t-Distribution,Sequential RNN
30,-0.20254931,2.3508067,1.356955,0.95999485,0.7362509,5,5.0,MAP,t-Distribution,Sequential RNN
31,-0.61196053,2.348809,1.4022399,1.024165,0.7012238,5,5.0,MAP,t-Distribution,Sequential RNN
32,1.0502838,2.4714618,1.3489584,0.9006126,0.83155686,5,5.0,MAP,t-Distribution,Sequential RNN
33,0.41608387,2.5552,1.599767,1.2181518,0.7077902,5,5.0,MAP,t-Distribution,Sequential RNN
34,1.1043588,2.8171735,1.6951668,1.2470193,0.83118904,5,5.0,MAP,t-Distribution,Sequential RNN
35,-0.0438343,2.6661518,1.6945732,1.3065091,0.719751,5,5.0,MAP,t-Distribution,Sequential RNN
36,0.22681825,2.290902,1.2196149,0.7917257,0.7936155,5,5.0,MAP,t-Distribution,Sequential RNN
37,0.81908834,2.2416453,1.2180798,0.80925137,0.7582631,5,5.0,MAP,t-Distribution,Sequential RNN
38,0.57866716,2.8741884,1.862531,1.4584587,0.7494417,5,5.0,MAP,t-Distribution,Sequential RNN
39,-0.50971496,2.6359913,1.6163064,1.2090279,0.7553885,5,5.0,MAP,t-Distribution,Sequential RNN
40,0.77866787,2.3431156,1.3613111,0.96916264,0.72732633,5,5.0,MAP,t-Distribution,Sequential RNN
41,-0.3065735,3.0625327,1.9878166,1.5585579,0.79615575,5,5.0,MAP,t-Distribution,Sequential RNN
42,0.48198968,2.6089838,1.571065,1.1565036,0.7688961,5,5.0,MAP,t-Distribution,Sequential RNN
43,0.22675735,2.6198254,1.6179459,1.2177792,0.74219805,5,5.0,MAP,t-Distribution,Sequential RNN
44,-1.0147082,3.041064,1.9103755,1.4587604,0.83762056,5,5.0,MAP,t-Distribution,Sequential RNN
45,0.41004425,2.5852077,1.4938962,1.058009,0.80844975,5,5.0,MAP,t-Distribution,Sequential RNN
46,0.8593981,2.091243,1.1462077,0.76874536,0.70008767,5,5.0,MAP,t-Distribution,Sequential RNN
47,-0.68167,2.4591527,1.4920095,1.105717,0.7164653,5,5.0,MAP,t-Distribution,Sequential RNN
48,0.21581197,2.6280136,1.5956808,1.1833506,0.7647581,5,5.0,MAP,t-Distribution,Sequential RNN
49,0.53948605,3.4143991,2.08748,1.5574872,0.98298925,5,5.0,MAP,t-Distribution,Sequential RNN
50,-0.49791896,3.100367,1.881456,1.3946035,0.90297616,5,5.0,MAP,t-Distribution,Sequential RNN
51,0.7188106,2.4972937,1.4190755,0.9884179,0.7987502,5,5.0,MAP,t-Distribution,Sequential RNN
52,-0.16235287,2.3608835,1.4184057,1.0419649,0.698193,5,5.0,MAP,t-Distribution,Sequential RNN
53,-0.6258014,2.642353,1.6199545,1.2115922,0.75739866,5,5.0,MAP,t-Distribution,Sequential RNN
54,-0.950477,2.3481493,1.3490795,0.9500349,0.74011666,5,5.0,MAP,t-Distribution,Sequential RNN
55,-0.21464342,3.2231967,1.8896158,1.3569622,0.9879244,5,5.0,MAP,t-Distribution,Sequential RNN
56,0.84180135,3.6556218,2.4826603,2.0141609,0.8689365,5,5.0,MAP,t-Distribution,Sequential RNN
57,0.65257406,3.4249017,2.1193845,1.59794,0.9671347,5,5.0,MAP,t-Distribution,Sequential RNN
58,0.033458974,2.8715518,1.6191747,1.1189554,0.927768,5,5.0,MAP,t-Distribution,Sequential RNN
59,0.17667332,2.4209821,1.4932122,1.122646,0.68729734,5,5.0,MAP,t-Distribution,Sequential RNN
60,0.052562527,2.2010465,1.1925308,0.7897134,0.7471141,5,5.0,MAP,t-Distribution,Sequential RNN
61,0.13614842,2.4992983,1.527074,1.138752,0.7202294,5,5.0,MAP,t-Distribution,Sequential RNN
62,-1.1944822,2.48498,1.4576733,1.0473506,0.7610346,5,5.0,MAP,t-Distribution,Sequential RNN
63,-0.58713096,2.4194448,1.3428967,0.9129062,0.79751295,5,5.0,MAP,t-Distribution,Sequential RNN
64,2.627753,2.3286839,1.2122473,0.76632464,0.82706255,5,5.0,MAP,t-Distribution,Sequential RNN
65,-1.3669308,2.7434132,1.6911165,1.2708123,0.77954745,5,5.0,MAP,t-Distribution,Sequential RNN
66,0.73221225,2.4638665,1.3199631,0.86306983,0.8474101,5,5.0,MAP,t-Distribution,Sequential RNN
67,-1.0104214,2.9286509,1.8268396,1.3867584,0.81622815,5,5.0,MAP,t-Distribution,Sequential RNN
68,0.11964212,2.6386988,1.4791743,1.0160416,0.8589823,5,5.0,MAP,t-Distribution,Sequential RNN
69,-0.06889025,2.369727,1.395866,1.0068904,0.7214417,5,5.0,MAP,t-Distribution,Sequential RNN
70,-0.100458264,2.3063056,1.2913462,0.8859551,0.7518878,5,5.0,MAP,t-Distribution,Sequential RNN
71,-0.03995499,2.5676482,1.4845183,1.051899,0.8023888,5,5.0,MAP,t-Distribution,Sequential RNN
72,-0.37117058,2.4733508,1.4825355,1.0867879,0.73400164,5,5.0,MAP,t-Distribution,Sequential RNN
73,0.17653453,2.440512,1.3651049,0.9355701,0.79666775,5,5.0,MAP,t-Distribution,Sequential RNN
74,-0.43967727,2.2099779,1.247209,0.86266375,0.7132246,5,5.0,MAP,t-Distribution,Sequential RNN
75,0.9213255,2.5431528,1.5432968,1.1439383,0.740699,5,5.0,MAP,t-Distribution,Sequential RNN
76,0.9500788,2.8743536,1.7521179,1.3038789,0.83135873,5,5.0,MAP,t-Distribution,Sequential RNN
77,0.048281565,2.649649,1.493514,1.0317351,0.8564715,5,5.0,MAP,t-Distribution,Sequential RNN
78,-1.6081985,2.819974,1.8344882,1.4408695,0.7300534,5,5.0,MAP,t-Distribution,Sequential RNN
79,1.3959907,2.9542997,1.6763103,1.1658609,0.9467419,5,5.0,MAP,t-Distribution,Sequential RNN
80,-1.4840184,2.9255335,1.8908542,1.4775869,0.7664962,5,5.0,MAP,t-Distribution,Sequential RNN
81,0.94914573,2.8862572,1.5927666,1.0761257,0.9582252,5,5.0,MAP,t-Distribution,Sequential RNN
82,-0.47194526,2.477196,1.498328,1.1073525,0.725151,5,5.0,MAP,t-Distribution,Sequential RNN
83,0.08832744,2.4584744,1.4652982,1.0686078,0.73575056,5,5.0,MAP,t-Distribution,Sequential RNN
84,-0.028168326,2.5153654,1.4728887,1.0565068,0.77227265,5,5.0,MAP,t-Distribution,Sequential RNN
85,-0.5821804,2.3533432,1.4101001,1.0333536,0.69876,5,5.0,MAP,t-Distribution,Sequential RNN
86,-0.60551697,2.7449584,1.6170124,1.1664927,0.83558875,5,5.0,MAP,t-Distribution,Sequential RNN
87,0.44312084,2.326386,1.3286948,0.930201,0.73909533,5,5.0,MAP,t-Distribution,Sequential RNN
88,0.24613681,2.3563108,1.3400769,0.9341768,0.7528319,5,5.0,MAP,t-Distribution,Sequential RNN
89,-0.38800186,2.8610692,1.8178024,1.401105,0.7728579,5,5.0,MAP,t-Distribution,Sequential RNN
90,-0.47623658,3.002819,1.8581207,1.4009098,0.84799916,5,5.0,MAP,t-Distribution,Sequential RNN
91,0.7581515,2.941164,1.7776048,1.3128606,0.8619714,5,5.0,MAP,t-Distribution,Sequential RNN
92,-1.5936226,2.478402,1.4473778,1.0355704,0.7637885,5,5.0,MAP,t-Distribution,Sequential RNN
93,0.6256632,4.2726574,2.840332,2.2682385,1.0610747,5,5.0,MAP,t-Distribution,Sequential RNN
94,0.64931923,2.9753296,1.7112552,1.2063637,0.9364335,5,5.0,MAP,t-Distribution,Sequential RNN
95,-0.9935229,2.3302252,1.3974448,1.0248774,0.6910089,5,5.0,MAP,t-Distribution,Sequential RNN
96,0.6605637,3.1435566,1.9164789,1.4263644,0.90902615,5,5.0,MAP,t-Distribution,Sequential RNN
