Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Estimation_Method,Distribution,Model
21,0.6260006,-2.9256432,-1.771777,-1.3109044,0.85479057,10,5.0,MAP,t-Distribution,Sequential RNN
22,1.5351925,-2.845849,-1.7082365,-1.2538558,0.84274983,10,5.0,MAP,t-Distribution,Sequential RNN
23,0.688509,-2.0794415,-1.2381579,-0.90213567,0.6232277,10,5.0,MAP,t-Distribution,Sequential RNN
24,1.4596509,-2.7255943,-1.5842985,-1.1284467,0.8454785,10,5.0,MAP,t-Distribution,Sequential RNN
25,0.12275701,-2.4926355,-1.5227478,-1.1353592,0.7184983,10,5.0,MAP,t-Distribution,Sequential RNN
26,-0.9487125,-2.7487156,-1.5637547,-1.0904623,0.8778258,10,5.0,MAP,t-Distribution,Sequential RNN
27,0.5223621,-2.7683368,-1.5635719,-1.0823696,0.8924966,10,5.0,MAP,t-Distribution,Sequential RNN
28,0.8125056,-2.6428714,-1.5682962,-1.1390936,0.79605144,10,5.0,MAP,t-Distribution,Sequential RNN
29,-0.99174476,-2.5075846,-1.4686843,-1.0537308,0.7696233,10,5.0,MAP,t-Distribution,Sequential RNN
30,0.14475866,-2.6480365,-1.5471889,-1.1074928,0.8155141,10,5.0,MAP,t-Distribution,Sequential RNN
31,-0.11729124,-2.3320296,-1.3345402,-0.9361271,0.7389457,10,5.0,MAP,t-Distribution,Sequential RNN
32,2.4399574,-2.6309614,-1.6746929,-1.2927439,0.7084092,10,5.0,MAP,t-Distribution,Sequential RNN
33,0.84832287,-2.626096,-1.5814965,-1.1642666,0.7738454,10,5.0,MAP,t-Distribution,Sequential RNN
34,0.61480576,-3.5881991,-2.2674916,-1.7399797,0.9783877,10,5.0,MAP,t-Distribution,Sequential RNN
35,-1.2677444,-3.0539355,-1.8484888,-1.367014,0.8930018,10,5.0,MAP,t-Distribution,Sequential RNN
36,-0.93355626,-3.0584538,-1.7722739,-1.258553,0.95280945,10,5.0,MAP,t-Distribution,Sequential RNN
37,-0.6792918,-2.7259367,-1.6138989,-1.1697332,0.82380396,10,5.0,MAP,t-Distribution,Sequential RNN
38,0.16378587,-2.4255908,-1.3396844,-0.905956,0.80444556,10,5.0,MAP,t-Distribution,Sequential RNN
39,0.071970195,-2.5900939,-1.5328956,-1.1106336,0.78317857,10,5.0,MAP,t-Distribution,Sequential RNN
40,0.84380174,-2.1209753,-1.2169837,-0.855915,0.6696821,10,5.0,MAP,t-Distribution,Sequential RNN
41,-1.1184292,-2.0607183,-1.2051176,-0.863377,0.6338339,10,5.0,MAP,t-Distribution,Sequential RNN
42,0.72044194,-3.2816927,-1.9061435,-1.3567271,1.0190147,10,5.0,MAP,t-Distribution,Sequential RNN
43,-0.2791021,-2.4440522,-1.4680866,-1.0782703,0.7230008,10,5.0,MAP,t-Distribution,Sequential RNN
44,-0.19103336,-2.5929346,-1.4845746,-1.0418779,0.8210794,10,5.0,MAP,t-Distribution,Sequential RNN
