Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Asset_16_Weight,Asset_17_Weight,Asset_18_Weight,Asset_19_Weight,Asset_20_Weight,Asset_21_Weight,Asset_22_Weight,Asset_23_Weight,Asset_24_Weight,Asset_25_Weight,Asset_26_Weight,Asset_27_Weight,Asset_28_Weight,Asset_29_Weight,Day,Model,Estimation_Method,Distribution
-0.47797126,-0.17655128,-1.2485355,0.020780435,-0.27434498,-0.7961169,-0.12531643,0.6915903,-0.042440575,0.8389082,-0.51587445,-1.7723578,2.2955315,1.4345981,-0.66068524,-0.026452005,-0.07965735,-0.8959577,0.49738196,-0.5514417,0.88126814,0.021184327,1.6227419,0.46922958,-0.4557141,0.5682938,0.14879389,0.073786184,-0.46467108,131,Sequential LSTM,MAP,t-Distribution
-0.3420775,-0.2392261,-0.5453655,0.020267079,-0.069906816,-0.8155444,-0.17716081,0.63045436,0.7890225,1.4472381,-0.20641363,-1.0449488,0.56815785,0.887079,-0.43298846,-0.050808746,0.47968176,-2.4444928,0.25519234,-0.83762825,0.9489349,0.47603932,1.134494,0.5344128,0.07316409,-0.03273156,0.4817868,0.40706095,-0.8936925,132,Sequential LSTM,MAP,t-Distribution
-0.2748937,-0.2764161,-0.7209072,-0.094667524,-0.10490325,-0.95843405,-0.09740304,0.7505867,1.5031923,1.2880037,-0.34871796,-0.7121348,0.9340174,0.71529746,-0.17427424,-0.108823165,-0.65022445,-0.3550694,-0.16701543,-1.0057245,1.4023978,0.62505347,0.9660054,0.31942943,-0.7637748,-0.3381109,0.021953367,0.02785516,-0.40229756,133,Sequential LSTM,MAP,t-Distribution
-0.24097373,-0.19601059,-1.1232774,-0.04784662,-0.32977372,-0.81741977,-0.12329779,0.77469337,0.7236584,1.3846699,-0.91110015,-1.1192155,2.0747502,0.20790154,-0.00048071504,-0.050581597,0.47778264,-1.0798111,-0.21643065,-1.0697103,0.76925606,0.42528477,1.2852997,0.50680023,0.3290638,-0.48399884,0.2341333,0.24117374,-0.62453926,134,Sequential LSTM,MAP,t-Distribution
-0.31588703,-0.10813269,-0.83150756,-0.0018057453,-0.18550466,-0.9297265,-0.054858968,0.49176934,0.2627223,1.3059433,-0.103650436,0.21483493,1.3042276,1.3478887,-0.5208167,-0.047223233,-0.4461715,-0.46174887,-0.60400426,-0.77703434,1.6085827,0.76597625,-0.059419304,0.07957722,-0.44862315,0.22882047,-0.36586133,-0.08940607,-0.25896052,135,Sequential LSTM,MAP,t-Distribution
0.04275826,-0.18775962,-0.7666126,-0.30318385,0.03354827,-0.5501128,-0.2729959,1.1515706,1.2391708,2.152332,0.02181363,-0.36156124,0.25162047,0.20961058,-0.17497405,-0.12005335,-0.9328875,-0.4982732,-0.2504622,-1.6429771,1.0461055,0.492364,0.4908373,0.036601342,0.10239999,0.3489123,-0.5344637,0.26436785,-0.2876959,136,Sequential LSTM,MAP,t-Distribution
-0.23044987,-0.13810179,-0.6809062,-0.14596917,-0.10437277,-0.7658637,-0.1346603,0.72861344,0.57686704,2.2613475,0.25309065,0.1768566,0.2850772,0.21591611,-0.064746775,-0.029828353,-0.63577515,-1.6659929,-0.4098088,-1.2682079,1.5949149,0.48573703,0.19252276,0.07147357,0.5257396,0.9446614,-0.49594963,0.3740966,-0.9162812,137,Sequential LSTM,MAP,t-Distribution
-0.13950974,-0.13501161,-0.3567818,-0.28935203,0.15553631,-0.37021762,-0.19406426,1.0401202,1.4976591,3.52047,0.8870294,-0.0406892,-1.4303999,-0.269768,0.057131395,-0.06832028,-1.2071201,-1.8346388,-0.13583195,-2.5433514,1.4589956,0.8283236,0.28113967,-0.1816179,0.3022334,0.19786026,-0.3206117,0.2009066,0.08988081,138,Sequential LSTM,MAP,t-Distribution
-0.3294645,-0.04511489,-1.2880803,-0.38814363,-0.19812925,-0.3674755,-0.13960387,0.94543314,3.6437464,4.280384,0.34510222,-0.3113625,-0.07717677,-1.9555336,1.1784619,-0.07539672,-1.7896867,-3.8201528,0.07724822,-2.9086328,1.071175,1.1742762,0.6029918,0.15813622,0.3790065,-1.0426207,-0.08382216,0.48893172,1.475503,139,Sequential LSTM,MAP,t-Distribution
-0.32438248,-0.10143217,-1.0127075,-0.2005173,-0.11812977,0.2639214,-0.09500852,0.64400077,1.6433729,1.1688,0.8660188,0.01629181,0.56922865,0.8568848,-0.59993863,-0.11945311,-1.2709873,0.13092169,-0.29867217,-1.2680422,1.1437926,0.6440217,0.051784527,-0.5936814,-0.4790196,-0.46243283,-0.7655513,0.13845976,0.57245684,140,Sequential LSTM,MAP,t-Distribution
