Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Estimation_Method,Distribution,Model
54,-1.0279403,2.0070236,1.0542954,0.67376053,0.70578647,29,5.0,MAP,t-Distribution,Sequential LSTM
55,0.550986,2.4476142,1.4464129,1.046517,0.74169564,29,5.0,MAP,t-Distribution,Sequential LSTM
56,0.017927397,2.6888602,1.6173253,1.1893371,0.79379916,29,5.0,MAP,t-Distribution,Sequential LSTM
57,0.2563947,2.458933,1.4501468,1.0472213,0.74731463,29,5.0,MAP,t-Distribution,Sequential LSTM
58,0.57666355,1.9215173,0.9439657,0.5535159,0.72417575,29,5.0,MAP,t-Distribution,Sequential LSTM
59,0.34959412,2.2312884,1.2729127,0.89012223,0.70997006,29,5.0,MAP,t-Distribution,Sequential LSTM
60,0.48282683,1.9567544,1.0137725,0.6371304,0.69856644,29,5.0,MAP,t-Distribution,Sequential LSTM
61,-0.4170278,2.164124,1.2769748,0.92263323,0.65720516,29,5.0,MAP,t-Distribution,Sequential LSTM
62,0.12110313,2.0989885,1.2074372,0.8513372,0.6604664,29,5.0,MAP,t-Distribution,Sequential LSTM
63,-0.50538737,1.9814378,1.0875416,0.7305051,0.66220343,29,5.0,MAP,t-Distribution,Sequential LSTM
64,2.0462413,1.9665935,1.0967176,0.7492753,0.64440894,29,5.0,MAP,t-Distribution,Sequential LSTM
65,0.61354035,1.8526716,1.0217143,0.68981665,0.6155779,29,5.0,MAP,t-Distribution,Sequential LSTM
66,0.47187382,1.8526106,0.9622482,0.60662323,0.65958554,29,5.0,MAP,t-Distribution,Sequential LSTM
67,-0.68256223,2.1641586,1.2714652,0.91490924,0.6613123,29,5.0,MAP,t-Distribution,Sequential LSTM
68,0.8516779,2.617346,1.508616,1.0657715,0.8213535,29,5.0,MAP,t-Distribution,Sequential LSTM
69,0.54822874,2.1427765,1.194431,0.81564665,0.7025397,29,5.0,MAP,t-Distribution,Sequential LSTM
70,-0.42154747,1.9643894,1.0881901,0.73822206,0.64909345,29,5.0,MAP,t-Distribution,Sequential LSTM
71,0.297314,2.199805,1.2202784,0.82903975,0.725639,29,5.0,MAP,t-Distribution,Sequential LSTM
72,0.17692383,2.204422,1.2706139,0.89763606,0.6917703,29,5.0,MAP,t-Distribution,Sequential LSTM
73,0.6139321,2.0794196,1.1201205,0.73696125,0.71065414,29,5.0,MAP,t-Distribution,Sequential LSTM
74,-0.17477737,2.0225353,1.1398269,0.787259,0.65391546,29,5.0,MAP,t-Distribution,Sequential LSTM
75,0.108620316,2.3053586,1.3785698,1.0083956,0.6865704,29,5.0,MAP,t-Distribution,Sequential LSTM
76,-0.69309485,2.1539555,1.2648306,0.9097,0.65866876,29,5.0,MAP,t-Distribution,Sequential LSTM
77,0.49437648,1.7753034,0.85255784,0.48399848,0.68357515,29,5.0,MAP,t-Distribution,Sequential LSTM
78,-0.61141634,2.4596753,1.5359086,1.1669414,0.6843316,29,5.0,MAP,t-Distribution,Sequential LSTM
79,-0.03911018,2.0241246,1.0943449,0.7229759,0.68878615,29,5.0,MAP,t-Distribution,Sequential LSTM
80,-0.44843853,2.2989385,1.364643,0.9914705,0.69213134,29,5.0,MAP,t-Distribution,Sequential LSTM
81,0.57533985,1.8659103,1.0205806,0.6829425,0.626225,29,5.0,MAP,t-Distribution,Sequential LSTM
82,0.013831263,1.9499177,1.1068065,0.77005446,0.6245816,29,5.0,MAP,t-Distribution,Sequential LSTM
83,0.47820386,2.185494,1.2864566,0.9273666,0.6660121,29,5.0,MAP,t-Distribution,Sequential LSTM
84,0.8392164,2.0809672,1.2062491,0.85687274,0.6479962,29,5.0,MAP,t-Distribution,Sequential LSTM
85,0.6556909,2.1369638,1.2264217,0.8627365,0.67453486,29,5.0,MAP,t-Distribution,Sequential LSTM
86,0.38669154,2.08088,1.2147909,0.8688612,0.64160365,29,5.0,MAP,t-Distribution,Sequential LSTM
87,0.5785938,1.8435704,0.9294268,0.5643032,0.67720276,29,5.0,MAP,t-Distribution,Sequential LSTM
88,0.07521199,1.9878792,1.0948212,0.7381196,0.6615824,29,5.0,MAP,t-Distribution,Sequential LSTM
89,0.53154606,2.0598397,1.1890136,0.8411917,0.64511293,29,5.0,MAP,t-Distribution,Sequential LSTM
90,-0.28548846,1.8418779,0.9677361,0.6185899,0.6475693,29,5.0,MAP,t-Distribution,Sequential LSTM
91,-0.08668862,2.2387795,1.3334142,0.9717967,0.6706999,29,5.0,MAP,t-Distribution,Sequential LSTM
92,-0.6743299,2.3842218,1.4809463,1.1201636,0.66915166,29,5.0,MAP,t-Distribution,Sequential LSTM
93,-0.5868586,2.4749992,1.4342538,1.0185635,0.77099013,29,5.0,MAP,t-Distribution,Sequential LSTM
94,-0.08610804,1.9669998,1.0241266,0.647528,0.6984858,29,5.0,MAP,t-Distribution,Sequential LSTM
95,0.43972266,2.0998697,1.2350439,0.8896186,0.640668,29,5.0,MAP,t-Distribution,Sequential LSTM
96,-0.4120352,1.9789358,1.1629785,0.8370722,0.6044657,29,5.0,MAP,t-Distribution,Sequential LSTM
97,-0.69223255,2.6437416,1.6893909,1.3082079,0.70698845,29,5.0,MAP,t-Distribution,Sequential LSTM
98,0.45203823,1.9458088,1.0669991,0.71598846,0.65102726,29,5.0,MAP,t-Distribution,Sequential LSTM
99,-0.174308,1.6139871,0.7905769,0.46169367,0.60998696,29,5.0,MAP,t-Distribution,Sequential LSTM
100,0.051956944,1.9538703,1.0296794,0.66054285,0.68464583,29,5.0,MAP,t-Distribution,Sequential LSTM
101,0.1204911,1.8430955,1.0584188,0.7450063,0.58129305,29,5.0,MAP,t-Distribution,Sequential LSTM
102,0.23651119,2.1988065,1.309804,0.95472205,0.6585782,29,5.0,MAP,t-Distribution,Sequential LSTM
103,0.10483564,2.0468605,1.1115061,0.73791057,0.69291586,29,5.0,MAP,t-Distribution,Sequential LSTM
104,0.014147465,2.1403346,1.1648929,0.77528596,0.7226127,29,5.0,MAP,t-Distribution,Sequential LSTM
105,1.0633823,2.0648854,1.0864232,0.6956097,0.7248504,29,5.0,MAP,t-Distribution,Sequential LSTM
106,-0.42089987,2.1880832,1.281534,0.91944367,0.6715768,29,5.0,MAP,t-Distribution,Sequential LSTM
107,-1.0981476,2.0389657,1.129731,0.7665681,0.6735662,29,5.0,MAP,t-Distribution,Sequential LSTM
108,-0.03447435,2.4774518,1.4582895,1.0512198,0.7550012,29,5.0,MAP,t-Distribution,Sequential LSTM
109,0.1466205,1.9903076,1.0293512,0.64552987,0.711882,29,5.0,MAP,t-Distribution,Sequential LSTM
110,0.13940191,2.6485157,1.6343956,1.2293397,0.751266,29,5.0,MAP,t-Distribution,Sequential LSTM
111,-1.7296014,2.3477216,1.4944574,1.15365,0.632103,29,5.0,MAP,t-Distribution,Sequential LSTM
112,-1.3552865,2.8856847,1.9295298,1.5476263,0.708325,29,5.0,MAP,t-Distribution,Sequential LSTM
113,-1.138303,3.1836774,1.9706608,1.4861625,0.89860964,29,5.0,MAP,t-Distribution,Sequential LSTM
114,-1.6949555,2.4409535,1.4414049,1.0421692,0.74047124,29,5.0,MAP,t-Distribution,Sequential LSTM
115,-5.2113485,3.4732575,2.332886,1.8774034,0.8447938,29,5.0,MAP,t-Distribution,Sequential LSTM
116,-0.47290444,3.8835714,2.1372025,1.4396747,1.2937201,29,5.0,MAP,t-Distribution,Sequential LSTM
117,-0.5660685,1.6121662,0.8588193,0.5579205,0.5580836,29,5.0,MAP,t-Distribution,Sequential LSTM
118,1.4485621,2.8276625,1.8364714,1.4405738,0.73428005,29,5.0,MAP,t-Distribution,Sequential LSTM
119,1.4696561,1.6819992,0.88555557,0.5674432,0.59001,29,5.0,MAP,t-Distribution,Sequential LSTM
120,-3.0000036,3.1105738,2.0998936,1.6962116,0.7487178,29,5.0,MAP,t-Distribution,Sequential LSTM
