Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Estimation_Method,Distribution,Model
28,0.48713934,-3.5249078,-2.0878804,-1.5139085,1.0645581,29,5.0,MAP,t-Distribution,Sequential LSTM
29,1.1241225,-4.023384,-2.4735785,-1.8545612,1.1481049,29,5.0,MAP,t-Distribution,Sequential LSTM
30,-0.16620584,-3.7790146,-2.3488226,-1.7775812,1.0594943,29,5.0,MAP,t-Distribution,Sequential LSTM
31,0.182579,-4.2676415,-2.680292,-2.046279,1.1759177,29,5.0,MAP,t-Distribution,Sequential LSTM
32,0.47099867,-4.223718,-2.7527966,-2.165287,1.089667,29,5.0,MAP,t-Distribution,Sequential LSTM
33,0.3210341,-3.5915892,-2.174,-1.6077924,1.050158,29,5.0,MAP,t-Distribution,Sequential LSTM
34,-0.48027855,-3.4682322,-2.134688,-1.6020491,0.98789704,29,5.0,MAP,t-Distribution,Sequential LSTM
35,0.32489455,-3.8332503,-2.34793,-1.7546692,1.1003339,29,5.0,MAP,t-Distribution,Sequential LSTM
36,-0.20033918,-4.124841,-2.5897427,-1.9765996,1.1372098,29,5.0,MAP,t-Distribution,Sequential LSTM
37,0.29644892,-3.9538097,-2.4240055,-1.8129773,1.1332875,29,5.0,MAP,t-Distribution,Sequential LSTM
38,-0.13075581,-3.7000675,-2.243259,-1.6613865,1.0792121,29,5.0,MAP,t-Distribution,Sequential LSTM
39,-0.32729086,-3.6029425,-2.2275202,-1.6781546,1.0189207,29,5.0,MAP,t-Distribution,Sequential LSTM
40,0.17089535,-3.9886503,-2.4982972,-1.9030265,1.104062,29,5.0,MAP,t-Distribution,Sequential LSTM
41,-0.020149073,-3.9460185,-2.451769,-1.854942,1.1069484,29,5.0,MAP,t-Distribution,Sequential LSTM
42,-0.023634313,-3.5429292,-2.1333683,-1.5703671,1.0442108,29,5.0,MAP,t-Distribution,Sequential LSTM
43,0.81809324,-3.720536,-2.3233035,-1.7652264,1.0350779,29,5.0,MAP,t-Distribution,Sequential LSTM
44,-0.28524154,-3.5630019,-2.139887,-1.5714723,1.0542514,29,5.0,MAP,t-Distribution,Sequential LSTM
45,-0.3672187,-4.100939,-2.5000648,-1.8606502,1.1859365,29,5.0,MAP,t-Distribution,Sequential LSTM
46,0.8952958,-3.909322,-2.5298429,-1.9788568,1.021926,29,5.0,MAP,t-Distribution,Sequential LSTM
47,0.033126123,-4.0652175,-2.5167108,-1.8982126,1.1471425,29,5.0,MAP,t-Distribution,Sequential LSTM
48,-0.6941787,-3.795427,-2.3815517,-1.8168273,1.0474069,29,5.0,MAP,t-Distribution,Sequential LSTM
49,-0.59068143,-3.825223,-2.260379,-1.6353555,1.1592453,29,5.0,MAP,t-Distribution,Sequential LSTM
50,0.44586188,-4.284322,-2.570055,-1.8853495,1.2699385,29,5.0,MAP,t-Distribution,Sequential LSTM
51,0.8768627,-4.1419115,-2.552598,-1.9178007,1.1773726,29,5.0,MAP,t-Distribution,Sequential LSTM
52,0.44497088,-4.2431893,-2.7262125,-2.1203077,1.1237851,29,5.0,MAP,t-Distribution,Sequential LSTM
53,0.41074178,-4.075777,-2.5105107,-1.8853182,1.1595583,29,5.0,MAP,t-Distribution,Sequential LSTM
54,-1.0279403,-4.326102,-2.7382214,-2.1039968,1.1763108,29,5.0,MAP,t-Distribution,Sequential LSTM
55,0.550986,-4.2077293,-2.5390606,-1.8725677,1.2361594,29,5.0,MAP,t-Distribution,Sequential LSTM
