Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Day,Model,Estimation_Method,Distribution
-0.59556246,-0.11938549,0.5511167,-0.028703885,1.1925352,102,Sequential RNN,MAP,t-Distribution
-0.6119143,-0.1716765,0.70453525,0.020284781,1.0587708,103,Sequential RNN,MAP,t-Distribution
-0.6785421,-0.11965455,0.6223455,0.027209291,1.1486418,104,Sequential RNN,MAP,t-Distribution
-0.61557734,-0.15546197,0.63741493,0.07538616,1.0582383,105,Sequential RNN,MAP,t-Distribution
-0.44193286,-0.16746977,0.59073395,-0.018106487,1.0367751,106,Sequential RNN,MAP,t-Distribution
-0.64482737,-0.17198278,0.7232268,0.04407159,1.0495118,107,Sequential RNN,MAP,t-Distribution
-0.775326,-0.15112424,0.6287408,0.31993654,0.97777295,108,Sequential RNN,MAP,t-Distribution
-0.6133584,-0.18144885,0.7839713,-0.03860029,1.0494362,109,Sequential RNN,MAP,t-Distribution
-0.633113,-0.14368798,0.65867925,-0.024768338,1.1428901,110,Sequential RNN,MAP,t-Distribution
-0.44425935,-0.12985234,0.54776573,-0.13231306,1.1586591,111,Sequential RNN,MAP,t-Distribution
-0.37619442,0.073421426,0.11946643,-0.24250987,1.4258164,112,Sequential RNN,MAP,t-Distribution
-0.61606115,-0.018564569,0.33647472,0.009163724,1.2889873,113,Sequential RNN,MAP,t-Distribution
-0.6091865,-0.08862124,0.5755066,-0.06228365,1.1845847,114,Sequential RNN,MAP,t-Distribution
-0.5306504,-0.065944366,0.4934851,-0.17334323,1.2764529,115,Sequential RNN,MAP,t-Distribution
-0.3838259,0.071754016,0.14353858,-0.24956511,1.4180984,116,Sequential RNN,MAP,t-Distribution
-0.6771231,-0.13007478,0.63870335,0.07460381,1.0938907,117,Sequential RNN,MAP,t-Distribution
-0.66430473,-0.12978926,0.66158646,-0.029111965,1.1616195,118,Sequential RNN,MAP,t-Distribution
-0.7409645,-0.12069475,0.5613736,0.2264886,1.073797,119,Sequential RNN,MAP,t-Distribution
-0.39787647,0.0073773446,0.18241525,-0.16721526,1.3752991,120,Sequential RNN,MAP,t-Distribution
-0.49278066,-0.038137533,0.35024107,-0.1974767,1.3781538,121,Sequential RNN,MAP,t-Distribution
-0.4589414,-0.03870524,0.38014728,-0.16593835,1.2834377,122,Sequential RNN,MAP,t-Distribution
-0.1586556,0.21376179,-0.03948441,-0.30824924,1.2926275,123,Sequential RNN,MAP,t-Distribution
-0.557241,-0.07256909,0.52739304,-0.10144982,1.2038668,124,Sequential RNN,MAP,t-Distribution
-0.49409822,-0.035979263,0.35600755,-0.12015084,1.2942208,125,Sequential RNN,MAP,t-Distribution
0.101493254,0.038956296,0.45143354,-0.3600624,0.7681793,126,Sequential RNN,MAP,t-Distribution
-0.4723953,-0.040073745,0.38920537,-0.15627219,1.2795359,127,Sequential RNN,MAP,t-Distribution
0.00821921,0.18243383,0.08709048,-0.39364365,1.1159002,128,Sequential RNN,MAP,t-Distribution
-0.47261736,-0.01999542,0.2917347,-0.19272892,1.393607,129,Sequential RNN,MAP,t-Distribution
-0.07461087,0.0924554,0.39442587,-0.35985285,0.9475824,130,Sequential RNN,MAP,t-Distribution
-0.76063746,-0.086298436,0.33255118,0.6413523,0.87303245,131,Sequential RNN,MAP,t-Distribution
-0.33265543,-0.010875976,0.25375316,-0.26858807,1.3583664,132,Sequential RNN,MAP,t-Distribution
-0.7088571,0.18390551,0.16042423,0.27425298,1.0902743,133,Sequential RNN,MAP,t-Distribution
-0.2354312,0.0062919953,0.19033223,-0.30024025,1.3390472,134,Sequential RNN,MAP,t-Distribution
-0.39995664,0.121714704,0.2550607,-0.28472462,1.3079058,135,Sequential RNN,MAP,t-Distribution
-0.34840366,-0.09749165,0.458222,-0.24567658,1.2333499,136,Sequential RNN,MAP,t-Distribution
-0.5624072,-0.07696034,0.47720233,-0.11533426,1.2774994,137,Sequential RNN,MAP,t-Distribution
