Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Day
-0.035521936,-0.060231447,0.017895916,-0.2050669,0.39980382,0.80469424,0.14303502,0.087508634,-0.07337528,-0.07874204,33
-0.03963584,-0.08301501,0.03990642,-0.19283147,0.38626736,0.75173014,0.08119322,0.12559284,-0.09688136,0.027673662,34
-0.07323577,-0.10022892,0.07901669,-0.18901588,0.48268205,0.63110256,0.07932471,0.13726804,-0.058115344,0.011201883,35
0.003491641,-0.13588281,0.06874773,-0.2728523,0.55586153,0.32524368,0.005346906,0.29677328,-0.09257632,0.24584667,36
0.020021623,-0.103086375,0.00051565736,-0.24023515,0.53187114,0.31775197,0.091326885,0.16987428,-0.064504564,0.27646458,37
0.044378906,-0.09645917,0.014780178,-0.19593488,0.4859994,0.346305,0.07689689,0.029641503,-0.034129784,0.32852194,38
0.08749544,-0.09991832,0.009250754,-0.2007343,0.4583395,0.40836334,0.04947716,0.041626375,0.018620402,0.22747962,39
0.024623496,-0.094974175,0.0391522,-0.15329038,0.47375682,0.44000626,0.02092789,0.011411638,0.011753938,0.22663234,40
0.042801872,-0.042767048,0.062298913,-0.19925724,0.42736155,0.43544906,0.036577288,0.08870312,-0.012620315,0.16145281,41
0.13557537,-0.0533679,0.08893265,-0.16887565,0.4137464,0.3763819,0.06218851,-0.08162392,0.085839406,0.14120324,42
0.098396756,-0.050242368,0.090039335,-0.15256234,0.4182046,0.40640855,0.018104881,-0.07019422,0.108551644,0.13329314,43
0.07183886,-0.053806745,0.06445743,-0.14908393,0.40172055,0.40502852,0.0009100122,-0.05791286,0.1802691,0.13657902,44
0.070831515,-0.050635155,0.011040601,0.0034420684,0.32098913,0.50679547,-0.100414515,-0.09221851,0.1878706,0.14229876,45
-0.07239654,-0.03132588,-0.025572337,-0.1865343,0.5092765,0.71545875,0.02612307,-0.048480924,0.20235771,-0.088906035,46
-0.021577453,-0.04945617,0.001224976,-0.14306088,0.4529571,0.6950233,-0.03494258,-0.01746572,0.20572314,-0.08842569,47
0.04871753,-0.083323516,-0.045424502,-0.25635222,0.4507044,0.48961186,0.0069094594,0.09169206,0.29543778,0.0020271775,48
-0.106387764,-0.06182207,0.013731702,-0.2861481,0.54481876,0.5267405,0.0057047927,0.1311781,0.13404016,0.09814396,49
-0.09669783,-0.06704667,0.027315637,-0.22658691,0.5127921,0.5418401,0.020408109,0.087102994,0.08315318,0.11771935,50
-0.09452588,-0.076622635,0.06452353,-0.2197177,0.4921243,0.5323445,-0.012787266,0.11130706,0.105764836,0.09758924,51
-0.04043017,-0.056095976,0.12563513,-0.2802768,0.5462172,0.6012993,-0.045468308,0.17281845,-0.057254907,0.03355614,52
-0.04085497,-0.069522664,0.116162464,-0.24829336,0.5053306,0.60178256,-0.04020472,0.15978926,-0.019018324,0.034829114,53
-0.08805205,-0.06825184,0.18995234,-0.22560592,0.5388452,0.5402934,-0.03476322,0.11380756,-0.004666103,0.038440652,54
-0.048315268,-0.03121656,0.25122732,-0.28358555,0.562404,0.46953145,-0.07944276,0.01744299,0.04901391,0.09294054,55
-0.02859166,-0.03690545,0.1779719,-0.24882245,0.5818095,0.45864734,-0.04495451,0.033623677,-0.044024523,0.15124615,56
-0.11439065,-0.034201883,0.16158108,-0.27768725,0.6282841,0.37880003,-0.03887106,0.0958105,-0.10450048,0.30517557,57
-0.051845275,-0.04120221,0.04808055,-0.22625469,0.6722096,0.35160285,-0.021417316,0.027010327,-0.028059183,0.26987532,58
-0.10139854,-0.03461291,0.07261853,-0.1798987,0.6402019,0.40700182,-0.060181715,0.021197055,-0.024557233,0.2596298,59
-0.084209636,-0.07501076,0.07706587,-0.24836098,0.6661018,0.35777354,-0.10198245,0.18080945,-0.085804835,0.31361797,60
-0.07807963,-0.060237043,0.07574936,-0.21370383,0.65628856,0.36434963,-0.091363095,0.13870011,-0.059814252,0.26811016,61
-0.096224084,-0.06500675,0.08158287,-0.18809612,0.62531245,0.38962102,-0.094461046,0.128259,-0.048233304,0.26724595,62
-0.069345154,-0.06036362,0.07979572,-0.20359044,0.5716979,0.40466282,-0.06832166,0.13954973,-0.018784368,0.2246991,63
