Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Day
-0.095625356,-0.020541033,0.5387281,-0.1741719,0.7516102,62
-0.05505354,-0.011333061,0.5386259,-0.18227412,0.71003485,63
-0.09822588,-0.0006186901,0.5262922,-0.10696568,0.67951804,64
0.10227433,0.0035735832,0.682652,-0.3897461,0.6012462,65
-0.05606383,0.021006668,0.6131589,-0.274227,0.6961253,66
-0.050852966,0.015949862,0.62806374,-0.2604512,0.66729057,67
-0.027594596,0.07626449,0.5836293,-0.2634599,0.6311607,68
-0.029553168,0.030837178,0.6227324,-0.25099555,0.6269791,69
-0.027146185,0.018467119,0.6371747,-0.23130028,0.6028046,70
-0.01634275,0.021808526,0.614813,-0.22688593,0.60660714,71
-0.009950587,0.013170572,0.6194358,-0.21848732,0.5958315,72
-0.0072726086,0.01710601,0.61354357,-0.20851547,0.5851385,73
-0.019898586,0.028874647,0.5851641,-0.24318111,0.64904094,74
0.012106204,0.02394843,0.52652663,-0.22095522,0.658374,75
0.026092555,0.017750027,0.5311063,-0.21596076,0.6410119,76
0.06957447,-0.075375766,0.42105222,-0.059075378,0.64382446,77
0.07730821,-0.04591211,0.37654084,-0.14562261,0.7376857,78
0.22818393,-0.117754094,0.6229785,-0.25064003,0.5172317,79
0.21318977,-0.06991183,0.6738376,-0.21533294,0.3982174,80
0.24083029,-0.09099971,0.75691503,-0.22001903,0.31327343,81
0.23958832,-0.067317374,0.7366223,-0.2721473,0.36325404,82
0.13494457,-0.06751564,0.7805776,-0.23990715,0.39190063,83
0.065408505,-0.07607352,0.81988,-0.13554801,0.326333,84
0.07479712,-0.07222449,0.8035245,-0.17800382,0.37190667,85
0.0890276,-0.065631226,0.7870438,-0.17689903,0.36645886,86
0.082793444,-0.070519395,0.78031135,-0.17419752,0.3816121,87
0.10501435,-0.09317894,0.7715598,-0.17713551,0.3937403,88
0.101024866,-0.09132701,0.73910886,-0.20064096,0.45183426,89
0.12532154,-0.05173182,0.6264019,-0.14656274,0.44657108,90
0.178279,0.012876817,0.49910977,-0.29279888,0.6025333,91
0.20307437,0.004357239,0.44207588,-0.24514267,0.5956352,92
0.4616791,-0.2108866,-0.05281249,-0.057802416,0.8598224,93
0.25241408,-0.11345539,0.20477849,-0.26591536,0.9221782,94
0.19246058,-0.102815285,0.18846434,-0.22145608,0.94334644,95
0.27182165,-0.1633427,0.26954344,-0.38142052,1.0033981,96
0.14284663,-0.089506686,0.30547097,-0.1669126,0.8081017,97
-0.0510265,-0.07992849,0.44477656,-0.15809107,0.8442695,98
0.005909676,-0.06795453,0.32486793,-0.21376947,0.9509464,99
0.021350661,-0.049062487,0.3050053,-0.1784351,0.90114164,100
0.1894961,-0.007901242,0.4159345,-0.44028798,0.8427586,101
0.09590087,-0.08058495,0.58775234,-0.34297186,0.7399036,102
0.12867284,-0.11394235,0.6507782,-0.33998728,0.67447865,103
0.08464797,-0.08973425,0.6275267,-0.3213142,0.69887376,104
0.032380316,-0.08675139,0.6471152,-0.30476984,0.71202576,105
0.09674647,-0.092684336,0.62369484,-0.31846878,0.69071186,106
0.11621417,-0.11525206,0.6747428,-0.28200608,0.6063012,107
0.29238722,-0.14563294,0.8161001,-0.40579757,0.44294322,108
0.23676485,-0.13261086,0.8092252,-0.34173182,0.42835265,109
0.34879333,-0.19177726,0.8130063,-0.4019082,0.43188584,110
0.2832337,-0.15360284,0.7957229,-0.29478607,0.36943227,111
0.53662163,-0.013759938,0.17195995,-0.43172812,0.73690647,112
0.1803273,0.21938488,-0.32685232,0.23665076,0.69048935,113
-0.57170695,0.04902658,0.53037536,-0.038129162,1.0304341,114
0.11020225,-0.22221157,0.111823626,0.02588207,0.9743036,115
-0.823993,-0.0085179005,0.1973689,0.3844324,1.2507095,116
-0.59058094,-0.05942653,0.24818169,0.11599757,1.2858282,117
-0.4854034,-0.050715785,0.34724134,0.03283614,1.1560417,118
-0.40854043,-0.030160347,0.39602324,-0.123727225,1.1664047,119
-0.46472326,0.023704305,0.48864836,-0.13853996,1.0909106,120
-0.524756,-0.034553785,0.426066,-0.24718468,1.3804284,121
-0.5540882,-0.047688544,0.037383523,0.13730541,1.4270878,122
-0.47898242,-0.019166227,0.059427246,0.047222093,1.3914993,123
-0.60280067,-0.0628166,0.27847543,-0.065374464,1.4525163,124
-0.48996568,-0.02448891,-0.07976515,0.55940294,1.0348167,125
-0.10874746,0.07280995,-0.47929004,1.9084444,-0.39321685,126
-0.47783476,0.04368315,-0.17646667,1.246921,0.36369735,127
-0.4322632,0.056786552,-0.09111559,0.3234354,1.1431568,128
-0.36080328,0.051527604,-0.05002451,0.18433432,1.1749659,129
-0.32618365,0.04255153,0.027318489,-0.123400666,1.3797143,130
-0.34787783,0.036370687,0.08324627,-0.050827753,1.2790886,131
-0.22741494,0.03727949,0.02919573,-0.05440259,1.2153423,132
-0.19218805,0.038569886,-0.116290964,-0.115877256,1.3857864,133
-0.5112687,-0.041519687,0.41961378,-0.22748643,1.360661,134
-0.46044904,-0.012764555,0.33745763,-0.20390093,1.339657,135
-0.47372332,-0.029343655,0.7210254,-0.33781698,1.1198585,136
-0.3302126,-0.08683425,0.7050977,-0.3183954,1.0303446,137
-0.373658,-0.09862159,0.87620413,-0.24396895,0.8400444,138
-0.18969294,-0.15739687,0.6469557,-0.41216034,1.1122944,139
-0.32990426,-0.118760236,0.87151057,-0.28597894,0.86313283,140
-0.29108423,-0.1598696,0.93397695,-0.2788753,0.7958522,141
-0.3373337,-0.18373081,0.7710638,-0.31518665,1.0651873,142
-0.3086377,-0.15236472,0.62282395,-0.34719938,1.1853778,143
-0.30927482,-0.22468959,0.8885223,-0.30733073,0.9527728,144
-0.2735104,-0.18816178,0.80013365,-0.2961479,0.9576864,145
-0.25687897,-0.18433931,0.79455423,-0.27563477,0.9222988,146
-0.31375474,-0.2236562,1.1126747,-0.2789968,0.70373297,147
-0.28939477,-0.095620215,0.44021374,-0.30303466,1.2478359,148
-0.37068516,-0.11334567,0.52384883,-0.24379724,1.2039793,149
-0.36114112,0.046618927,0.32153332,-0.33348015,1.3264691,150
-0.36928272,0.034413,0.4219224,-0.29957882,1.2125262,151
-0.4144355,0.025148563,0.23012735,-0.254385,1.4135445,152
-0.37203956,0.052752648,0.23090057,-0.2430717,1.3314581,153
-0.43581158,0.092859544,0.2551896,-0.249759,1.3375214,154
-0.3826914,-0.045641508,0.407295,-0.29067907,1.311717,155
-0.49956536,-0.0659274,0.44979495,-0.3751288,1.4908266,156
-0.43926018,-0.06841113,0.42648375,-0.3261264,1.407314,157
-0.4032423,-0.037336838,0.30628157,-0.26816028,1.4024578,158
-0.37931228,-0.045327026,0.28081343,-0.23173518,1.375561,159
-0.33453453,-0.058135234,0.42241645,-0.22421098,1.1944643,160
-0.32458574,-0.025418185,0.17361362,-0.17840059,1.3547909,161
-0.32014754,-0.029517865,0.2107393,-0.17977394,1.3187001,162
-0.30307928,-0.02728975,0.23599042,-0.21150447,1.305883,163
-0.30378324,-0.0583283,0.30507967,-0.19077559,1.2478075,164
-0.40055516,-0.17057155,0.41420862,-0.10135516,1.2582732,165
-0.40767235,-0.124079175,0.43917128,-0.11722012,1.2098004,166
-0.3965354,-0.11912776,0.44555324,-0.07480121,1.1449112,167
-0.42205042,-0.119114555,0.25904235,0.0018655834,1.280257,168
-0.6360543,-0.004218751,0.09935662,0.034236565,1.5066799,169
-0.5344025,-0.06316827,0.2129879,0.04650593,1.338077,170
-0.4672129,-0.008512513,0.08677848,0.08925421,1.2996927,171
-0.52257305,-0.0042122966,0.09594154,-0.028813701,1.4596574,172
-0.49769306,-0.021929346,0.07009065,0.043704025,1.4058278,173
-0.51903576,0.018113248,0.05143538,0.07170499,1.3777821,174
-0.51505756,-0.0058668405,0.108173564,0.020791816,1.391959,175
-0.74377483,-0.058342658,0.17466594,0.24500303,1.3824486,176
-0.63134557,-0.0952732,0.2026775,0.31096068,1.2129806,177
-0.70129776,-0.0489351,0.18690507,0.5139411,1.0493867,178
-0.6404687,-0.064927824,0.2280765,0.46522886,1.0120912,179
-0.59634805,-0.054034054,0.2069831,0.35698903,1.0864099,180
-0.5694077,-0.043386836,0.2123363,0.27050546,1.1299528,181
-0.52343047,-0.033364583,0.12101322,0.11350202,1.3222798,182
-0.4879478,-0.039480742,0.14232184,0.06350359,1.3216031,183
-0.47091115,-0.027935626,0.105977744,0.03728298,1.355586,184
-0.49423,-0.171909,0.37063283,0.10149535,1.1940109,185
-0.47871563,-0.12920676,0.28158566,0.08973915,1.2365975,186
-0.48727152,-0.12065658,0.33655715,0.06673981,1.2046311,187
-0.48165312,-0.09964093,0.22720535,0.15212114,1.2019676,188
-0.5712119,-0.029642936,0.24185729,-0.013417207,1.3724147,189
-0.49719825,-0.110941954,0.5607941,-0.33561766,1.3829638,190
-0.64073473,-0.119334474,0.7679336,-0.55724996,1.5493857,191
-0.54631865,-0.14822517,0.77769333,-0.45553994,1.3723905,192
-0.5247509,-0.13821879,0.75933367,-0.43308264,1.3367187,193
-0.5248269,-0.13848095,0.7758935,-0.41268817,1.3001025,194
-0.49515858,-0.1339805,0.7844564,-0.41629907,1.2609818,195
-0.5430967,-0.12352917,0.5715856,-0.44523975,1.54028,196
-0.5839782,-0.14036675,0.16805346,-0.22206436,1.7783558,197
-0.56371695,-0.09865036,0.23622337,-0.31399304,1.740137,198
-0.54698884,-0.0759907,0.27864966,-0.29852667,1.6428566,199
-0.6062783,-0.08663972,0.5195499,-0.28160655,1.4549747,200
-0.55524623,-0.117593884,0.5323919,-0.27218887,1.4126371,201
-0.45233724,-0.025403176,0.4932611,-0.26072362,1.2452029,202
-0.49616244,-0.028838659,0.4146349,-0.28720692,1.3975731,203
-0.23823863,-0.18904431,0.51101226,-0.56030387,1.4765745,204
-0.28365347,-0.12949188,0.48301253,-0.4763591,1.4064919,205
-0.43496615,-0.094425425,0.5103702,-0.38641837,1.4054397,206
-0.34514895,-0.085323244,0.453976,-0.36316922,1.3396654,207
-0.3170855,-0.08724572,0.4618523,-0.34316975,1.2856486,208
-0.36552545,0.12682374,0.22009957,-0.4714367,1.4900389,209
-0.37022325,0.05508499,0.34117475,-0.3974648,1.3714283,210
-0.839809,-0.12252961,0.65829825,-0.1868566,1.4908969,211
-0.6722268,-0.11056036,0.71127045,-0.2250418,1.2965585,212
-0.6193619,-0.048960775,0.67292255,-0.15280573,1.1482059,213
-0.52271026,-0.10785043,0.6417862,-0.14486098,1.1336355,214
-0.41990003,-0.050988626,0.57696974,-0.11017705,1.0040959,215
-0.45832112,-0.020038873,0.5975241,-0.08813522,0.9689711,216
-0.42771432,-0.030122153,0.63599277,-0.06862727,0.890471,217
-0.380277,-0.044412635,0.6466793,-0.057464622,0.835475,218
-0.40165573,-0.096596576,0.65104485,-0.09339774,0.9406052,219
-0.42010453,-0.0831686,0.6077049,0.026101848,0.8694664,220
-0.40769356,-0.04710235,0.6884268,0.018870637,0.7474985,221
-0.27208343,-0.063182086,0.25357988,0.11106227,0.9706233,222
-0.44248334,-0.25060567,0.68978125,0.5227763,0.48053142,223
-0.13343452,-0.07759983,0.46735165,0.49207148,0.25161123,224
-0.4645245,-0.06387429,0.65896386,0.6067127,0.26272228,225
-0.22769909,-0.17205523,0.6882126,0.23549092,0.47605082,226
-0.27898923,-0.12182562,0.60931283,0.349152,0.44234997,227
-0.25132036,-0.097600766,0.6336769,0.2293568,0.48588744,228
-0.27500826,-0.1016565,0.6670852,0.20154467,0.5080349,229
-0.2793637,0.10636406,0.4221135,0.10765121,0.6432349,230
-0.2359272,0.077444516,0.3501951,0.176985,0.6313026,231
-0.07161082,0.02111858,0.45542723,0.10291633,0.49214867,232
-0.026425624,0.054349262,0.34991625,0.008368716,0.6137914,233
-0.00082886673,-0.012333345,0.45687857,-0.008544945,0.5648286,234
0.0007140255,-0.021034917,0.4131697,0.07540639,0.5317448,235
-0.049410366,-0.014274408,0.5003144,-0.040377546,0.6037479,236
-0.13968381,-0.06588242,0.6709732,-0.4122242,0.9468173,237
-0.18268691,-0.031143477,0.5254108,-0.24455738,0.932977,238
-0.0792279,-0.033171564,0.242351,-0.25465816,1.1247066,239
