Day,Avg_Nu_GARCH,Nu_DCC
138,6.3790082876052985,5.0
139,6.326331147812233,5.0
140,6.24344508033931,5.0
141,6.217443830143505,5.0
142,6.253785345821639,5.0
143,6.280820786306876,5.0
144,6.192043298262349,5.0
145,6.253323931407422,5.0
146,6.273228632499649,5.0
147,6.165510343046748,5.0
148,6.252210907614138,5.0
149,6.294739432180316,5.0
150,6.407750574183169,5.0
151,6.3629841397098055,5.0
152,6.414528838785699,5.0
153,6.3996635332142,5.0
154,6.437346526435995,5.0
155,6.349496513559895,5.0
156,6.402278204651358,5.0
157,6.390984164586882,5.0
158,6.431584644744207,5.0
159,6.4927179522038045,5.0
160,6.428746843433034,5.0
161,6.436038069068134,5.0
162,6.4143040946351135,5.0
163,6.404617225734715,5.0
164,6.356644931521824,5.0
165,6.328501450945616,5.0
166,6.28563595791973,5.0
167,6.273942343111022,5.0
168,6.227436460568004,5.0
169,6.244914775610569,5.0
170,6.1928154575341114,5.0
171,6.204547509646538,5.0
172,6.239312125132255,5.0
173,6.281298332260876,5.0
174,6.2727977610053856,5.0
175,6.209506767154307,5.0
176,5.9352112910153245,5.0
177,5.90816668326886,5.0
178,5.875535363838038,5.0
179,5.90306477438156,5.0
180,5.941570103136796,5.0
181,5.882512024535029,5.0
182,5.982442557894366,5.0
183,5.961262728872459,5.0
184,5.991541425425893,5.0
185,5.9402717868515795,5.0
186,5.856071551395425,5.0
187,5.817666660229753,5.0
188,5.816070070748747,5.0
189,5.867504573009477,5.0
190,5.80424932373877,5.0
191,6.151184972773003,5.0
192,6.061780686832201,5.0
193,6.069990378680244,5.0
194,6.039103116854291,5.0
195,5.999302528927656,5.0
196,6.020824532301771,5.0
197,5.9936185967424755,5.0
198,6.013338841270181,5.0
199,6.047194197664239,5.0
200,6.043354478587001,5.0
201,6.046574218059627,5.0
202,6.018507276321935,5.0
203,6.034402740192711,5.0
204,6.0479861464048845,5.0
205,6.04391993635567,5.0
206,6.0474362653094165,5.0
207,6.0150986915011675,5.0
208,6.015243199816899,5.0
209,6.035976961874789,5.0
210,6.015041140500804,5.0
211,6.0068913369737365,5.0
212,6.011204254805461,5.0
213,6.019744867324375,5.0
214,6.011412333456057,5.0
215,5.891582934223477,5.0
216,5.916111238385927,5.0
217,5.94794644178303,5.0
218,5.933236890947715,5.0
219,5.910476191765921,5.0
220,5.927155235333368,5.0
221,5.891851086070464,5.0
222,5.868520449439853,5.0
223,5.9033444071362915,5.0
224,5.8569521589371565,5.0
225,5.886902743005894,5.0
226,5.913488501620832,5.0
227,5.909372173581142,5.0
228,5.973845764783532,5.0
229,6.029015989728872,5.0
230,6.046014058514114,5.0
231,6.0457667611075,5.0
232,6.015981421556703,5.0
233,6.023204072189555,5.0
234,6.0773584571285095,5.0
235,6.150213915938275,5.0
236,6.139919140090057,5.0
237,6.1922764900117,5.0
238,6.170737126897535,5.0
239,6.230519358178803,5.0
240,6.172935886128397,5.0
241,6.1280948090773375,5.0
242,6.164539754077463,5.0
243,6.181668587143477,5.0
244,6.249919028698491,5.0
245,6.42446449423643,5.0
246,6.410046969771679,5.0
247,6.430842290194926,5.0
248,6.268707106681754,5.0
249,6.2877502276217,5.0
