Asset_1_Weight,Asset_2_Weight,Day
1.0273973,-0.027397247,220
1.0273936,-0.02739356,221
1.0209422,-0.020942206,222
1.1336942,-0.13369422,223
1.1804081,-0.18040808,224
0.8698485,0.13015151,225
0.98887074,0.011129239,226
0.9557544,0.044245575,227
1.1033083,-0.10330836,228
1.0456603,-0.045660265,229
0.97840136,0.02159861,230
0.9966074,0.0033925627,231
0.9701565,0.029843507,232
0.96512115,0.03487888,233
1.0857486,-0.08574854,234
1.1309229,-0.1309229,235
1.0020926,-0.002092589,236
1.1712815,-0.17128147,237
1.0643033,-0.06430324,238
1.0677358,-0.06773583,239
1.0284481,-0.02844816,240
1.0292313,-0.029231317,241
1.0099851,-0.009985038,242
1.1590129,-0.15901297,243
1.0667744,-0.066774406,244
0.9047384,0.09526155,245
0.96279925,0.03720074,246
0.96023244,0.039767593,247
0.7803928,0.21960717,248
0.7782688,0.22173117,249
