Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Asset_16_Weight,Asset_17_Weight,Asset_18_Weight,Asset_19_Weight,Asset_20_Weight,Asset_21_Weight,Asset_22_Weight,Asset_23_Weight,Asset_24_Weight,Asset_25_Weight,Asset_26_Weight,Asset_27_Weight,Asset_28_Weight,Asset_29_Weight,Asset_30_Weight,Day
-0.017397108,-0.019516703,-0.016554406,-0.046536822,0.086137995,-0.07201419,0.04042213,0.026734393,-0.04225072,-0.0111130485,-0.015181947,0.0059093335,0.038116816,0.0098454645,0.014778187,0.06516576,0.02852472,-0.029737849,0.0103571685,0.018173818,0.008063254,0.06277496,0.008524684,0.02128462,0.017554097,-0.032871418,0.07627192,-0.004752028,-0.018722448,0.78800935,16
-0.015149677,-0.025603183,-0.012715978,-0.04279986,0.088184215,-0.06635376,0.027867232,0.03657421,-0.046646338,-0.011012754,-0.010560977,0.009603332,0.046013296,-0.0005226807,0.017756622,0.07241202,0.032082617,-0.020441353,0.0016599537,0.015142616,-0.0019914415,0.05071416,-0.0015591878,0.033781756,0.008886416,-0.029422153,0.068444215,-0.0002152931,-0.009694856,0.7855668,17
-0.014363694,-0.019356506,-0.022642212,-0.024386838,0.09183685,-0.09394293,0.030792367,0.022085441,-0.04080281,-0.0019690369,-0.00996341,0.013084443,0.031734705,-0.01267616,0.034308203,0.08141775,0.035623692,-0.029694945,0.0053249677,0.0028746675,0.014627674,0.06732451,-0.00012577785,0.031354252,0.033569667,-0.041918557,0.07031526,0.009370628,-0.02781919,0.764017,18
-0.024052734,-0.02192869,-0.020358272,-0.032199573,0.090134315,-0.09738961,0.025822265,0.03469814,-0.032743946,-0.009784272,-0.0047836043,0.015435429,0.041691493,-0.01831977,0.026919471,0.08458789,0.04001756,-0.032757994,0.007176711,0.0033579106,0.020102257,0.07086485,0.0031520154,0.037930876,0.028355049,-0.04131043,0.06900899,0.005535473,-0.0302712,0.7611094,19
-0.024488358,-0.022565281,-0.028863857,-0.031100493,0.08942694,-0.0942393,0.024480289,0.0395304,-0.04155953,-0.005789697,-0.010714696,0.017264832,0.056486633,-0.017244058,0.028421355,0.08607347,0.0383331,-0.020822812,-0.00014409039,0.0003831292,0.02400557,0.06315359,-0.0024076009,0.04527975,0.02457045,-0.043015353,0.06369569,0.0020839844,-0.018229797,0.7579957,20
-0.014739604,-0.02554151,-0.012497497,-0.040293984,0.096194156,-0.08407588,0.048182238,0.0646281,-0.05683029,0.0070530167,-0.06022554,0.03148333,0.023999108,-0.035964403,0.026191117,0.085315354,0.032729503,0.0069363643,-0.0012837718,-0.0035088426,0.044070277,0.055516087,-0.009162515,0.07583479,0.011494326,-0.039718702,0.055763356,-0.0019826384,0.0019053504,0.7185287,21
-0.014633247,-0.022506077,-0.0045346734,-0.030603122,0.108399734,-0.073365346,0.040837966,0.041905172,-0.06064977,0.004961918,-0.05134318,0.029690204,0.002531114,-0.04128026,0.017767357,0.0906374,0.03455287,0.014685729,-0.0042179776,-0.0012256391,0.038483292,0.053190887,-0.009105867,0.088134475,0.002889286,-0.03573469,0.052223057,-0.006150922,0.008902321,0.725558,22
-0.0028667678,-0.021937381,-0.0058927587,-0.03255657,0.09677528,-0.07211002,0.04551552,0.049028862,-0.059533756,-0.00031511404,-0.057145804,0.041247725,-0.0064458987,-0.02661783,0.015501073,0.08979912,0.025015682,0.014790061,-0.0032213053,-0.019117855,0.06579197,0.05052642,-0.016514586,0.07732935,0.004334926,-0.027692828,0.05316663,-0.020560835,0.013518359,0.7301883,23
-0.010045751,-0.025053125,-0.0062434925,-0.034885474,0.09369945,-0.048601978,0.047730573,0.038919035,-0.04906024,-0.0051168874,-0.05074201,0.024125444,0.002822626,-0.027683549,-0.0021676777,0.09948375,0.027400991,0.027916178,-0.018374912,-0.018574322,0.06404175,0.03159489,0.0059920154,0.08351701,-0.0046289605,-0.01718889,0.040340174,-0.03294328,0.02593273,0.7377939,24
-0.015830072,-0.02538807,-0.013869068,-0.029342748,0.10174873,-0.01576864,0.03814367,0.03699882,-0.04606386,-0.017772298,-0.031770248,0.027544286,0.0060677994,-0.048116133,-0.01956408,0.090629004,0.026756816,0.045189142,-0.012521054,-0.020827752,0.0535028,0.0404443,-0.005243155,0.08836537,-0.01290844,-0.0116845835,0.039823193,-0.038057238,0.03630168,0.7332118,25
