Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Day
0.033269864,-0.07072986,-0.054858178,-0.163089,0.41181794,0.5528085,0.082199685,0.056959588,0.04788798,0.33590326,-0.09230314,-0.10317398,0.20131946,0.050973713,-0.28898585,38
0.099464476,-0.05540293,-0.08974076,-0.17071225,0.377917,0.5925399,0.048489273,0.05886075,0.08849354,0.22072095,-0.087974586,-0.09600753,0.22616042,0.05991528,-0.27272353,39
0.061614834,-0.061203536,-0.039414212,-0.1325581,0.36185828,0.60974205,0.02915704,0.047550492,0.08471592,0.20316511,-0.12952787,-0.12794624,0.24185963,0.11061706,-0.2596304,40
0.053411737,-0.01905328,-0.023386464,-0.15972066,0.32783413,0.6152323,0.034166265,0.10238057,0.073447384,0.16537382,-0.09946502,-0.14102226,0.24451987,0.09293431,-0.26665267,41
0.13989633,-0.024725521,-0.00035060887,-0.13733745,0.32685238,0.5253624,0.064574994,-0.06689584,0.14279883,0.1386624,-0.08656959,-0.14203432,0.24511147,0.12650624,-0.25185168,42
0.09628904,-0.021418165,-0.00717743,-0.1235322,0.33790576,0.5333852,0.018884098,-0.059914723,0.1582285,0.13322629,-0.03933942,-0.14587283,0.24554484,0.13447122,-0.26068023,43
0.084486715,-0.024684113,0.011054746,-0.12355061,0.31960392,0.5306888,0.017900258,-0.035781607,0.2360329,0.14383674,-0.16374111,-0.11327876,0.25336576,0.111163355,-0.24709703,44
0.08469746,-0.019093875,-0.018137813,0.017486557,0.2672614,0.60342145,-0.07439743,-0.06595543,0.23152137,0.14904632,-0.13910455,-0.16868706,0.1760321,0.25516212,-0.2992526,45
-0.06575194,-0.0044291406,-0.10781718,-0.150617,0.44374403,0.73268795,0.028743476,-0.039159562,0.19456919,-0.09181315,-0.054225534,-0.23491532,0.25301796,0.3009081,-0.20494184,46
-0.00915702,-0.024288183,-0.07472161,-0.11693651,0.41798759,0.7334474,-0.0528614,-0.0075634373,0.20245932,-0.09555784,-0.050215364,-0.18235703,0.19195005,0.26891488,-0.20110081,47
0.020218713,-0.047446527,-0.119628295,-0.18678495,0.42432404,0.51928043,-0.024284597,0.05922824,0.25026703,-0.040692326,0.016249832,-0.24019264,0.20130706,0.33618698,-0.16803299,48
-0.15322419,-0.035494905,-0.051293183,-0.283798,0.566292,0.51996416,0.014972025,0.13712049,0.09077931,0.10994034,-0.103516355,-0.11959269,0.19853526,0.33034894,-0.22103314,49
-0.13754062,-0.033405628,-0.038174234,-0.24366334,0.556712,0.569794,0.011306506,0.09878962,0.045232385,0.15181367,-0.03402093,-0.1297163,0.1520334,0.20591955,-0.17508003,50
