Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Asset_16_Weight,Asset_17_Weight,Asset_18_Weight,Asset_19_Weight,Asset_20_Weight,Asset_21_Weight,Asset_22_Weight,Asset_23_Weight,Asset_24_Weight,Asset_25_Weight,Asset_26_Weight,Asset_27_Weight,Asset_28_Weight,Asset_29_Weight,Day
-0.03600907,-0.0058016013,0.06432326,-0.07763738,0.20969483,-0.15237801,0.03037501,0.035449073,-0.14575028,-0.022512835,0.047722936,0.12380628,0.14144969,-0.0434729,0.012525913,0.022784635,0.10201638,0.15366897,-0.1330419,-0.064891234,0.29389903,0.12428799,-0.17635724,0.22130616,0.0481103,-0.21302982,0.30603188,-0.038213484,0.17164342,104
-0.034293965,-0.009486512,0.05965514,-0.06879118,0.19794694,-0.08300306,0.029110584,0.028253218,-0.163737,-0.021818805,0.059662823,0.11419132,0.1634944,-0.037499845,-0.0103975125,0.032644276,0.10004953,0.1691414,-0.14204367,-0.06275911,0.25723475,0.110149905,-0.17097513,0.22930774,0.028734026,-0.20374386,0.28148934,-0.037678685,0.18516298,105
-0.06523142,-0.008112286,0.07447171,-0.05474773,0.2053101,0.05194212,0.0284648,0.0049856748,-0.19742998,-0.009175539,0.061770152,0.11408028,0.1930488,-0.085110135,-0.07638896,0.0064830338,0.09722351,0.22137438,-0.14447707,-0.02590904,0.19670348,0.114868395,-0.18105516,0.20840806,0.043877803,-0.17426182,0.25223342,-0.0742328,0.22088623,106
-0.055435736,-0.015564118,0.058097977,-0.06497131,0.22506684,0.054413047,0.016173925,0.02035709,-0.203906,-0.00957868,0.07342259,0.07924871,0.19984303,-0.040339157,-0.056406103,-0.0026395826,0.09422349,0.25681883,-0.14621206,-0.04974525,0.20577116,0.111065395,-0.15845226,0.18689272,-0.00096417463,-0.17698674,0.22950454,-0.07912241,0.24942422,107
0.0028792256,-0.026587002,0.1072214,-0.07294959,0.18403172,0.046460424,0.046662953,-0.0023589581,-0.30236882,0.013874209,-0.013260735,0.11213166,0.15230104,-0.060025975,-0.076554105,-0.086432494,0.18481134,0.2874163,-0.118671104,-0.06529273,0.15349941,0.15385748,-0.17218232,0.10344835,0.0073682754,-0.15245356,0.3329954,-0.030384976,0.2905631,108
0.020055393,-0.039647754,0.11692887,-0.07395395,0.119936936,0.10234563,0.038267914,0.035822134,-0.2823211,0.031763013,-0.04695452,0.13789047,0.16011852,-0.025390787,-0.09791469,-0.16397743,0.19477278,0.3335369,-0.16320331,-0.07829663,0.2100143,0.15883861,-0.17901713,0.112988986,-0.07591754,-0.13015972,0.30400893,-0.053021576,0.33248675,109
0.029894648,-0.047177285,0.08871233,-0.08817315,0.13142219,0.15700233,0.047151025,0.03022759,-0.27774757,0.01595662,-0.052241474,0.10429454,0.15283953,0.010114794,-0.103786625,-0.13413852,0.12180519,0.31832504,-0.11340256,-0.076283425,0.23868933,0.20392047,-0.17818782,0.103743725,-0.04237914,-0.15797436,0.24483106,-0.057212085,0.32977363,110
0.018180165,-0.045734204,0.08824465,-0.09551054,0.12349679,0.08038535,0.039886255,0.047706373,-0.2313307,0.01818337,-0.036459967,0.117604196,0.17527567,-0.028742721,-0.06442088,-0.1417906,0.10171577,0.227303,-0.10067933,-0.030787352,0.3156975,0.16917175,-0.19188666,0.085215874,0.038031306,-0.19791779,0.24460684,0.012798033,0.26175788,111
0.024672393,0.021548348,-0.14871103,-0.18819068,0.39461952,-0.24949057,0.11685531,0.016253572,-0.109317556,0.20325546,-0.11441181,0.23306999,0.034162175,-0.031045327,0.16142593,-0.04625973,0.10942345,-0.17617472,-0.039643705,-0.025808834,0.12677719,0.09448601,-0.19040185,0.13732752,0.23171541,-0.037929546,0.3996836,0.12835656,-0.07624707,112
-0.13864528,0.11071619,0.069272,0.07656429,0.13821338,-0.53958553,0.06002012,0.18097468,-0.17759974,0.11072954,-0.124159515,0.3712805,-0.099877626,-0.08041735,0.24950707,-0.10115181,0.0869213,-0.115346715,-0.2938153,-0.08310007,0.32641974,0.18635012,-0.21041808,0.21034059,0.13761689,-0.00422373,0.64992785,0.058855884,-0.05536939,113
