Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Estimation_Method,Distribution,Model
96,0.9378136,3.3108768,2.366363,1.8628465,1.3859451,5,MAP,Normal,Sequential RNN
97,-0.89306474,3.0725703,2.3100846,1.9036062,1.118844,5,MAP,Normal,Sequential RNN
98,0.06796197,2.9093988,1.9653625,1.4621003,1.3852447,5,MAP,Normal,Sequential RNN
99,0.9149838,2.7380428,1.7912849,1.2865717,1.3892385,5,MAP,Normal,Sequential RNN
100,1.378222,2.4649496,1.6918644,1.2797356,1.1343973,5,MAP,Normal,Sequential RNN
101,0.6798127,2.9477248,2.1346936,1.7012699,1.1930125,5,MAP,Normal,Sequential RNN
102,-0.67104185,3.5195632,2.5829096,2.083583,1.3744113,5,MAP,Normal,Sequential RNN
103,-0.8547962,3.2063868,2.285873,1.7951505,1.3507286,5,MAP,Normal,Sequential RNN
104,-0.40318847,2.2297397,1.4039011,0.9636497,1.2118056,5,MAP,Normal,Sequential RNN
105,-0.5177556,2.4028652,1.6063313,1.1817021,1.1688049,5,MAP,Normal,Sequential RNN
106,-0.83814,3.1005142,2.2267566,1.7609595,1.2821205,5,MAP,Normal,Sequential RNN
107,-2.1944208,2.8917096,2.027811,1.56727,1.2676535,5,MAP,Normal,Sequential RNN
108,-0.4251893,3.13848,2.145317,1.6158656,1.4573312,5,MAP,Normal,Sequential RNN
109,-0.75382197,2.596923,1.7156216,1.245803,1.2931901,5,MAP,Normal,Sequential RNN
110,0.6338873,3.4640496,2.5153904,2.0096638,1.392028,5,MAP,Normal,Sequential RNN
111,1.1733979,2.739354,1.9734057,1.5650816,1.1239245,5,MAP,Normal,Sequential RNN
112,-4.3129277,3.0531814,2.3414056,1.9619604,1.0444343,5,MAP,Normal,Sequential RNN
113,1.0827855,4.191474,2.9997342,2.3644218,1.7487164,5,MAP,Normal,Sequential RNN
114,-2.7015376,3.2930083,2.3273098,1.8124996,1.417031,5,MAP,Normal,Sequential RNN
115,-0.74285126,3.8909383,2.880763,2.3422425,1.4822943,5,MAP,Normal,Sequential RNN
116,0.69104975,4.6485677,3.3777156,2.7002292,1.8648022,5,MAP,Normal,Sequential RNN
117,-1.7529296,2.4497333,1.5588017,1.0838493,1.3073208,5,MAP,Normal,Sequential RNN
118,1.9308628,2.1373403,1.3561872,0.93975735,1.1462358,5,MAP,Normal,Sequential RNN
119,1.4859043,2.4665642,1.7021072,1.2945781,1.1217364,5,MAP,Normal,Sequential RNN
