Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Estimation_Method,Distribution,Model
79,-0.16348954,1.1863574,0.7537232,0.52308756,0.6348317,29,MAP,Normal,Sequential LSTM
80,-0.28071362,1.6731927,1.2118225,0.96586776,0.67699796,29,MAP,Normal,Sequential LSTM
81,1.0272895,1.2410462,0.82386726,0.6014707,0.61215323,29,MAP,Normal,Sequential LSTM
82,-0.04698061,1.2821151,0.8454079,0.6126009,0.6408083,29,MAP,Normal,Sequential LSTM
83,0.30475998,1.4497728,0.99169534,0.74749595,0.6721662,29,MAP,Normal,Sequential LSTM
84,0.74442637,1.205469,0.7789611,0.5515914,0.6258422,29,MAP,Normal,Sequential LSTM
85,0.41950613,1.4761399,1.0275482,0.7884056,0.65824723,29,MAP,Normal,Sequential LSTM
86,0.3748175,1.2149167,0.8121917,0.59750056,0.5909441,29,MAP,Normal,Sequential LSTM
87,0.19490103,1.2079747,0.80533916,0.5906957,0.59081286,29,MAP,Normal,Sequential LSTM
88,-0.095883176,1.2643743,0.8675261,0.6559678,0.58232063,29,MAP,Normal,Sequential LSTM
89,0.42351472,1.3730574,0.953112,0.7292407,0.61621255,29,MAP,Normal,Sequential LSTM
90,-0.07627981,1.2997174,0.8783439,0.65371126,0.6183082,29,MAP,Normal,Sequential LSTM
91,-0.19275752,1.3838048,0.95312107,0.72352517,0.63196975,29,MAP,Normal,Sequential LSTM
92,-0.2805223,1.7531137,1.287385,1.0391066,0.6833936,29,MAP,Normal,Sequential LSTM
93,-0.21761356,1.6021013,1.0897474,0.8166134,0.75180966,29,MAP,Normal,Sequential LSTM
94,-0.54791033,1.2261221,0.8388917,0.63246053,0.56820804,29,MAP,Normal,Sequential LSTM
95,0.7298902,1.5344825,1.1030155,0.8730021,0.6331189,29,MAP,Normal,Sequential LSTM
96,-1.0129809,1.1580473,0.7741145,0.5694413,0.56336915,29,MAP,Normal,Sequential LSTM
97,-1.101067,1.9394729,1.4410995,1.1754185,0.73129517,29,MAP,Normal,Sequential LSTM
98,0.5836413,1.1727182,0.75539714,0.5329249,0.61236167,29,MAP,Normal,Sequential LSTM
99,0.30090415,0.8801908,0.4945057,0.2888984,0.5659404,29,MAP,Normal,Sequential LSTM
100,0.016165202,1.1873055,0.82109153,0.62586427,0.537369,29,MAP,Normal,Sequential LSTM
101,-0.02206219,1.2772715,0.8716762,0.6554549,0.5951558,29,MAP,Normal,Sequential LSTM
102,0.19579081,1.5184543,1.1081829,0.88946867,0.60201746,29,MAP,Normal,Sequential LSTM
103,-0.12255123,1.1044844,0.6822832,0.45720932,0.6195228,29,MAP,Normal,Sequential LSTM
104,-0.19427824,1.2904028,0.864182,0.6369653,0.625421,29,MAP,Normal,Sequential LSTM
105,0.9145342,1.2006606,0.76530784,0.5332229,0.6388208,29,MAP,Normal,Sequential LSTM
106,-0.44890594,1.315909,0.9016053,0.6807415,0.60793436,29,MAP,Normal,Sequential LSTM
107,-1.3755805,1.1990821,0.78029615,0.5570429,0.61451143,29,MAP,Normal,Sequential LSTM
108,-0.04278616,1.5494536,1.0397481,0.76802593,0.74792343,29,MAP,Normal,Sequential LSTM
109,0.6689426,1.2920432,0.83721817,0.5947526,0.6673938,29,MAP,Normal,Sequential LSTM
110,0.100435,1.4857138,1.0274367,0.7831309,0.67245924,29,MAP,Normal,Sequential LSTM
111,-1.5501254,1.720843,1.266558,1.0243804,0.66660124,29,MAP,Normal,Sequential LSTM
112,-1.8592668,2.3884723,1.7997322,1.485877,0.86389583,29,MAP,Normal,Sequential LSTM
113,-1.4983828,2.3429863,1.7244635,1.394731,0.90759826,29,MAP,Normal,Sequential LSTM
