Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Estimation_Method,Distribution,Model
23,0.06904483,-1.601815,-1.1623858,-0.9281278,0.6448024,15,MAP,Normal,Sequential LSTM
24,0.35666797,-1.205335,-0.77582586,-0.5468561,0.6302462,15,MAP,Normal,Sequential LSTM
25,0.28231603,-1.6048292,-1.1818941,-0.956429,0.62059957,15,MAP,Normal,Sequential LSTM
26,-0.5692729,-1.4511781,-0.9458272,-0.6764265,0.7415337,15,MAP,Normal,Sequential LSTM
27,0.040720128,-1.7853951,-1.267842,-0.99193645,0.7594387,15,MAP,Normal,Sequential LSTM
28,0.5091617,-1.7400582,-1.2564229,-0.99859875,0.7096689,15,MAP,Normal,Sequential LSTM
29,0.675387,-1.6908289,-1.2253383,-0.9771871,0.6830439,15,MAP,Normal,Sequential LSTM
30,-0.06423404,-1.581659,-1.1041824,-0.8496413,0.70063186,15,MAP,Normal,Sequential LSTM
31,-0.22719191,-1.8905848,-1.4095651,-1.1531353,0.70583093,15,MAP,Normal,Sequential LSTM
32,0.6027729,-1.6233978,-1.1888739,-0.9572307,0.6376048,15,MAP,Normal,Sequential LSTM
33,1.0240723,-1.4533023,-1.0039909,-0.7644646,0.65930337,15,MAP,Normal,Sequential LSTM
34,-0.41104233,-2.122796,-1.5556866,-1.2533625,0.83215606,15,MAP,Normal,Sequential LSTM
35,0.36376077,-1.5530316,-1.0305486,-0.7520149,0.76667255,15,MAP,Normal,Sequential LSTM
36,0.27851164,-2.158245,-1.6198219,-1.3327906,0.79006255,15,MAP,Normal,Sequential LSTM
37,0.056479495,-1.9433827,-1.4250457,-1.1487222,0.76058894,15,MAP,Normal,Sequential LSTM
38,0.5487225,-1.3999275,-0.87795377,-0.5996915,0.7659254,15,MAP,Normal,Sequential LSTM
39,-0.79893786,-1.8580352,-1.24584,-0.9194808,0.89831334,15,MAP,Normal,Sequential LSTM
40,0.505539,-2.0238702,-1.4827075,-1.1942157,0.79408264,15,MAP,Normal,Sequential LSTM
41,-0.3635502,-2.2354155,-1.5821115,-1.2338375,0.9586348,15,MAP,Normal,Sequential LSTM
42,0.043689653,-2.6537068,-1.9598203,-1.589912,1.018184,15,MAP,Normal,Sequential LSTM
43,0.5770227,-1.5260466,-1.0554229,-0.8045351,0.69057626,15,MAP,Normal,Sequential LSTM
44,-0.15075867,-2.5083432,-1.8557096,-1.507793,0.95765096,15,MAP,Normal,Sequential LSTM
45,-0.35421383,-2.1055222,-1.5067123,-1.1874889,0.87867194,15,MAP,Normal,Sequential LSTM
46,0.8137931,-1.9459674,-1.4273336,-1.1508517,0.7610246,15,MAP,Normal,Sequential LSTM
47,-0.27592438,-1.4787041,-1.0008906,-0.7461701,0.7011261,15,MAP,Normal,Sequential LSTM
48,-0.27533174,-1.391304,-0.9216081,-0.67121494,0.6892148,15,MAP,Normal,Sequential LSTM
49,-0.8049606,-1.9195756,-1.3605499,-1.0625355,0.82029384,15,MAP,Normal,Sequential LSTM
50,0.42456728,-1.7239339,-1.2253853,-0.9596109,0.7315522,15,MAP,Normal,Sequential LSTM
51,0.22498766,-1.5767157,-1.1242653,-0.88306564,0.6639094,15,MAP,Normal,Sequential LSTM
52,0.21889107,-1.4993305,-1.0925826,-0.87574685,0.5968472,15,MAP,Normal,Sequential LSTM
53,0.6865134,-1.468129,-0.97286123,-0.7088358,0.7267381,15,MAP,Normal,Sequential LSTM
54,-1.2761523,-1.5788528,-1.1133898,-0.8652533,0.6830034,15,MAP,Normal,Sequential LSTM
55,0.46944258,-2.0109446,-1.4543725,-1.157666,0.81669384,15,MAP,Normal,Sequential LSTM
56,-0.864452,-1.6960961,-1.2122687,-0.95434207,0.7099508,15,MAP,Normal,Sequential LSTM
57,0.3894572,-2.0080903,-1.4102505,-1.0915443,0.8772486,15,MAP,Normal,Sequential LSTM
58,0.5385033,-1.9920542,-1.4865687,-1.2170962,0.74173117,15,MAP,Normal,Sequential LSTM
59,-0.15527646,-1.5034999,-1.0170629,-0.7577451,0.71378,15,MAP,Normal,Sequential LSTM
60,-0.2276398,-1.8401997,-1.3733532,-1.1244792,0.68503356,15,MAP,Normal,Sequential LSTM
61,-0.585125,-1.4495512,-0.96326387,-0.70402586,0.71356046,15,MAP,Normal,Sequential LSTM
62,0.16699043,-1.671103,-1.2009554,-0.9503213,0.68987775,15,MAP,Normal,Sequential LSTM
63,-0.15071638,-1.7991697,-1.3098727,-1.0490303,0.71797657,15,MAP,Normal,Sequential LSTM
64,1.6120706,-2.1077485,-1.590364,-1.3145483,0.75919133,15,MAP,Normal,Sequential LSTM
65,1.248164,-1.4672204,-1.0112971,-0.7682461,0.66900533,15,MAP,Normal,Sequential LSTM
66,0.46230087,-2.0153203,-1.5319525,-1.274271,0.7092763,15,MAP,Normal,Sequential LSTM
67,0.058524486,-1.4941208,-1.0570545,-0.8240561,0.6413353,15,MAP,Normal,Sequential LSTM
68,0.30863374,-1.9101963,-1.3838001,-1.1031803,0.77241474,15,MAP,Normal,Sequential LSTM
69,0.97515833,-1.7566503,-1.2857276,-1.0346804,0.691015,15,MAP,Normal,Sequential LSTM
70,-0.4431961,-1.9542589,-1.4419318,-1.1688122,0.75177026,15,MAP,Normal,Sequential LSTM
71,-0.23420542,-1.82,-1.3170562,-1.0489386,0.73800164,15,MAP,Normal,Sequential LSTM
72,-0.05875079,-1.6062965,-1.1124641,-0.84920377,0.7246319,15,MAP,Normal,Sequential LSTM
73,0.65346056,-1.7726446,-1.2826172,-1.0213854,0.71904856,15,MAP,Normal,Sequential LSTM
74,-0.34135655,-1.6207634,-1.1172532,-0.84883386,0.7388326,15,MAP,Normal,Sequential LSTM
75,0.23950167,-1.5135132,-1.008317,-0.7389988,0.74130666,15,MAP,Normal,Sequential LSTM
76,-0.3263832,-1.8264037,-1.308993,-1.0331633,0.7592297,15,MAP,Normal,Sequential LSTM
77,0.31178844,-1.7944791,-1.3042444,-1.0429021,0.71935266,15,MAP,Normal,Sequential LSTM
78,-0.7215027,-1.4788704,-0.9436158,-0.6582736,0.78541315,15,MAP,Normal,Sequential LSTM
