Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Estimation_Method,Distribution,Model
113,-2.0564544,-3.6401083,-2.4373088,-1.7961007,1.7649447,15,MAP,Normal,Sequential RNN
114,-2.8305879,-1.9867709,-1.3213344,-0.96659267,0.9764374,15,MAP,Normal,Sequential RNN
115,-4.5473537,-2.432354,-1.5902516,-1.1413299,1.2356707,15,MAP,Normal,Sequential RNN
116,0.56067777,-4.7204485,-3.425978,-2.7359004,1.8994595,15,MAP,Normal,Sequential RNN
117,2.4978194,-2.7586577,-2.168355,-1.8536667,0.8661888,15,MAP,Normal,Sequential RNN
118,4.3862805,-2.3744264,-1.6531892,-1.2687004,1.0583173,15,MAP,Normal,Sequential RNN
119,1.8188059,-3.0220249,-2.3895593,-2.0523942,0.9280572,15,MAP,Normal,Sequential RNN
120,0.12489364,-3.7642565,-2.7086499,-2.14591,1.5489589,15,MAP,Normal,Sequential RNN
121,2.1804404,-4.174738,-2.9242039,-2.2575486,1.8349887,15,MAP,Normal,Sequential RNN
122,1.729146,-1.191959,-0.29117545,0.18902896,1.3217773,15,MAP,Normal,Sequential RNN
123,-4.4011197,-3.9974606,-3.2078428,-2.7869005,1.1586565,15,MAP,Normal,Sequential RNN
124,-4.2918396,-3.2775745,-2.1856773,-1.603591,1.6022104,15,MAP,Normal,Sequential RNN
125,-11.797374,-2.3879013,-1.5919464,-1.1676258,1.1679554,15,MAP,Normal,Sequential RNN
126,0.1462152,-2.5024185,-2.0170546,-1.7583089,0.7122054,15,MAP,Normal,Sequential RNN
127,0.13007113,-1.1663376,-0.41647252,-0.016722234,1.1003249,15,MAP,Normal,Sequential RNN
128,3.5762184,-2.291819,-1.8569856,-1.6251774,0.6380591,15,MAP,Normal,Sequential RNN
129,1.1487423,-0.9316546,-0.2990948,0.038120482,0.9281953,15,MAP,Normal,Sequential RNN
130,-4.454429,-1.9028562,-1.4641877,-1.2303351,0.6436863,15,MAP,Normal,Sequential RNN
131,-4.3606586,-1.254775,-0.5113127,-0.11497576,1.0909296,15,MAP,Normal,Sequential RNN
132,5.1458216,-1.3749462,-0.6705219,-0.29499587,1.0336468,15,MAP,Normal,Sequential RNN
133,-3.2083523,-1.4817908,-0.96662945,-0.69199884,0.7559291,15,MAP,Normal,Sequential RNN
134,4.8567157,-1.825054,-1.3140903,-1.0416973,0.74976987,15,MAP,Normal,Sequential RNN
135,1.3338729,-1.9570857,-1.4207262,-1.1347948,0.78703463,15,MAP,Normal,Sequential RNN
136,3.3762145,-0.42945528,0.12390394,0.4188977,0.8119793,15,MAP,Normal,Sequential RNN
137,1.9135971,-1.8026094,-1.1324067,-0.77512413,0.9834313,15,MAP,Normal,Sequential RNN
138,2.2411737,-3.1325777,-2.306797,-1.8665762,1.211721,15,MAP,Normal,Sequential RNN
139,2.208704,-3.4118166,-2.262059,-1.6491274,1.6871127,15,MAP,Normal,Sequential RNN
140,-1.389993,-4.200261,-3.0860848,-2.4921215,1.634902,15,MAP,Normal,Sequential RNN
141,1.8128915,-4.552393,-3.469899,-2.8928251,1.588413,15,MAP,Normal,Sequential RNN
142,3.8064797,-2.85696,-2.2619724,-1.9447867,0.8730633,15,MAP,Normal,Sequential RNN
143,2.3876038,-1.9098786,-1.1956403,-0.8148825,1.0480474,15,MAP,Normal,Sequential RNN
144,-2.803609,-2.8485718,-2.2651663,-1.954155,0.856068,15,MAP,Normal,Sequential RNN
145,-1.3129377,-2.093852,-1.3734035,-0.9893352,1.0571599,15,MAP,Normal,Sequential RNN
146,2.9892185,-4.233552,-3.210759,-2.6655118,1.5008093,15,MAP,Normal,Sequential RNN
147,-2.9772356,-2.5700057,-1.9988095,-1.6943069,0.83815265,15,MAP,Normal,Sequential RNN
148,2.0302606,-4.6213317,-3.4997704,-2.9018703,1.6457384,15,MAP,Normal,Sequential RNN
149,2.4392445,-3.9433424,-3.0209963,-2.5292969,1.3534174,15,MAP,Normal,Sequential RNN
150,-1.6502234,-2.945447,-2.1756828,-1.7653242,1.1295244,15,MAP,Normal,Sequential RNN
151,-1.5101589,-2.501841,-1.6846869,-1.2490652,1.1990623,15,MAP,Normal,Sequential RNN
