Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Model
50,0.497521,3.3420444,2.236664,1.6474516,1.6231743,2,Sequential LSTM
51,0.034665417,3.2310288,2.133111,1.5478781,1.6122139,2,Sequential LSTM
52,1.689889,4.123953,3.002533,2.4047723,1.6467242,2,Sequential LSTM
53,0.7908712,3.9774477,2.9537811,2.4081254,1.503183,2,Sequential LSTM
54,-0.34073982,3.2464032,2.197711,1.6387169,1.539929,2,Sequential LSTM
55,0.9241372,3.2018323,2.1371741,1.5696685,1.5633756,2,Sequential LSTM
56,-1.8504916,3.3983915,2.2864683,1.6937692,1.6327796,2,Sequential LSTM
57,-1.1059992,3.588533,2.4605284,1.8592567,1.6563954,2,Sequential LSTM
58,0.64107645,3.317385,2.2245529,1.64203,1.6047457,2,Sequential LSTM
59,0.3644356,3.7085612,2.6209135,2.0411537,1.5971346,2,Sequential LSTM
60,0.39897117,3.3387487,2.2069829,1.603707,1.6619164,2,Sequential LSTM
61,-0.699363,3.3853815,2.291664,1.7086676,1.6060474,2,Sequential LSTM
62,1.4209158,3.6439505,2.534803,1.9435829,1.6287042,2,Sequential LSTM
63,-0.23204018,3.9531653,2.6945255,2.0236206,1.8482225,2,Sequential LSTM
64,0.052864064,3.3434603,2.210048,1.6058943,1.6643339,2,Sequential LSTM
65,2.0937989,3.367933,2.3026981,1.7348857,1.5642215,2,Sequential LSTM
66,-0.74197996,4.8065357,3.4338775,2.7021954,2.0156505,2,Sequential LSTM
67,0.13172166,3.4255576,2.3009374,1.7014705,1.6514249,2,Sequential LSTM
68,-0.039849676,3.2694235,2.1593447,1.567628,1.6300724,2,Sequential LSTM
69,0.0877896,3.281555,2.2344692,1.6763316,1.5375705,2,Sequential LSTM
70,-0.47443405,3.5773046,2.5017622,1.9284561,1.5793561,2,Sequential LSTM
71,0.2735643,3.3377175,2.2223115,1.6277558,1.6378937,2,Sequential LSTM
72,-0.083600424,3.7948322,2.6964996,2.111044,1.6128238,2,Sequential LSTM
73,0.91518867,3.4148176,2.2444985,1.6206714,1.7185303,2,Sequential LSTM
74,0.03052207,4.1687107,2.9883146,2.3591166,1.7333286,2,Sequential LSTM
75,-1.4017261,3.4883718,2.3974707,1.8159773,1.60191,2,Sequential LSTM
76,-0.50831217,3.8629775,2.6950207,2.0724542,1.7150613,2,Sequential LSTM
77,-0.17904106,3.3709211,2.2255359,1.6149994,1.681918,2,Sequential LSTM
78,-0.17569657,3.9951966,2.8915,2.3031864,1.6206988,2,Sequential LSTM
79,0.6380819,3.9779847,2.868275,2.2767565,1.6295302,2,Sequential LSTM
80,-0.24221748,3.988408,2.9066007,2.329955,1.5885575,2,Sequential LSTM
81,0.7414491,3.4611478,2.3895626,1.8183659,1.5735462,2,Sequential LSTM
82,1.8486823,3.871702,2.7532248,2.157033,1.6424031,2,Sequential LSTM
83,-0.45562476,4.444804,3.1896482,2.5205996,1.8431076,2,Sequential LSTM
84,0.7880074,3.5517,2.4759502,1.9025311,1.5796645,2,Sequential LSTM
85,0.7264139,3.6762753,2.552378,1.9532961,1.6503621,2,Sequential LSTM
86,0.6891629,4.313944,3.1972163,2.601957,1.6398332,2,Sequential LSTM
87,-0.07208532,3.5133104,2.4310424,1.854151,1.5892329,2,Sequential LSTM
88,-0.20887871,3.2992485,2.187965,1.5956066,1.6318405,2,Sequential LSTM
89,0.41656548,4.6656027,3.4631915,2.822259,1.7656554,2,Sequential LSTM
90,-0.65217185,3.5300932,2.2996209,1.64373,1.8068625,2,Sequential LSTM
91,-0.32447186,3.259577,2.1714225,1.5913929,1.5978779,2,Sequential LSTM
92,-0.4628834,4.250581,3.1099465,2.5019436,1.6749396,2,Sequential LSTM
93,-2.4951887,7.1924977,5.4680147,4.548798,2.5322807,2,Sequential LSTM
94,0.33873925,3.8768559,2.5631018,1.8628192,1.9291544,2,Sequential LSTM
95,-0.70094407,4.070482,2.9407501,2.3385592,1.6589307,2,Sequential LSTM
96,0.31250155,4.6463466,3.413149,2.7558062,1.8108624,2,Sequential LSTM
97,-1.7500111,4.425173,3.2769547,2.6649091,1.686077,2,Sequential LSTM
98,0.7588174,3.524536,2.3558657,1.7329183,1.7161095,2,Sequential LSTM
99,0.5868291,3.3719997,2.2779145,1.6947238,1.6065859,2,Sequential LSTM
100,1.2591954,3.6734207,2.5595543,1.9658215,1.6356312,2,Sequential LSTM
101,-1.0599852,4.140678,3.013191,2.4121947,1.6556351,2,Sequential LSTM
102,-0.12573834,5.720918,4.2927904,3.5315413,2.0971034,2,Sequential LSTM
103,1.0262086,4.0757623,2.9599283,2.3651445,1.638524,2,Sequential LSTM
104,0.9359322,3.674106,2.3491664,1.6429213,1.9455786,2,Sequential LSTM
105,0.3150576,3.758112,2.5540917,1.9123017,1.7680178,2,Sequential LSTM
106,0.4496777,3.903392,2.7779245,2.178007,1.652667,2,Sequential LSTM
107,-0.36225003,3.8864934,2.7856245,2.1988173,1.6165487,2,Sequential LSTM
108,0.02242962,3.8524299,2.741669,2.1495886,1.6310753,2,Sequential LSTM
109,-0.36185807,3.4056509,2.2778525,1.6766909,1.6560918,2,Sequential LSTM
110,-0.11931555,5.3767643,4.037737,3.3239813,1.9662681,2,Sequential LSTM
111,-2.5892205,3.8158832,2.7078736,2.1172602,1.6270328,2,Sequential LSTM
112,-1.8986843,4.6555114,3.3123405,2.5963767,1.9723504,2,Sequential LSTM
113,-2.6391613,4.206599,2.9522223,2.2835891,1.8419642,2,Sequential LSTM
114,3.4396265,9.439599,7.34572,6.2295976,3.074717,2,Sequential LSTM
115,-6.7461944,7.329071,5.5706882,4.6334023,2.5820587,2,Sequential LSTM
116,0.39701885,6.0986366,4.367571,3.4448435,2.541947,2,Sequential LSTM
117,1.982854,3.4766178,2.270035,1.6268785,1.7717801,2,Sequential LSTM
118,-1.9770617,5.070867,3.6511168,2.894333,2.0848017,2,Sequential LSTM
119,1.9114112,4.294205,3.0463505,2.3811953,1.8323846,2,Sequential LSTM
120,-2.6489713,5.4397707,4.0924163,3.3742242,1.9784931,2,Sequential LSTM
121,-7.1820874,6.0557365,4.5294447,3.7158697,2.2412505,2,Sequential LSTM
122,-10.048073,9.756034,7.7306714,6.6510744,2.9741013,2,Sequential LSTM
123,1.7931049,4.7183075,2.731059,1.6717769,2.9181325,2,Sequential LSTM
124,-2.673101,9.764946,7.657454,6.534082,3.0946963,2,Sequential LSTM
125,-21.133804,8.711613,7.1446624,6.3094172,2.3009553,2,Sequential LSTM
126,3.7226472,4.729429,2.331758,1.0537059,3.5208068,2,Sequential LSTM
127,1.4592736,8.469567,6.9847884,6.193344,2.1802917,2,Sequential LSTM
128,-3.284756,5.634992,3.1635745,1.8462095,3.6291044,2,Sequential LSTM
129,-10.877253,8.718001,7.084824,6.2142773,2.3982008,2,Sequential LSTM
130,-0.90137655,6.338603,4.172479,3.0178497,3.180797,2,Sequential LSTM
131,-6.0794277,4.29235,2.742852,1.9169081,2.275327,2,Sequential LSTM
132,1.068806,9.426401,7.549427,6.5489254,2.756203,2,Sequential LSTM
133,2.937317,4.6885653,2.0941496,0.7112231,3.8097143,2,Sequential LSTM
134,1.4237348,7.383176,4.895296,3.569158,3.6532733,2,Sequential LSTM
135,1.8496138,6.183583,3.778611,2.4966643,3.5315316,2,Sequential LSTM
136,17.82297,9.475881,7.5668664,6.549288,2.8032525,2,Sequential LSTM
137,-2.6886146,7.6396804,5.552385,4.439773,3.0650473,2,Sequential LSTM
138,5.716004,7.117904,5.3556676,4.4163256,2.5877216,2,Sequential LSTM
139,-2.7040915,4.2930245,3.1650665,2.5638192,1.6563274,2,Sequential LSTM
140,-2.6877134,3.6134493,2.4641442,1.8515193,1.6876729,2,Sequential LSTM
141,5.1103573,7.2590327,5.506371,4.572131,2.5736632,2,Sequential LSTM
142,-2.4462612,5.813516,3.6180933,2.447846,3.2238214,2,Sequential LSTM
143,-1.9802132,3.8413203,2.4218862,1.6652707,2.0843382,2,Sequential LSTM
144,4.188515,3.3053372,2.1888006,1.5936422,1.639554,2,Sequential LSTM
145,1.4597338,6.8302336,4.87292,3.8295944,2.8741736,2,Sequential LSTM
146,2.4140284,4.418511,3.2500684,2.6272428,1.7157742,2,Sequential LSTM
147,-1.7832342,4.8596773,3.380261,2.5916739,2.172418,2,Sequential LSTM
148,-1.4605931,7.263158,5.509885,4.5753193,2.574559,2,Sequential LSTM
149,2.493353,4.9770665,3.6443892,2.9340208,1.9569408,2,Sequential LSTM
150,-2.4728525,4.854798,3.4065356,2.6345568,2.1266682,2,Sequential LSTM
151,-3.9243731,4.8052993,3.4497035,2.7271173,1.9905958,2,Sequential LSTM
152,-2.43288,9.230709,7.061079,5.904583,3.1859438,2,Sequential LSTM
153,2.3166456,4.049428,2.530426,1.7207378,2.230547,2,Sequential LSTM
154,2.114356,4.85773,3.6254592,2.9686098,1.8095026,2,Sequential LSTM
155,2.9632187,6.364633,4.776081,3.9293206,2.3326716,2,Sequential LSTM
156,0.67036086,3.4399385,2.241376,1.6024953,1.7600043,2,Sequential LSTM
157,3.3600256,3.2655408,2.1607711,1.5718858,1.6222754,2,Sequential LSTM
158,2.7496555,3.692046,2.3517387,1.6373013,1.9681461,2,Sequential LSTM
159,-6.5540276,4.4781466,3.3094387,2.6864712,1.7161648,2,Sequential LSTM
160,1.4516263,8.926316,6.7271223,5.5548687,3.229354,2,Sequential LSTM
161,2.4953187,4.341998,3.14003,2.4993331,1.7650044,2,Sequential LSTM
162,-0.278322,4.998157,3.4726076,2.6594286,2.2401612,2,Sequential LSTM
163,1.1075169,5.951279,4.4952064,3.719062,2.138137,2,Sequential LSTM
164,1.6738629,6.2040553,4.6753163,3.860437,2.2448456,2,Sequential LSTM
165,1.1044664,3.8859243,2.4266622,1.6488174,2.1428237,2,Sequential LSTM
166,-0.4965583,5.2059784,3.9123743,3.2228315,1.8995662,2,Sequential LSTM
167,0.15808669,4.4253407,3.2346478,2.5999606,1.748448,2,Sequential LSTM
168,-3.1932943,5.362011,4.03157,3.3223913,1.9536573,2,Sequential LSTM
169,0.981481,3.7193727,2.5010772,1.8516779,1.7889795,2,Sequential LSTM
170,1.9815663,4.109661,2.9455063,2.3249671,1.7094766,2,Sequential LSTM
171,5.99742,4.3305626,2.558772,1.6143368,2.6017485,2,Sequential LSTM
172,0.17533126,5.993952,4.373866,3.5102968,2.3789804,2,Sequential LSTM
173,-1.3800234,3.5169196,2.286628,1.6308331,1.8065975,2,Sequential LSTM
174,-1.3809177,3.0616388,2.030248,1.4804752,1.5145243,2,Sequential LSTM
175,7.3036594,4.0562363,2.9082966,2.296399,1.6856678,2,Sequential LSTM
176,-10.670685,8.135416,5.537666,4.1529627,3.8146114,2,Sequential LSTM
177,4.3850427,4.3675084,2.76393,1.9091594,2.3547404,2,Sequential LSTM
178,-2.660251,5.288574,3.88682,3.1396303,2.0583754,2,Sequential LSTM
179,3.6666634,5.7202153,4.2123775,3.4086432,2.2141476,2,Sequential LSTM
180,0.450471,5.7196093,3.9799867,3.0526986,2.5545123,2,Sequential LSTM
181,1.9771984,3.8657851,2.4264174,1.6591775,2.11361,2,Sequential LSTM
182,2.491771,4.020609,2.4636412,1.6337156,2.2862961,2,Sequential LSTM
183,-0.7339426,4.9805093,3.6050286,2.8718433,2.0197945,2,Sequential LSTM
184,-0.09889141,3.7141128,2.3949401,1.6917692,1.9371114,2,Sequential LSTM
185,1.9295424,3.3038027,2.1828127,1.5852813,1.6460931,2,Sequential LSTM
186,0.48134214,5.1049166,3.6586602,2.8877487,2.123723,2,Sequential LSTM
187,-3.8526325,4.571918,3.4096422,2.7901037,1.7067178,2,Sequential LSTM
188,-11.537214,9.745349,7.6822286,6.582502,3.0295498,2,Sequential LSTM
189,-1.8121386,4.470946,2.9085908,2.075794,2.2942066,2,Sequential LSTM
190,4.5487156,7.850206,5.9969425,5.00908,2.7213867,2,Sequential LSTM
191,1.9613309,6.1093836,4.2956834,3.3289094,2.663289,2,Sequential LSTM
192,-1.6904085,4.4401407,3.0532596,2.313996,2.0365376,2,Sequential LSTM
193,-0.1430953,5.395917,3.9818773,3.2281377,2.076415,2,Sequential LSTM
194,0.54329866,3.5593143,2.4313312,1.8300719,1.6563616,2,Sequential LSTM
195,1.0269345,3.4370773,2.2737322,1.6536244,1.708288,2,Sequential LSTM
196,-0.5557061,3.5122747,2.2914906,1.6407639,1.7926345,2,Sequential LSTM
197,-4.329114,7.032428,5.3693905,4.482924,2.4420552,2,Sequential LSTM
198,2.195483,5.0789485,3.5805078,2.7817767,2.2003565,2,Sequential LSTM
199,-1.0185957,4.9704304,3.7265534,3.0635183,1.8265439,2,Sequential LSTM
200,1.1758724,3.4296353,2.2747772,1.6591918,1.6958269,2,Sequential LSTM
201,0.9883859,4.383148,3.2220232,2.6030989,1.705029,2,Sequential LSTM
202,1.5842394,3.6885073,2.3556104,1.645124,1.9572647,2,Sequential LSTM
203,0.018925669,4.5290074,3.1827533,2.465146,1.9768771,2,Sequential LSTM
204,-0.29975194,3.6618783,2.3512297,1.6526011,1.9245956,2,Sequential LSTM
205,-2.4715004,4.763923,3.5273166,2.8681567,1.8158673,2,Sequential LSTM
206,0.5192828,3.7130327,2.502811,1.8577149,1.7771242,2,Sequential LSTM
207,-0.633634,3.3434174,2.2584248,1.6800803,1.593235,2,Sequential LSTM
208,1.8762665,3.5771291,2.4803624,1.8957415,1.6105255,2,Sequential LSTM
209,-0.90207654,4.2240825,3.0936823,2.4911346,1.6599125,2,Sequential LSTM
210,2.6969593,3.6346226,2.5574176,1.9832242,1.5817996,2,Sequential LSTM
211,-0.57614267,4.484253,2.8116784,1.9201307,2.4560556,2,Sequential LSTM
212,-1.0354128,6.005179,4.5225296,3.7322183,2.177163,2,Sequential LSTM
213,-0.5194443,3.794494,2.4309282,1.704094,2.0022976,2,Sequential LSTM
214,3.8387263,3.3064225,2.1953704,1.6031353,1.6315023,2,Sequential LSTM
215,-3.2765653,6.66282,4.637906,3.5585465,2.9734397,2,Sequential LSTM
216,-0.019766998,3.7534084,2.465434,1.778892,1.8912998,2,Sequential LSTM
217,-1.8134058,5.839491,4.410875,3.649366,2.097821,2,Sequential LSTM
218,0.57861525,4.49814,3.2196865,2.5382202,1.8773186,2,Sequential LSTM
219,-0.12429561,3.6573074,2.3349273,1.6300452,1.9418228,2,Sequential LSTM
220,-0.51401424,4.1445436,2.9852314,2.367271,1.7023691,2,Sequential LSTM
221,0.25978822,3.5091457,2.2977328,1.6520016,1.778875,2,Sequential LSTM
222,-1.2998804,4.28858,3.1365592,2.5224864,1.6916622,2,Sequential LSTM
