Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Estimation_Method,Distribution,Model
98,0.4612667,1.5296761,1.0135858,0.73846006,0.7572921,15,MAP,Normal,Sequential LSTM
99,0.73901266,1.3040267,0.8737107,0.6443108,0.6314302,15,MAP,Normal,Sequential LSTM
100,-0.58605754,1.1234415,0.64292735,0.38676706,0.70508903,15,MAP,Normal,Sequential LSTM
101,-0.24765246,1.6575817,1.1613631,0.8968308,0.72813314,15,MAP,Normal,Sequential LSTM
102,0.26979923,2.4083366,1.8287524,1.5197783,0.85046077,15,MAP,Normal,Sequential LSTM
103,0.6569428,1.8473955,1.2251934,0.8934996,0.91299707,15,MAP,Normal,Sequential LSTM
104,-0.14026281,1.4735974,0.9957431,0.7410007,0.7011862,15,MAP,Normal,Sequential LSTM
105,-0.15291129,1.6373118,1.1348103,0.8669287,0.73735243,15,MAP,Normal,Sequential LSTM
106,0.03785451,1.8942337,1.373505,1.0959064,0.76409847,15,MAP,Normal,Sequential LSTM
107,-0.41332975,1.6988999,1.1977458,0.9305825,0.7353753,15,MAP,Normal,Sequential LSTM
108,-0.06507166,2.0724008,1.4474325,1.1142641,0.917056,15,MAP,Normal,Sequential LSTM
109,0.45269924,1.5055286,0.9684071,0.68206966,0.7881526,15,MAP,Normal,Sequential LSTM
110,0.41495806,2.138799,1.5171744,1.1857886,0.9121493,15,MAP,Normal,Sequential LSTM
111,-2.0453236,2.1287863,1.5938499,1.3086772,0.7849464,15,MAP,Normal,Sequential LSTM
112,-1.6000617,2.3411944,1.7402519,1.4198917,0.88180137,15,MAP,Normal,Sequential LSTM
113,-1.3680776,5.1167307,4.120304,3.5891128,1.4621202,15,MAP,Normal,Sequential LSTM
114,-1.4849727,3.2669451,2.4853008,2.068609,1.1469567,15,MAP,Normal,Sequential LSTM
115,-3.7451022,4.072645,3.1813521,2.706207,1.3078511,15,MAP,Normal,Sequential LSTM
116,0.844463,2.9977021,2.063378,1.5652934,1.3709933,15,MAP,Normal,Sequential LSTM
117,2.3335314,1.2241454,0.6586407,0.35717216,0.82980126,15,MAP,Normal,Sequential LSTM
118,3.5101027,2.4586432,1.8290461,1.4934102,0.9238479,15,MAP,Normal,Sequential LSTM
119,1.0484285,1.5230355,0.7659643,0.36237252,1.1108989,15,MAP,Normal,Sequential LSTM
120,-0.6258036,4.619357,3.651802,3.136002,1.4197552,15,MAP,Normal,Sequential LSTM
121,-0.95866597,4.03663,2.881597,2.2658532,1.6948539,15,MAP,Normal,Sequential LSTM
122,2.5268974,2.0183027,1.2645283,0.8626939,1.1060613,15,MAP,Normal,Sequential LSTM
123,-4.726578,2.1432126,1.3027487,0.8547004,1.2332664,15,MAP,Normal,Sequential LSTM
124,-6.9995522,2.2689872,1.5410639,1.1530107,1.0681281,15,MAP,Normal,Sequential LSTM
125,-8.120855,2.3091486,1.7880758,1.5102938,0.7646034,15,MAP,Normal,Sequential LSTM
126,-2.6935837,1.3499892,0.66322356,0.2971113,1.0077351,15,MAP,Normal,Sequential LSTM
127,5.7091136,2.1539948,1.5954986,1.2977662,0.8195174,15,MAP,Normal,Sequential LSTM
128,-0.5752437,0.715447,0.43022248,0.27817032,0.4185282,15,MAP,Normal,Sequential LSTM
129,-4.8195977,2.197769,1.6216443,1.3145144,0.84538454,15,MAP,Normal,Sequential LSTM
130,-5.9763412,2.4902313,1.7898661,1.416504,1.0276905,15,MAP,Normal,Sequential LSTM
131,-5.1654863,2.1775165,1.6539379,1.3748201,0.76828027,15,MAP,Normal,Sequential LSTM
132,4.267016,2.5096397,1.6240582,1.1519581,1.2994701,15,MAP,Normal,Sequential LSTM
133,-0.18476516,0.7600139,0.42261365,0.24274684,0.49508885,15,MAP,Normal,Sequential LSTM
134,4.383485,1.4637007,0.98591155,0.731204,0.70109046,15,MAP,Normal,Sequential LSTM
135,0.76784515,0.87291294,0.55728686,0.38902774,0.46313834,15,MAP,Normal,Sequential LSTM
136,4.486903,3.072042,2.399221,2.0405426,0.98727316,15,MAP,Normal,Sequential LSTM
137,2.4854827,1.8646402,1.397701,1.1487775,0.6851697,15,MAP,Normal,Sequential LSTM
138,-0.26139492,2.4025865,1.6247153,1.2100351,1.1414199,15,MAP,Normal,Sequential LSTM
139,3.2565725,1.5802019,0.9433845,0.60389954,0.93444276,15,MAP,Normal,Sequential LSTM
140,1.2372248,2.4142375,1.5436949,1.0796118,1.2774026,15,MAP,Normal,Sequential LSTM
141,-0.81506205,3.8233612,2.7307572,2.148294,1.6032476,15,MAP,Normal,Sequential LSTM
142,2.0165927,1.0933455,0.64027053,0.39873794,0.6648259,15,MAP,Normal,Sequential LSTM
143,1.4370689,1.8911978,1.4037161,1.1438414,0.7153131,15,MAP,Normal,Sequential LSTM
144,-2.5407648,1.0896523,0.62169814,0.3722335,0.686659,15,MAP,Normal,Sequential LSTM
145,-2.0075283,1.1423066,0.6827225,0.43771997,0.67437696,15,MAP,Normal,Sequential LSTM
146,3.9861405,1.6110411,1.0454324,0.7439086,0.8299536,15,MAP,Normal,Sequential LSTM
147,0.757087,2.2457209,1.6618788,1.3506348,0.8567088,15,MAP,Normal,Sequential LSTM
148,-0.3356269,4.2730346,3.1397731,2.5356357,1.6629065,15,MAP,Normal,Sequential LSTM
149,2.6802785,3.6329942,2.6557934,2.1348515,1.4339089,15,MAP,Normal,Sequential LSTM
150,-1.3990266,1.6696887,1.1077662,0.80820733,0.8245447,15,MAP,Normal,Sequential LSTM
151,-1.4541696,3.4254086,2.5863855,2.1391053,1.231152,15,MAP,Normal,Sequential LSTM
152,0.33059862,3.04032,2.291613,1.8924804,1.0986253,15,MAP,Normal,Sequential LSTM
153,2.2510724,2.1758368,1.2566227,0.766593,1.3488214,15,MAP,Normal,Sequential LSTM
154,0.4297913,2.3247533,1.6624349,1.3093555,0.9718621,15,MAP,Normal,Sequential LSTM
155,0.039643407,2.444625,1.7063817,1.312827,1.0832714,15,MAP,Normal,Sequential LSTM
