Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Estimation_Method,Distribution,Model
66,0.6465416,2.7893817,1.5008698,0.98621756,0.9545369,5,5.0,MAP,t-Distribution,Sequential LSTM
67,-1.0297953,3.057071,1.8687822,1.3941606,0.88029104,5,5.0,MAP,t-Distribution,Sequential LSTM
68,0.049377974,2.3420017,1.3328332,0.9297551,0.7475978,5,5.0,MAP,t-Distribution,Sequential LSTM
69,0.12872246,2.3410063,1.3836354,1.0012462,0.7092258,5,5.0,MAP,t-Distribution,Sequential LSTM
70,-0.2102015,2.295281,1.3167334,0.9258859,0.7249135,5,5.0,MAP,t-Distribution,Sequential LSTM
71,0.068395555,2.4091325,1.4192742,1.0239089,0.73329276,5,5.0,MAP,t-Distribution,Sequential LSTM
72,-0.46086684,2.5510576,1.5565435,1.1593186,0.73674184,5,5.0,MAP,t-Distribution,Sequential LSTM
73,0.33211857,2.4577177,1.4311087,1.0210646,0.7605178,5,5.0,MAP,t-Distribution,Sequential LSTM
74,-0.3700215,2.5347304,1.4848006,1.0654417,0.777794,5,5.0,MAP,t-Distribution,Sequential LSTM
75,0.39637166,2.4067492,1.4634433,1.0866718,0.6988064,5,5.0,MAP,t-Distribution,Sequential LSTM
76,1.1192211,2.9697244,1.7890115,1.3174157,0.8746789,5,5.0,MAP,t-Distribution,Sequential LSTM
77,0.17270127,2.7601128,1.5694139,1.0938298,0.8820765,5,5.0,MAP,t-Distribution,Sequential LSTM
78,-1.1593817,2.9513192,1.9006366,1.480977,0.77835166,5,5.0,MAP,t-Distribution,Sequential LSTM
79,1.2170746,3.0589046,1.8024801,1.300644,0.93076646,5,5.0,MAP,t-Distribution,Sequential LSTM
80,-1.5145162,2.9622595,1.8561382,1.4143357,0.81942093,5,5.0,MAP,t-Distribution,Sequential LSTM
81,0.86601627,2.7822497,1.5884444,1.1116194,0.88437784,5,5.0,MAP,t-Distribution,Sequential LSTM
82,-0.32759792,2.7980995,1.701152,1.2630135,0.8126251,5,5.0,MAP,t-Distribution,Sequential LSTM
83,0.15961055,2.8718724,1.7136327,1.2510132,0.8580307,5,5.0,MAP,t-Distribution,Sequential LSTM
84,-0.04487202,2.676485,1.5811793,1.1436967,0.8114088,5,5.0,MAP,t-Distribution,Sequential LSTM
85,-0.23964986,2.4118738,1.4385476,1.0497855,0.7210457,5,5.0,MAP,t-Distribution,Sequential LSTM
86,-0.51454324,2.7460763,1.6228793,1.1742563,0.8320708,5,5.0,MAP,t-Distribution,Sequential LSTM
87,0.31173602,2.3510509,1.3726112,0.9818067,0.7248337,5,5.0,MAP,t-Distribution,Sequential LSTM
88,0.29306352,2.348287,1.3665287,0.9743988,0.7272921,5,5.0,MAP,t-Distribution,Sequential LSTM
89,-0.8059937,3.069111,1.9468013,1.4985328,0.83141357,5,5.0,MAP,t-Distribution,Sequential LSTM
90,-0.43080804,2.7999623,1.7056051,1.2685015,0.8107059,5,5.0,MAP,t-Distribution,Sequential LSTM
91,0.23419139,2.7842457,1.7469181,1.3325927,0.7684583,5,5.0,MAP,t-Distribution,Sequential LSTM
92,-1.6874225,2.4874766,1.4718589,1.0662049,0.7523754,5,5.0,MAP,t-Distribution,Sequential LSTM
93,0.4307507,4.0650167,2.6493032,2.0838447,1.0487685,5,5.0,MAP,t-Distribution,Sequential LSTM
94,0.47506183,3.2775605,1.8706472,1.3087035,1.0422493,5,5.0,MAP,t-Distribution,Sequential LSTM
95,-0.7868014,2.4472272,1.4828398,1.0976481,0.7144236,5,5.0,MAP,t-Distribution,Sequential LSTM
96,1.1142014,3.5096724,2.2369287,1.7285745,0.94285583,5,5.0,MAP,t-Distribution,Sequential LSTM
97,-0.64392924,3.7959297,2.5749655,2.087293,0.90449715,5,5.0,MAP,t-Distribution,Sequential LSTM
98,0.5999862,3.0276177,1.7524015,1.2430596,0.94468755,5,5.0,MAP,t-Distribution,Sequential LSTM
