Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Model
26,-1.0257913,2.0763545,1.2607938,0.93504596,0.6041718,15,5.0,Sequential LSTM
27,-0.054316472,1.7550812,0.96610725,0.65097857,0.58447653,15,5.0,Sequential LSTM
28,0.24854296,2.0730727,1.2318732,0.89588445,0.6231654,15,5.0,Sequential LSTM
29,0.42021674,1.7546364,0.98291993,0.6746835,0.5716921,15,5.0,Sequential LSTM
30,-0.08898341,1.9668393,1.2159361,0.9160138,0.55627286,15,5.0,Sequential LSTM
31,-0.11923603,1.533319,0.82910097,0.5478251,0.5216884,15,5.0,Sequential LSTM
32,0.7607051,1.9691153,1.2035475,0.8977677,0.5671371,15,5.0,Sequential LSTM
33,0.748672,1.4981833,0.7270461,0.41904163,0.57126254,15,5.0,Sequential LSTM
34,-0.3655964,2.2716138,1.3920408,1.0407255,0.6515925,15,5.0,Sequential LSTM
35,0.28706935,1.9901478,1.1834445,0.8612343,0.59761035,15,5.0,Sequential LSTM
36,0.17018685,1.6975415,0.91940653,0.60860676,0.57644665,15,5.0,Sequential LSTM
37,0.13806883,1.976242,1.1760358,0.85642034,0.5927979,15,5.0,Sequential LSTM
38,0.5093414,1.9662256,1.1926271,0.8836394,0.5730863,15,5.0,Sequential LSTM
39,-0.7135523,2.342393,1.4774362,1.1319584,0.64076483,15,5.0,Sequential LSTM
40,0.43688515,1.7257727,0.9646435,0.6606361,0.56384903,15,5.0,Sequential LSTM
41,-0.13821481,1.6747702,0.8799612,0.5625017,0.5887992,15,5.0,Sequential LSTM
42,-0.0175327,1.6896456,0.8076995,0.45543587,0.653351,15,5.0,Sequential LSTM
43,0.4835206,1.5510232,0.81391907,0.5195078,0.54605114,15,5.0,Sequential LSTM
44,-0.052506343,2.3990078,1.4530431,1.0752095,0.7007762,15,5.0,Sequential LSTM
45,0.08581924,1.8319114,1.0478685,0.7347096,0.5808232,15,5.0,Sequential LSTM
46,0.6301687,1.5696208,0.8378778,0.5456079,0.5420794,15,5.0,Sequential LSTM
47,-0.024247773,2.0815802,1.3148483,1.0086038,0.5679991,15,5.0,Sequential LSTM
48,-0.25875565,1.8847848,1.1361426,0.8371225,0.5545986,15,5.0,Sequential LSTM
49,-1.0055505,2.4307325,1.4985553,1.1262289,0.6905619,15,5.0,Sequential LSTM
50,0.20915653,1.9886507,1.136403,0.79600143,0.63135004,15,5.0,Sequential LSTM
51,0.3210664,2.0931246,1.3164638,1.006253,0.57535446,15,5.0,Sequential LSTM
52,0.8990566,1.8012245,1.0644491,0.7701694,0.5458076,15,5.0,Sequential LSTM
53,0.5710385,1.6254818,0.86249435,0.5577445,0.5652258,15,5.0,Sequential LSTM
54,-1.9434389,1.8601741,1.1028817,0.80040693,0.5610061,15,5.0,Sequential LSTM
55,0.34659922,1.802171,0.9167723,0.5631298,0.6559084,15,5.0,Sequential LSTM
56,-0.73137164,2.0447898,1.1825402,0.8381437,0.63875955,15,5.0,Sequential LSTM
57,0.047043666,2.4824378,1.5672026,1.2016429,0.67801166,15,5.0,Sequential LSTM
58,0.73658967,1.6480229,0.8929489,0.5913602,0.5593631,15,5.0,Sequential LSTM
59,-0.1389894,1.8188761,1.062994,0.7610825,0.5599615,15,5.0,Sequential LSTM
60,-0.4737286,1.7242332,0.94460326,0.6332064,0.5775544,15,5.0,Sequential LSTM
61,-0.79107744,2.056282,1.2358283,0.908126,0.60779667,15,5.0,Sequential LSTM
62,0.19353682,2.0240707,1.1970699,0.8667524,0.6126473,15,5.0,Sequential LSTM
63,0.2690278,1.9150875,1.1643435,0.8644842,0.55615544,15,5.0,Sequential LSTM
64,0.18291862,1.7213342,0.9461341,0.636507,0.57427233,15,5.0,Sequential LSTM
65,1.0837622,1.6398352,1.0128736,0.7624556,0.4644562,15,5.0,Sequential LSTM
66,0.54029775,1.4697022,0.7625042,0.48003814,0.5238966,15,5.0,Sequential LSTM
67,-0.18683372,1.9878772,1.2237738,0.91857904,0.5660521,15,5.0,Sequential LSTM
68,0.34863457,2.0619843,1.2598922,0.9395242,0.59419435,15,5.0,Sequential LSTM
69,0.86364645,1.7684137,1.0355828,0.7428785,0.5428852,15,5.0,Sequential LSTM
70,-0.64128494,1.8786165,1.1259915,0.82538104,0.55754876,15,5.0,Sequential LSTM
71,-0.72222334,2.05652,1.2324067,0.9032428,0.6105075,15,5.0,Sequential LSTM
72,0.106949605,1.8811008,1.0684209,0.7438235,0.6020379,15,5.0,Sequential LSTM
73,0.64203405,1.9825913,1.1934919,0.87831306,0.5845692,15,5.0,Sequential LSTM
74,-0.2177009,1.718635,0.9957626,0.70703554,0.5355082,15,5.0,Sequential LSTM
75,-0.13199937,2.072158,1.2540483,0.9272828,0.60605985,15,5.0,Sequential LSTM
76,-0.44216174,2.0556967,1.2428449,0.9181793,0.60216534,15,5.0,Sequential LSTM
77,-0.17324515,1.9687961,1.1754295,0.8585463,0.58773035,15,5.0,Sequential LSTM
78,-0.8800626,2.2531338,1.376792,1.0267671,0.6491989,15,5.0,Sequential LSTM
79,0.37104318,1.8887992,1.0508378,0.7161429,0.6207662,15,5.0,Sequential LSTM
80,-0.4104389,1.4530153,0.7236345,0.4323083,0.5403292,15,5.0,Sequential LSTM
81,0.89740676,1.7430334,0.92970765,0.60485226,0.60251653,15,5.0,Sequential LSTM
82,0.22808395,1.4995974,0.791699,0.5089532,0.52441496,15,5.0,Sequential LSTM
83,0.3379583,1.5390916,0.78398025,0.48237625,0.5593911,15,5.0,Sequential LSTM
84,0.6905172,2.1198044,1.3113736,0.98847353,0.59888995,15,5.0,Sequential LSTM
85,0.4440541,1.6790444,0.91209626,0.605765,0.5681593,15,5.0,Sequential LSTM
86,0.18072432,1.649243,0.8309354,0.50409037,0.6062068,15,5.0,Sequential LSTM
87,0.2294296,1.747194,1.0254142,0.73712385,0.53469867,15,5.0,Sequential LSTM
88,0.2778571,1.9948348,1.2440182,0.9441302,0.5562093,15,5.0,Sequential LSTM
89,0.51655656,2.335537,1.4637659,1.1155664,0.6458129,15,5.0,Sequential LSTM
90,-0.06685752,1.9460135,1.2411503,0.9596167,0.5221665,15,5.0,Sequential LSTM
91,-0.13987319,2.0336263,1.186071,0.8475437,0.6278736,15,5.0,Sequential LSTM
92,-1.3299108,2.1148984,1.2509756,0.9059108,0.6399992,15,5.0,Sequential LSTM
93,-0.078286245,2.1837015,1.3947074,1.0795709,0.5844913,15,5.0,Sequential LSTM
94,0.23770869,1.4063785,0.70015436,0.41807702,0.52317506,15,5.0,Sequential LSTM
95,-0.2751248,2.2307665,1.3455702,0.9920092,0.6557584,15,5.0,Sequential LSTM
96,-0.6834505,2.3398876,1.4015034,1.0266974,0.6951605,15,5.0,Sequential LSTM
97,-0.84880483,1.5443544,0.6797103,0.33435756,0.6405336,15,5.0,Sequential LSTM
98,1.2971694,1.8545969,1.1240134,0.8322065,0.5412204,15,5.0,Sequential LSTM
99,0.43850037,1.8188348,1.0832905,0.78950197,0.5448959,15,5.0,Sequential LSTM
100,-0.756679,1.4879454,0.7573182,0.46549413,0.54125285,15,5.0,Sequential LSTM
101,-0.3697847,1.1045853,0.5537715,0.33376786,0.40804577,15,5.0,Sequential LSTM
102,0.34890878,2.38772,1.5166941,1.1687918,0.6452614,15,5.0,Sequential LSTM
103,0.76759183,1.6312064,0.85889375,0.5504195,0.57213384,15,5.0,Sequential LSTM
104,0.1593978,1.9860277,1.1939179,0.87753654,0.58679944,15,5.0,Sequential LSTM
105,0.11238482,1.8430616,1.087551,0.7857879,0.5596862,15,5.0,Sequential LSTM
106,0.07537608,1.9880497,1.1809123,0.8585286,0.59793186,15,5.0,Sequential LSTM
107,-0.42660728,1.8342237,1.0795153,0.7780727,0.55909234,15,5.0,Sequential LSTM
108,-0.40847233,1.9647975,1.0975332,0.7511335,0.64247453,15,5.0,Sequential LSTM
109,0.816727,1.9118389,1.1156061,0.7975778,0.5898539,15,5.0,Sequential LSTM
110,0.36289585,2.370044,1.486568,1.133693,0.6544841,15,5.0,Sequential LSTM
111,-1.7108955,1.6520126,0.82389206,0.49312738,0.6134766,15,5.0,Sequential LSTM
112,-1.3933085,0.9451325,0.30613393,0.050907716,0.4733737,15,5.0,Sequential LSTM
113,-0.38108552,3.038405,2.3696463,2.1025321,0.49542084,15,5.0,Sequential LSTM
114,-2.8331647,2.4998505,1.666395,1.3334994,0.617429,15,5.0,Sequential LSTM
115,-2.7740414,1.2287554,0.6769588,0.45656222,0.40877408,15,5.0,Sequential LSTM
116,3.0161364,2.3153028,1.5446779,1.236878,0.570883,15,5.0,Sequential LSTM
117,2.0337393,1.6933609,0.9905006,0.709767,0.52068275,15,5.0,Sequential LSTM
118,2.878063,1.6033705,0.8029262,0.48321572,0.59297365,15,5.0,Sequential LSTM
119,-0.23958004,1.3668828,0.6897398,0.41927832,0.501631,15,5.0,Sequential LSTM
120,-1.3682114,2.2457936,1.6519016,1.414692,0.43995854,15,5.0,Sequential LSTM
121,-2.1690586,1.2707399,0.5284756,0.23200321,0.5498738,15,5.0,Sequential LSTM
122,0.95052546,0.5918116,0.22928368,0.084484205,0.26856267,15,5.0,Sequential LSTM
123,-2.4021428,0.7976758,0.27890414,0.07169851,0.3843088,15,5.0,Sequential LSTM
124,-6.3886437,1.2504295,0.8039575,0.6256294,0.33074895,15,5.0,Sequential LSTM
125,-0.9217267,1.1913109,0.9255488,0.81939906,0.19687814,15,5.0,Sequential LSTM
126,-3.2955933,1.0938685,0.7456261,0.60653234,0.2579802,15,5.0,Sequential LSTM
127,3.6583076,1.2447067,0.9646645,0.85281134,0.20745681,15,5.0,Sequential LSTM
128,2.2907958,0.9174432,0.53952783,0.38858232,0.27996218,15,5.0,Sequential LSTM
129,-0.6432531,1.1148299,0.6424703,0.4538024,0.34992677,15,5.0,Sequential LSTM
