Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Model
75,-0.3422808,2.5732527,1.5692259,1.1682016,0.7437889,10,5.0,Sequential RNN
76,-0.28924766,2.298839,1.4596515,1.1244669,0.6216748,10,5.0,Sequential RNN
77,-0.2645941,1.2195835,0.53248614,0.25804844,0.5090056,10,5.0,Sequential RNN
78,-1.5319278,3.4393866,2.4113224,2.0006962,0.76159614,10,5.0,Sequential RNN
79,0.5442654,1.7620173,0.8048227,0.42250398,0.7090952,10,5.0,Sequential RNN
80,-0.34371135,2.76136,1.8188053,1.4423347,0.6982499,10,5.0,Sequential RNN
81,0.59401155,1.873987,1.1048018,0.7975769,0.56981677,10,5.0,Sequential RNN
82,1.7236873,2.5198553,1.5568633,1.172229,0.7133899,10,5.0,Sequential RNN
83,-0.9846453,1.8032869,1.0249981,0.714137,0.5765608,10,5.0,Sequential RNN
84,0.19463933,2.1934237,1.432851,1.1290655,0.563437,10,5.0,Sequential RNN
85,1.1653905,1.7417612,1.0083461,0.7154081,0.543318,10,5.0,Sequential RNN
86,-0.38484773,1.5772214,0.7767018,0.45696166,0.59302926,10,5.0,Sequential RNN
87,0.19079752,1.9924618,1.1366074,0.7947654,0.634022,10,5.0,Sequential RNN
88,-0.6543772,1.8048533,0.9267504,0.576022,0.65050364,10,5.0,Sequential RNN
89,-1.4649642,3.3545463,2.246241,1.8035666,0.82103837,10,5.0,Sequential RNN
90,0.07741205,1.2314588,0.26987132,-0.11420217,0.7123495,10,5.0,Sequential RNN
91,0.8918159,3.0312104,1.7925317,1.2977844,0.9176197,10,5.0,Sequential RNN
92,-1.5662978,2.8051486,1.8239163,1.4319961,0.7269027,10,5.0,Sequential RNN
93,1.0656668,2.1545553,1.1873088,0.80097497,0.7165416,10,5.0,Sequential RNN
94,-2.0139356,1.7906194,1.05024,0.75452065,0.54847705,10,5.0,Sequential RNN
95,0.04952078,1.9562287,1.1024885,0.76149064,0.6324556,10,5.0,Sequential RNN
96,-0.4824009,2.5141342,1.6721805,1.3358902,0.6237243,10,5.0,Sequential RNN
97,-0.3151398,2.161781,1.4997734,1.2353567,0.4904191,10,5.0,Sequential RNN
98,2.133343,1.6474136,0.91124076,0.6172009,0.5453617,10,5.0,Sequential RNN
99,1.172291,0.84133166,0.26355016,0.032774966,0.4280238,10,5.0,Sequential RNN
100,0.26540452,0.99439836,0.37338966,0.12534885,0.46004665,10,5.0,Sequential RNN
101,-1.6169277,1.7025375,1.0086614,0.73151594,0.51402754,10,5.0,Sequential RNN
102,-0.36902657,3.034363,1.9630203,1.5351089,0.7936573,10,5.0,Sequential RNN
103,0.45343086,2.5723968,1.5079554,1.0828009,0.78854376,10,5.0,Sequential RNN
104,0.6861987,1.1758928,0.2051224,-0.18261883,0.7191522,10,5.0,Sequential RNN
105,0.008193768,1.8755783,0.9687719,0.6065787,0.6717674,10,5.0,Sequential RNN
106,-0.15914877,2.765188,1.7393777,1.3296524,0.7599262,10,5.0,Sequential RNN
107,-0.22646005,2.14591,1.1992034,0.8210737,0.70132536,10,5.0,Sequential RNN
108,-0.504098,2.3493383,1.407994,1.0320066,0.6973529,10,5.0,Sequential RNN
109,0.19768338,1.7622936,0.78467596,0.39420006,0.72422445,10,5.0,Sequential RNN
110,2.4716527,2.5500655,1.5949602,1.2134761,0.7075471,10,5.0,Sequential RNN
111,-1.0510335,2.3929293,1.6163516,1.3061742,0.57529306,10,5.0,Sequential RNN
112,-3.906026,1.5736557,1.1859868,1.0311458,0.28718695,10,5.0,Sequential RNN
113,-2.4516315,1.4412135,0.96625113,0.77654326,0.35185492,10,5.0,Sequential RNN
114,-2.9197962,1.2454557,0.58613324,0.32278943,0.48842987,10,5.0,Sequential RNN
115,-5.7142115,1.0439259,0.44437572,0.20490572,0.4441502,10,5.0,Sequential RNN
116,6.2059813,3.2249472,2.1012907,1.6524842,0.8324118,10,5.0,Sequential RNN
