Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Estimation_Method,Distribution,Model
48,-0.15398906,1.038079,0.59270024,0.41480887,0.32993913,15,5.0,MAP,t-Distribution,Sequential RNN
49,-0.40457428,1.4596533,0.69533575,0.39005512,0.56621075,15,5.0,MAP,t-Distribution,Sequential RNN
50,0.41327175,1.5126069,0.7344224,0.42360306,0.5764835,15,5.0,MAP,t-Distribution,Sequential RNN
51,0.28462708,1.2549039,0.74192786,0.53703696,0.3800156,15,5.0,MAP,t-Distribution,Sequential RNN
52,0.2807698,1.1384127,0.63688993,0.4365737,0.37153095,15,5.0,MAP,t-Distribution,Sequential RNN
53,0.5918987,1.2984827,0.79166114,0.5892285,0.37545624,15,5.0,MAP,t-Distribution,Sequential RNN
54,-0.977363,1.1527834,0.65654314,0.45833686,0.36761758,15,5.0,MAP,t-Distribution,Sequential RNN
55,0.74542195,1.7707965,1.0619606,0.7788402,0.5251097,15,5.0,MAP,t-Distribution,Sequential RNN
56,-0.58176035,1.1850216,0.67946887,0.47754297,0.37451643,15,5.0,MAP,t-Distribution,Sequential RNN
57,0.15786065,1.890711,1.0660311,0.73664075,0.6109275,15,5.0,MAP,t-Distribution,Sequential RNN
58,0.6352527,1.3688545,0.71271855,0.45064738,0.4860692,15,5.0,MAP,t-Distribution,Sequential RNN
59,-0.10694745,1.1211935,0.673809,0.4951165,0.33142498,15,5.0,MAP,t-Distribution,Sequential RNN
60,-0.3258684,1.2992356,0.7096928,0.47421998,0.43673667,15,5.0,MAP,t-Distribution,Sequential RNN
61,-0.35169017,1.4287232,0.917635,0.7134982,0.37861705,15,5.0,MAP,t-Distribution,Sequential RNN
62,0.34779355,1.2267632,0.6693519,0.44671282,0.41293356,15,5.0,MAP,t-Distribution,Sequential RNN
63,0.1925226,1.2617947,0.6889353,0.4601261,0.42437747,15,5.0,MAP,t-Distribution,Sequential RNN
64,1.4604557,1.5020478,0.81836104,0.54528564,0.506479,15,5.0,MAP,t-Distribution,Sequential RNN
65,1.1860634,1.4138684,0.85589725,0.63303465,0.4133482,15,5.0,MAP,t-Distribution,Sequential RNN
66,0.048347194,1.2123791,0.69113356,0.4829398,0.3861416,15,5.0,MAP,t-Distribution,Sequential RNN
67,-0.013214041,1.4708177,0.83373433,0.57927305,0.47195497,15,5.0,MAP,t-Distribution,Sequential RNN
68,0.34818757,1.4037251,0.75999904,0.5028845,0.476876,15,5.0,MAP,t-Distribution,Sequential RNN
69,0.96396834,1.1507381,0.639006,0.43461204,0.37909406,15,5.0,MAP,t-Distribution,Sequential RNN
70,-0.050233874,1.1392329,0.60836023,0.3963212,0.39327347,15,5.0,MAP,t-Distribution,Sequential RNN
71,-0.31672406,1.2072273,0.54483485,0.28026468,0.49070415,15,5.0,MAP,t-Distribution,Sequential RNN
72,0.07762251,1.1410553,0.66494745,0.47478235,0.35270345,15,5.0,MAP,t-Distribution,Sequential RNN
73,0.56691045,1.3932695,0.8225541,0.5946012,0.42278928,15,5.0,MAP,t-Distribution,Sequential RNN
74,-0.3712323,1.3672013,0.84768903,0.6401875,0.38485768,15,5.0,MAP,t-Distribution,Sequential RNN
75,0.12777294,1.2674366,0.76654035,0.5664744,0.3710668,15,5.0,MAP,t-Distribution,Sequential RNN
76,-0.23283404,1.4969883,0.8188155,0.54794246,0.50239426,15,5.0,MAP,t-Distribution,Sequential RNN
77,-0.021050222,1.2840238,0.62726605,0.36494648,0.48652986,15,5.0,MAP,t-Distribution,Sequential RNN
78,-0.5171136,1.3456438,0.79888916,0.5805067,0.40503892,15,5.0,MAP,t-Distribution,Sequential RNN
79,0.36609244,1.2804065,0.6444668,0.39046237,0.4711077,15,5.0,MAP,t-Distribution,Sequential RNN
80,0.14993553,1.2708693,0.787019,0.5937615,0.35843903,15,5.0,MAP,t-Distribution,Sequential RNN
81,1.027896,1.2727392,0.7850048,0.5901959,0.36131638,15,5.0,MAP,t-Distribution,Sequential RNN
82,0.5763629,1.3472731,0.7348085,0.49018034,0.45371726,15,5.0,MAP,t-Distribution,Sequential RNN
