Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Model
60,-0.056424953,1.7030859,0.93410134,0.62695664,0.56966823,29,5.0,Sequential LSTM
61,-0.13872854,1.7701895,0.91179144,0.56893367,0.63590616,29,5.0,Sequential LSTM
62,0.6677858,2.223537,1.22234,0.82244563,0.7416927,29,5.0,Sequential LSTM
63,1.5270256,2.1653795,1.2218703,0.84501755,0.6989572,29,5.0,Sequential LSTM
64,1.0942036,1.8002337,1.0459081,0.74461865,0.5588086,29,5.0,Sequential LSTM
65,0.8592131,1.7110934,0.8492801,0.50505847,0.63843584,29,5.0,Sequential LSTM
66,0.054369926,1.8219352,0.8766998,0.49915776,0.7002359,29,5.0,Sequential LSTM
67,-0.100923136,2.1908004,1.3358978,0.9944361,0.6333164,29,5.0,Sequential LSTM
68,0.0631997,2.3521593,1.4105093,1.0343992,0.69757986,29,5.0,Sequential LSTM
69,0.57016516,2.1743326,1.2342588,0.85877836,0.696412,29,5.0,Sequential LSTM
70,0.015495675,2.2142746,1.2558284,0.8730092,0.71002287,29,5.0,Sequential LSTM
71,-0.23090535,1.6848378,0.78475606,0.42524898,0.6667855,29,5.0,Sequential LSTM
72,-0.16913359,2.1387794,1.1803203,0.79749626,0.71003205,29,5.0,Sequential LSTM
73,0.55322945,2.4653976,1.4214921,1.0045391,0.77333105,29,5.0,Sequential LSTM
74,-0.21656099,2.2781076,1.3780206,1.0185117,0.66678923,29,5.0,Sequential LSTM
75,-0.31178275,2.062063,1.0976986,0.7125159,0.71440667,29,5.0,Sequential LSTM
76,-0.1801108,2.1606944,1.2261921,0.8529371,0.6922847,29,5.0,Sequential LSTM
77,-0.32517928,2.1361418,1.1526619,0.7598443,0.72856784,29,5.0,Sequential LSTM
78,-1.1049819,1.9605691,0.94097656,0.5337352,0.7553201,29,5.0,Sequential LSTM
79,0.093446024,2.0471268,1.1563171,0.8005137,0.65991694,29,5.0,Sequential LSTM
80,-0.60483724,1.8342493,1.0801075,0.7788908,0.558673,29,5.0,Sequential LSTM
81,0.35471871,2.0184264,1.215512,0.89481544,0.5948033,29,5.0,Sequential LSTM
82,0.4079328,1.748783,0.86577535,0.5130882,0.6541369,29,5.0,Sequential LSTM
83,0.5294539,2.13888,1.2624341,0.9123672,0.649276,29,5.0,Sequential LSTM
84,0.26172268,2.3510633,1.5293851,1.201194,0.6087036,29,5.0,Sequential LSTM
85,0.34297588,2.297345,1.2956015,0.89548856,0.7420974,29,5.0,Sequential LSTM
86,0.1668986,1.9782724,1.1341536,0.79699874,0.6253281,29,5.0,Sequential LSTM
87,0.72191244,2.1842997,1.3331093,0.99313045,0.6305664,29,5.0,Sequential LSTM
88,-0.54723907,2.2820632,1.284249,0.8857062,0.7391862,29,5.0,Sequential LSTM
89,0.11523716,1.9109831,1.1979016,0.91308516,0.5282552,29,5.0,Sequential LSTM
90,-0.22820207,2.1580935,1.2680931,0.91261244,0.65931755,29,5.0,Sequential LSTM
91,-0.03387334,2.1379561,1.2097251,0.8389751,0.68763864,29,5.0,Sequential LSTM
92,-1.4143754,1.7497412,0.9425314,0.620119,0.59798545,29,5.0,Sequential LSTM
93,0.2863184,1.5163182,0.8748441,0.6186291,0.4752075,29,5.0,Sequential LSTM
94,0.29164746,1.9619597,1.1912868,0.8834671,0.5709191,29,5.0,Sequential LSTM
95,0.5697986,1.77696,0.9629718,0.63785195,0.6030069,29,5.0,Sequential LSTM
96,-0.8624875,1.8586874,0.97145164,0.61707556,0.65726936,29,5.0,Sequential LSTM
97,-0.21058224,1.8193103,1.1483935,0.88041854,0.4970189,29,5.0,Sequential LSTM
98,1.8060924,2.2115183,1.3986151,1.0739284,0.60220313,29,5.0,Sequential LSTM
99,0.62594104,1.4322557,0.8058014,0.5555855,0.46408084,29,5.0,Sequential LSTM
100,-0.16966093,1.0999832,0.48948056,0.245636,0.45226386,29,5.0,Sequential LSTM
101,-0.57161635,2.0914996,1.2795805,0.95528674,0.60147446,29,5.0,Sequential LSTM
102,0.31569806,1.5001239,0.6722255,0.3415497,0.61331195,29,5.0,Sequential LSTM
103,-0.210486,1.9800248,1.1163787,0.7714247,0.639794,29,5.0,Sequential LSTM
104,0.66764617,1.9275551,0.9660776,0.5820482,0.712268,29,5.0,Sequential LSTM
105,-0.5205407,2.028865,1.1074055,0.7393603,0.68262213,29,5.0,Sequential LSTM
106,-0.25826728,2.1541386,1.2241392,0.85268265,0.6889488,29,5.0,Sequential LSTM
107,-0.4847315,2.4358416,1.566183,1.2188276,0.64424795,29,5.0,Sequential LSTM
108,0.3073358,1.9044173,1.1392214,0.8335899,0.5668614,29,5.0,Sequential LSTM
109,0.52320755,1.8184239,0.92347574,0.5660193,0.66298246,29,5.0,Sequential LSTM
110,0.8451467,1.7794561,0.829253,0.4497268,0.7039157,29,5.0,Sequential LSTM
111,-2.2587647,1.9519131,1.1455077,0.8234168,0.5973897,29,5.0,Sequential LSTM
112,-2.7444534,1.3063387,0.8265608,0.63492984,0.35542217,29,5.0,Sequential LSTM
113,-0.60209554,1.4861722,1.0224845,0.8372805,0.34350234,29,5.0,Sequential LSTM
114,-2.1860995,1.4374236,0.91368425,0.7044944,0.38798913,29,5.0,Sequential LSTM
115,-3.5154626,1.2384262,0.7377096,0.5377155,0.3709337,29,5.0,Sequential LSTM
116,4.1555643,1.1813585,0.65610033,0.44630378,0.389114,29,5.0,Sequential LSTM
117,-0.92754465,0.5719295,0.21785292,0.07642905,0.26230186,29,5.0,Sequential LSTM
118,3.3699753,2.0768244,1.5248766,1.3044204,0.40888557,29,5.0,Sequential LSTM
119,-1.0192198,0.5760952,0.18239537,0.025145419,0.29165497,29,5.0,Sequential LSTM
120,-1.3987421,1.4896642,0.90819603,0.6759482,0.43075478,29,5.0,Sequential LSTM
121,-4.9709077,1.6292393,1.0726508,0.85034037,0.41232398,29,5.0,Sequential LSTM
122,1.8820843,1.1722814,0.8586188,0.7333367,0.23236324,29,5.0,Sequential LSTM
123,-4.621108,0.87307185,0.5580556,0.43223298,0.2333658,29,5.0,Sequential LSTM
124,-7.3629026,0.70365787,0.34237945,0.19807905,0.2676371,29,5.0,Sequential LSTM
125,5.4730306,0.5972701,0.32034883,0.20974207,0.20514476,29,5.0,Sequential LSTM
