Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Model
36,0.68601644,2.6151588,1.3588502,0.85706055,0.93068075,5,5.0,Sequential RNN
37,0.31383768,2.1952012,1.1418025,0.72105783,0.780364,5,5.0,Sequential RNN
38,0.92161196,2.717917,1.6636866,1.2426101,0.7809799,5,5.0,Sequential RNN
39,-0.3397225,3.0285234,1.9294587,1.4904746,0.81419337,5,5.0,Sequential RNN
40,0.69114584,2.8985105,1.716921,1.2449751,0.87532836,5,5.0,Sequential RNN
41,-0.44283992,3.425042,2.2763383,1.8175277,0.850966,5,5.0,Sequential RNN
42,1.1293057,2.9367108,1.7583325,1.2876695,0.8729487,5,5.0,Sequential RNN
43,0.0897667,2.8014483,1.778732,1.370242,0.7576344,5,5.0,Sequential RNN
44,-0.9447004,3.2230823,2.0856514,1.6313431,0.8426152,5,5.0,Sequential RNN
45,0.5063302,2.7381372,1.5632803,1.0940233,0.8703406,5,5.0,Sequential RNN
46,0.8584211,2.7424352,1.5967029,1.1390785,0.8487656,5,5.0,Sequential RNN
47,-0.55939597,2.817066,1.6925186,1.243356,0.83307135,5,5.0,Sequential RNN
48,-0.14540675,3.1665168,2.0504813,1.6047194,0.8267648,5,5.0,Sequential RNN
49,0.5936841,2.7846076,1.601488,1.1289309,0.8764621,5,5.0,Sequential RNN
50,0.38969955,2.753144,1.5068762,1.0090963,0.9232429,5,5.0,Sequential RNN
51,0.56043714,2.5634134,1.391691,0.9236862,0.86801857,5,5.0,Sequential RNN
52,-0.10886732,2.7937822,1.7147536,1.2837716,0.7993505,5,5.0,Sequential RNN
53,-0.78415084,3.4466627,2.2444804,1.7643096,0.8905831,5,5.0,Sequential RNN
54,-0.56631535,2.9701986,1.6975343,1.1892122,0.94279724,5,5.0,Sequential RNN
55,2.166536,3.4851959,2.0698104,1.5044832,1.0485252,5,5.0,Sequential RNN
56,0.8860934,3.0492213,1.9918097,1.569462,0.7833368,5,5.0,Sequential RNN
57,-0.5339667,2.211616,1.237874,0.8489456,0.7213538,5,5.0,Sequential RNN
58,0.5427422,1.949332,0.9185784,0.5068786,0.7635884,5,5.0,Sequential RNN
59,-0.058713082,2.911077,1.8291861,1.397062,0.801471,5,5.0,Sequential RNN
60,-0.27041206,2.4708228,1.2719074,0.7930415,0.8881632,5,5.0,Sequential RNN
61,-0.035999753,2.8447716,1.6916962,1.2311394,0.85420454,5,5.0,Sequential RNN
62,-1.0153489,2.800322,1.6176538,1.1452774,0.87612706,5,5.0,Sequential RNN
63,-0.98520905,2.421023,1.3339186,0.89971143,0.805333,5,5.0,Sequential RNN
64,2.4264169,1.8568362,0.82436633,0.4119815,0.7648598,5,5.0,Sequential RNN
65,0.6557362,2.1127956,1.13699,0.7472373,0.7228824,5,5.0,Sequential RNN
66,-0.24543218,2.5276237,1.5133438,1.1082245,0.75138396,5,5.0,Sequential RNN
67,-1.1351225,2.1289766,1.1312497,0.73274124,0.73912156,5,5.0,Sequential RNN
68,0.12180803,2.680515,1.5011513,1.0300941,0.87367976,5,5.0,Sequential RNN
69,-0.36569858,2.732729,1.5835543,1.1245558,0.8513149,5,5.0,Sequential RNN
70,-0.061118875,2.6640563,1.5165325,1.0581927,0.85009253,5,5.0,Sequential RNN
