Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Model
24,1.4659979,-3.4365156,-2.0493684,-1.4953198,1.0276066,10,5.0,Sequential LSTM
25,-0.030679235,-3.7190387,-2.2581935,-1.6747088,1.0822021,10,5.0,Sequential LSTM
26,-0.8831084,-3.116299,-1.7584889,-1.216157,1.0058743,10,5.0,Sequential LSTM
27,0.96374583,-3.668715,-2.2466729,-1.6786864,1.0534571,10,5.0,Sequential LSTM
28,1.0819571,-4.4007964,-2.7887805,-2.1449158,1.1941903,10,5.0,Sequential LSTM
29,-1.0215981,-3.519823,-2.1601293,-1.6170458,1.0072693,10,5.0,Sequential LSTM
30,-0.025953447,-4.0805526,-2.5252059,-1.9039752,1.1522104,10,5.0,Sequential LSTM
31,0.08144483,-3.461258,-2.089443,-1.541518,1.0162486,10,5.0,Sequential LSTM
32,2.8619514,-4.1949406,-2.691269,-2.0906777,1.1139288,10,5.0,Sequential LSTM
33,0.45612854,-3.413525,-1.974991,-1.4004167,1.065675,10,5.0,Sequential LSTM
34,0.008924664,-3.6289883,-2.2078416,-1.6402124,1.0527939,10,5.0,Sequential LSTM
35,-0.66898733,-3.2852924,-1.8731647,-1.3091388,1.0461117,10,5.0,Sequential LSTM
36,-0.3103824,-3.832039,-2.446715,-1.8933946,1.0262558,10,5.0,Sequential LSTM
37,0.27381808,-3.288351,-1.8589041,-1.2879597,1.0589427,10,5.0,Sequential LSTM
38,0.39418235,-3.0161147,-1.7084513,-1.1861492,0.96872485,10,5.0,Sequential LSTM
39,0.14687288,-3.1777308,-1.7354808,-1.1594234,1.068427,10,5.0,Sequential LSTM
40,0.530137,-3.3485653,-1.944814,-1.3841338,1.0399066,10,5.0,Sequential LSTM
41,-1.5870842,-3.5401711,-1.8666762,-1.1982554,1.2397343,10,5.0,Sequential LSTM
42,0.32871398,-3.5717108,-2.0907972,-1.499296,1.09707,10,5.0,Sequential LSTM
43,-0.896958,-3.1144302,-1.7190567,-1.1617224,1.0337008,10,5.0,Sequential LSTM
44,-0.2744489,-3.8383133,-2.1499612,-1.4756055,1.2507415,10,5.0,Sequential LSTM
45,1.3803401,-3.5585828,-2.165297,-1.6087966,1.0321542,10,5.0,Sequential LSTM
46,0.08706726,-3.7284305,-2.257775,-1.6703727,1.0894692,10,5.0,Sequential LSTM
47,1.156833,-3.299938,-1.8740463,-1.3045224,1.0563092,10,5.0,Sequential LSTM
48,0.120026454,-2.9752328,-1.6417798,-1.1091772,0.9878297,10,5.0,Sequential LSTM
49,0.27065605,-3.676005,-2.065084,-1.4216558,1.1933804,10,5.0,Sequential LSTM
50,0.36788577,-3.7979236,-2.266693,-1.6550946,1.1343449,10,5.0,Sequential LSTM
51,1.1794506,-4.266635,-2.6626012,-2.0219254,1.1882764,10,5.0,Sequential LSTM
52,-0.3307362,-3.2107232,-1.8626013,-1.3241401,0.99869597,10,5.0,Sequential LSTM
53,0.54519045,-2.987877,-1.5012203,-0.90742654,1.101323,10,5.0,Sequential LSTM
54,-0.88586444,-3.938061,-2.4144506,-1.8058958,1.1286991,10,5.0,Sequential LSTM
55,1.2017246,-3.6884043,-2.0998032,-1.4652895,1.1768457,10,5.0,Sequential LSTM
56,-0.22065479,-3.7739058,-2.3471107,-1.7772259,1.0569785,10,5.0,Sequential LSTM
57,-0.04925169,-3.6829941,-2.1123688,-1.485036,1.163528,10,5.0,Sequential LSTM
58,0.53584284,-3.831649,-2.3753135,-1.7936298,1.0788618,10,5.0,Sequential LSTM
59,-0.61614496,-3.254765,-1.8637805,-1.3081994,1.0304486,10,5.0,Sequential LSTM
60,-0.5769157,-3.969188,-2.4979224,-1.9102755,1.0899215,10,5.0,Sequential LSTM
61,-0.04432856,-3.379357,-2.0113041,-1.4648818,1.0134611,10,5.0,Sequential LSTM
62,0.008231345,-3.4261205,-2.035102,-1.4795069,1.0304749,10,5.0,Sequential LSTM
63,-0.18802556,-3.9468582,-2.401792,-1.7846683,1.1445938,10,5.0,Sequential LSTM
64,0.8223157,-3.4568448,-2.1521971,-1.6310996,0.9664904,10,5.0,Sequential LSTM
65,0.42154652,-3.0996954,-1.7793131,-1.2519307,0.9781469,10,5.0,Sequential LSTM
66,1.2557516,-3.4189968,-2.026935,-1.4709239,1.0312467,10,5.0,Sequential LSTM
67,0.55893576,-3.485404,-2.0492404,-1.4756134,1.0639182,10,5.0,Sequential LSTM
68,-0.06225707,-4.147642,-2.568449,-1.9376935,1.1698755,10,5.0,Sequential LSTM
69,0.37561452,-3.5500085,-2.182901,-1.6368557,1.0127606,10,5.0,Sequential LSTM
70,0.54334843,-3.2782128,-1.935014,-1.3985177,0.9950504,10,5.0,Sequential LSTM
71,-0.15881519,-3.9319828,-2.4208388,-1.8172647,1.1194639,10,5.0,Sequential LSTM
72,-0.7789524,-3.111928,-1.7603503,-1.2205085,1.0012565,10,5.0,Sequential LSTM
73,0.12454043,-4.1548867,-2.6074722,-1.9894099,1.1463333,10,5.0,Sequential LSTM
74,-0.20546485,-3.1053684,-1.7699215,-1.2365228,0.9893066,10,5.0,Sequential LSTM
75,-0.31867754,-3.2456577,-1.8923879,-1.3518708,1.0025097,10,5.0,Sequential LSTM
76,-1.478846,-3.5176115,-2.0929613,-1.5239322,1.0553893,10,5.0,Sequential LSTM
77,0.4184469,-4.52367,-2.9365118,-2.3025756,1.1757759,10,5.0,Sequential LSTM
78,-1.8604895,-3.2215097,-1.711283,-1.1080743,1.1187848,10,5.0,Sequential LSTM
79,0.616864,-3.205795,-1.7676426,-1.1932213,1.0653923,10,5.0,Sequential LSTM
80,-0.542951,-3.3426063,-1.9459113,-1.3880494,1.0346797,10,5.0,Sequential LSTM
81,0.92243665,-3.7756512,-2.2687862,-1.6669207,1.1162939,10,5.0,Sequential LSTM
82,1.0948724,-3.2354586,-1.9134792,-1.3854588,0.9793303,10,5.0,Sequential LSTM
83,-0.8680028,-3.3985639,-2.0127366,-1.4592147,1.026629,10,5.0,Sequential LSTM
84,0.91151446,-3.310671,-1.9024343,-1.3399619,1.0432305,10,5.0,Sequential LSTM
85,0.8347118,-3.4482658,-2.0788686,-1.5319098,1.014457,10,5.0,Sequential LSTM
86,-0.27923724,-3.114292,-1.669809,-1.0928591,1.070081,10,5.0,Sequential LSTM
87,-0.12318805,-3.48611,-2.0867906,-1.527879,1.0366242,10,5.0,Sequential LSTM
88,0.1217367,-4.230813,-2.6587796,-2.0308845,1.1645716,10,5.0,Sequential LSTM
89,-0.5333109,-3.953431,-2.2156565,-1.521561,1.2873545,10,5.0,Sequential LSTM
90,-1.1862794,-3.7801273,-2.2878103,-1.6917554,1.1055169,10,5.0,Sequential LSTM
91,-2.5425282,-3.7214918,-2.216276,-1.6150688,1.1150719,10,5.0,Sequential LSTM
92,-0.16434808,-3.4027586,-1.8334641,-1.2066633,1.1625417,10,5.0,Sequential LSTM
93,-1.229989,-2.8483334,-1.3171328,-0.705547,1.1343222,10,5.0,Sequential LSTM
94,0.5576479,-3.7423496,-2.372643,-1.8255595,1.0146868,10,5.0,Sequential LSTM
95,-1.9349954,-3.519956,-2.013997,-1.4124929,1.115623,10,5.0,Sequential LSTM
96,0.08106817,-3.4216332,-1.8643014,-1.2422779,1.1536807,10,5.0,Sequential LSTM
97,-1.5668907,-3.0555677,-1.6234242,-1.0514033,1.0609401,10,5.0,Sequential LSTM
98,1.8606871,-3.6904733,-2.305812,-1.7527566,1.0257646,10,5.0,Sequential LSTM
99,2.5759487,-3.179103,-1.9287152,-1.4292907,0.92629385,10,5.0,Sequential LSTM
100,0.568926,-3.9475782,-2.5110993,-1.9373459,1.0641522,10,5.0,Sequential LSTM
101,-0.5619877,-2.9019735,-1.727637,-1.2585876,0.86995566,10,5.0,Sequential LSTM
102,-0.67638075,-3.2869885,-1.5469874,-0.8520034,1.289003,10,5.0,Sequential LSTM
103,1.0568548,-3.5220096,-2.0099924,-1.4060689,1.1201113,10,5.0,Sequential LSTM
104,-0.58661026,-4.4191575,-2.750294,-2.0837235,1.2363032,10,5.0,Sequential LSTM
105,-0.14831586,-3.7151284,-2.227086,-1.6327386,1.1023505,10,5.0,Sequential LSTM
106,-0.5443055,-3.222881,-1.8088268,-1.2440306,1.0475402,10,5.0,Sequential LSTM
107,-0.81582284,-3.189444,-1.8286742,-1.2851602,1.0080671,10,5.0,Sequential LSTM
108,-0.32678738,-3.2126136,-1.678093,-1.065182,1.1367812,10,5.0,Sequential LSTM
109,-0.4671985,-3.9439204,-2.430128,-1.8254946,1.1214266,10,5.0,Sequential LSTM
110,0.79465467,-2.7035406,-1.2404164,-0.6560212,1.0838908,10,5.0,Sequential LSTM
111,-1.5958176,-3.4426877,-1.8706442,-1.2427449,1.1645786,10,5.0,Sequential LSTM
112,-1.7593411,-1.9777974,-0.90542465,-0.4771016,0.79441977,10,5.0,Sequential LSTM
113,0.15811163,-3.1872602,-1.7865129,-1.2270318,1.0376817,10,5.0,Sequential LSTM
114,0.47672275,-3.5649009,-1.649802,-0.8848814,1.4187152,10,5.0,Sequential LSTM
115,-3.4282215,-2.7523346,-1.4115492,-0.876018,0.9932617,10,5.0,Sequential LSTM
116,4.5381,-3.646065,-2.0908284,-1.4696428,1.1521277,10,5.0,Sequential LSTM
117,-0.17773424,-2.1940403,-1.4697865,-1.1805079,0.5365317,10,5.0,Sequential LSTM
118,3.8941185,-3.287408,-1.9447412,-1.408457,0.9946566,10,5.0,Sequential LSTM
119,0.27278048,-2.3744478,-1.481989,-1.1255264,0.6611389,10,5.0,Sequential LSTM
120,-0.9592077,-3.1198792,-1.8349652,-1.3217505,0.95187086,10,5.0,Sequential LSTM
121,1.5377294,-2.7388477,-1.1399958,-0.5013885,1.1844387,10,5.0,Sequential LSTM
122,0.64305824,-0.6563124,0.13966928,0.45759723,0.5896678,10,5.0,Sequential LSTM
