Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Model
95,0.04952078,-3.718888,-2.2959888,-1.7276589,1.0540926,10,5.0,Sequential RNN
96,-0.4824009,-3.0826352,-1.6793792,-1.1188958,1.0395405,10,5.0,Sequential RNN
97,-0.3151398,-2.2388215,-1.1354753,-0.6947814,0.8173654,10,5.0,Sequential RNN
98,2.133343,-3.246196,-2.0192401,-1.5291736,0.90893614,10,5.0,Sequential RNN
99,1.172291,-2.999389,-2.0364199,-1.6517944,0.713373,10,5.0,Sequential RNN
100,0.26540452,-3.1336691,-2.0986538,-1.6852527,0.76674443,10,5.0,Sequential RNN
101,-1.6169277,-2.9099073,-1.7534468,-1.2915379,0.8567127,10,5.0,Sequential RNN
102,-0.36902657,-4.0872383,-2.3016665,-1.5884804,1.3227623,10,5.0,Sequential RNN
103,0.45343086,-4.5033236,-2.7292547,-2.0206635,1.3142396,10,5.0,Sequential RNN
104,0.6861987,-5.2771635,-3.659215,-3.0129797,1.1985872,10,5.0,Sequential RNN
105,0.008193768,-4.152289,-2.6409454,-2.0372906,1.1196125,10,5.0,Sequential RNN
106,-0.15914877,-4.053743,-2.3440573,-1.6611828,1.2665437,10,5.0,Sequential RNN
107,-0.22646005,-4.147186,-2.5693421,-1.9391257,1.1688756,10,5.0,Sequential RNN
108,-0.504098,-3.9081106,-2.339205,-1.7125582,1.1622545,10,5.0,Sequential RNN
109,0.19768338,-4.7362785,-3.1069174,-2.4561236,1.2070411,10,5.0,Sequential RNN
110,2.4716527,-3.7988598,-2.2070184,-1.5712111,1.1792455,10,5.0,Sequential RNN
111,-1.0510335,-2.76926,-1.4749637,-0.9580014,0.9588217,10,5.0,Sequential RNN
112,-3.906026,-1.0033153,-0.35720122,-0.09913309,0.47864488,10,5.0,Sequential RNN
113,-2.4516315,-1.7160327,-0.9244286,-0.6082492,0.586425,10,5.0,Sequential RNN
114,-2.9197962,-3.1372964,-2.0384262,-1.5995194,0.8140498,10,5.0,Sequential RNN
115,-5.7142115,-2.9415002,-1.9422492,-1.5431324,0.7402505,10,5.0,Sequential RNN
116,6.2059813,-4.2444043,-2.371642,-1.6236309,1.3873523,10,5.0,Sequential RNN
117,-1.4759359,-2.1823509,-1.5380139,-1.2806561,0.47732827,10,5.0,Sequential RNN
118,3.8771844,-2.7343986,-1.4829026,-0.9830352,0.9271151,10,5.0,Sequential RNN
119,-0.55830514,-2.5858567,-1.9872705,-1.7481846,0.44343653,10,5.0,Sequential RNN
120,-1.1119523,-1.1131233,-0.39679596,-0.11068338,0.53065926,10,5.0,Sequential RNN
121,3.2914855,-4.7434874,-3.1390862,-2.4982631,1.1885489,10,5.0,Sequential RNN
122,0.6534876,-1.293842,-0.4094486,-0.056207772,0.65516365,10,5.0,Sequential RNN
123,2.4786952,-2.2875729,-1.5007713,-1.1865107,0.58286697,10,5.0,Sequential RNN
124,-2.3030725,-1.7574457,-0.9771772,-0.6655254,0.5780275,10,5.0,Sequential RNN
125,-10.742734,-0.5004843,0.07836489,0.3095666,0.4288149,10,5.0,Sequential RNN
126,-12.558778,-0.69992983,-0.3501215,-0.2104024,0.25914013,10,5.0,Sequential RNN
127,10.013417,-1.145822,-0.58529943,-0.36141777,0.41523814,10,5.0,Sequential RNN
128,1.0966,-0.9695824,-0.6230251,-0.48460448,0.2567317,10,5.0,Sequential RNN
129,-8.625584,-1.9881656,-1.2690663,-0.9818464,0.5327128,10,5.0,Sequential RNN
130,-11.824826,-0.3045679,0.37932914,0.6524885,0.50663483,10,5.0,Sequential RNN
131,-4.6452804,-1.7714993,-1.274524,-1.0760243,0.36816216,10,5.0,Sequential RNN
132,2.1373794,-2.1798425,-1.4250572,-1.1235838,0.5591494,10,5.0,Sequential RNN
133,1.913747,-0.8909618,-0.6182684,-0.5093503,0.20201272,10,5.0,Sequential RNN
134,3.099967,-1.7602593,-1.4386854,-1.3102438,0.23822327,10,5.0,Sequential RNN
135,4.267052,-1.1877965,-0.745608,-0.568991,0.32757553,10,5.0,Sequential RNN
136,5.0642943,0.24172562,0.72329324,0.91563916,0.35674804,10,5.0,Sequential RNN
137,4.874479,-3.7229922,-2.8936248,-2.5623617,0.6144001,10,5.0,Sequential RNN
138,-2.457838,-2.8914847,-1.7819946,-1.3388463,0.8219165,10,5.0,Sequential RNN
139,1.4339595,-2.633752,-1.5702891,-1.1455245,0.7878196,10,5.0,Sequential RNN
140,-0.5184307,-2.5420096,-1.676401,-1.3306633,0.6412477,10,5.0,Sequential RNN
141,-1.7504935,-2.8500907,-1.6259284,-1.1369783,0.9068661,10,5.0,Sequential RNN
142,0.41418767,-1.0593898,-0.6733362,-0.5191403,0.28599074,10,5.0,Sequential RNN
143,-0.07796365,-1.5221256,-1.0167147,-0.8148453,0.374411,10,5.0,Sequential RNN
144,2.6168199,-1.0591065,-0.52666086,-0.31399345,0.39443883,10,5.0,Sequential RNN
145,-0.8693525,-2.2681525,-1.479346,-1.1642847,0.58435196,10,5.0,Sequential RNN
146,4.4534874,-2.8556585,-1.6417524,-1.1568992,0.89926857,10,5.0,Sequential RNN
147,4.2333875,-2.8566306,-1.6676999,-1.1928222,0.8807667,10,5.0,Sequential RNN
148,-2.6002166,-2.7112086,-1.6830899,-1.2724427,0.7616362,10,5.0,Sequential RNN
149,3.329259,-4.7704606,-3.353494,-2.7875342,1.0496969,10,5.0,Sequential RNN
150,-3.982827,-1.4835008,-0.63939923,-0.30225143,0.6253155,10,5.0,Sequential RNN
151,0.83476305,-4.1193604,-2.7676635,-2.227776,1.0013433,10,5.0,Sequential RNN
152,1.7636021,-4.6679754,-3.100419,-2.4743116,1.1612548,10,5.0,Sequential RNN
153,1.545032,-3.3749757,-2.0116625,-1.4671335,1.00995,10,5.0,Sequential RNN
154,1.6448174,-3.010704,-1.4609985,-0.8420217,1.1480297,10,5.0,Sequential RNN
155,3.1213267,-3.3051805,-2.2096014,-1.7720096,0.81161225,10,5.0,Sequential RNN
156,0.74771094,-2.2344832,-1.5846726,-1.3251281,0.48138344,10,5.0,Sequential RNN
157,3.9167285,-1.7771877,-0.88931966,-0.53469104,0.6577375,10,5.0,Sequential RNN
158,-0.6233611,-2.2264192,-1.2600324,-0.87404203,0.71590483,10,5.0,Sequential RNN
159,-5.9708614,-1.6245483,-0.65254074,-0.26430514,0.72006875,10,5.0,Sequential RNN
160,1.217863,-4.13231,-2.7093766,-2.141034,1.0541172,10,5.0,Sequential RNN
161,0.5427235,-3.0401971,-1.8855101,-1.4243093,0.8553987,10,5.0,Sequential RNN
162,-0.77037984,-4.3956633,-2.983449,-2.4193883,1.0461763,10,5.0,Sequential RNN
163,1.7252575,-2.333129,-1.2381644,-0.8008173,0.81115645,10,5.0,Sequential RNN
164,2.8885934,-3.4500434,-2.1327608,-1.6066169,0.97585154,10,5.0,Sequential RNN
165,2.292569,-2.4653556,-1.6682861,-1.3499242,0.5904733,10,5.0,Sequential RNN
166,0.0055984603,-3.0093656,-1.8516395,-1.389225,0.8576503,10,5.0,Sequential RNN
167,-1.3794065,-3.1096773,-1.6907334,-1.1239848,1.0511622,10,5.0,Sequential RNN
168,0.14413229,-2.2656264,-1.2363302,-0.82521296,0.7625084,10,5.0,Sequential RNN
169,-0.8336678,-3.5733752,-2.2919548,-1.7801352,0.94928366,10,5.0,Sequential RNN
170,2.3752203,-2.9056356,-1.7995727,-1.3577931,0.81937826,10,5.0,Sequential RNN
171,-0.7448971,-1.0366236,-0.46026883,-0.23006344,0.42696694,10,5.0,Sequential RNN
172,0.68566406,-2.995033,-2.0194373,-1.6297693,0.72272646,10,5.0,Sequential RNN
173,-0.8752013,-2.1255229,-1.1267601,-0.7278383,0.7398888,10,5.0,Sequential RNN
174,-0.722045,-2.0012653,-0.9166028,-0.48337135,0.8035245,10,5.0,Sequential RNN
175,-2.680117,-4.165429,-2.4486578,-1.762951,1.2717941,10,5.0,Sequential RNN
176,-0.19229625,-2.5795357,-2.046872,-1.8341178,0.39460027,10,5.0,Sequential RNN
177,-0.12959589,-1.8904947,-1.1108506,-0.7994481,0.57756495,10,5.0,Sequential RNN
178,1.570884,-2.6785798,-1.8656557,-1.5409604,0.60221845,10,5.0,Sequential RNN
179,1.4222016,-2.6734204,-1.6671315,-1.2652035,0.74546486,10,5.0,Sequential RNN
180,1.7528567,-3.3158922,-2.286694,-1.8756168,0.76243585,10,5.0,Sequential RNN
181,-1.4082141,-4.440923,-2.9869132,-2.4061584,1.0771384,10,5.0,Sequential RNN
182,0.38987523,-2.5776904,-1.7493694,-1.4185245,0.61362547,10,5.0,Sequential RNN
