Day,Actual_Returns,N_Assets,VaR_1_percent,Violation_1_percent,VaR_5_percent,Violation_5_percent,VaR_10_percent,Violation_10_percent
199,0.002244246455151827,30,-0.009742249105881517,false,-0.006808905993529071,false,-0.005245151634511661,false
200,0.0009529627178411886,30,-0.009654197132063181,false,-0.006745155177736195,false,-0.005194355676141178,false
201,-0.001867054822314599,30,-0.009523286050474335,false,-0.006651413270061749,false,-0.0051204285175443145,false
202,-0.0029946958010963007,30,-0.009478198950920258,false,-0.006621100198725474,false,-0.005097991425982975,false
203,-0.005266395342992326,30,-0.009531383755319173,false,-0.006658688064036639,false,-0.005127264620779433,true
204,-0.0007518260400023994,30,-0.009990156836218778,false,-0.006997991306014337,false,-0.00540287893369918,false
205,-1.2333466923351244e-5,30,-0.009881779080585525,false,-0.006922825243387048,false,-0.0053454179017209565,false
206,-0.012703911783602816,30,-0.009644351738959736,true,-0.006750179992054617,true,-0.005207307743012332,true
207,-0.02241860706558024,30,-0.010906847236271042,true,-0.007672665991934548,true,-0.005948535937940415,true
208,0.0019312858223287286,30,-0.014298661992161694,false,-0.010079884649809214,false,-0.007830870059239586,false
209,0.0002959029692379351,30,-0.014004948854971425,false,-0.00987226603987156,false,-0.00766914812320683,false
210,0.0009071886266675974,30,-0.013951571472759796,false,-0.00983587960972202,false,-0.007641819506730384,false
211,0.004023115915383959,30,-0.013391926851138776,false,-0.00943725036222669,false,-0.007329026959380217,false
212,-0.005706324786493767,30,-0.013342797700261788,false,-0.009399801477495195,false,-0.00729780478131068,false
213,-0.007881615847974258,30,-0.013236989134353543,false,-0.009320654260400987,false,-0.007232870630614898,true
214,-0.004549973711353757,30,-0.013385349603544804,false,-0.00941342504895823,false,-0.00729600676612328,false
215,-0.008058394334299016,30,-0.013425735305283015,false,-0.009454782933928388,false,-0.007337882918377043,true
216,0.003999001469726398,30,-0.014011362185468806,false,-0.00987489243451073,false,-0.007669755716352693,false
217,0.004337234242629228,30,-0.013789309650475609,false,-0.009703793725496679,false,-0.007525820303424931,false
