Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Day,N_Assets,Model
0.057612848,-0.44866955,1.0888882,-0.40091905,0.7030877,167,5,Sequential LSTM
-0.040340737,-0.08697503,0.111505955,-0.32239306,1.3382034,168,5,Sequential LSTM
-0.46619308,-0.51558965,1.6097205,-0.1486226,0.5206846,169,5,Sequential LSTM
-0.29025692,-0.33624542,0.7201201,-0.29299718,1.1993796,170,5,Sequential LSTM
0.56181246,-0.057244796,0.2031201,-0.39449728,0.6868097,171,5,Sequential LSTM
-0.48818225,-0.23481148,0.19657303,0.47467548,1.0517455,172,5,Sequential LSTM
0.46434078,-0.14469373,0.4366658,-0.39671934,0.64040625,173,5,Sequential LSTM
-0.58870625,-0.6903116,1.9436916,0.07647328,0.25885308,174,5,Sequential LSTM
-0.35238332,-0.58776325,1.5069684,0.021299949,0.41187835,175,5,Sequential LSTM
0.12054543,-0.15871361,0.43652335,-0.19996873,0.80161357,176,5,Sequential LSTM
0.24859518,-0.3065495,0.8677191,-0.4371291,0.62736416,177,5,Sequential LSTM
-0.1798841,-0.20487815,0.53557503,-0.18457209,1.0337589,178,5,Sequential LSTM
-0.36109036,-0.41030872,0.9777591,-0.078615665,0.8722553,179,5,Sequential LSTM
-0.057765365,-0.22650419,0.55019796,-0.35975185,1.0938233,180,5,Sequential LSTM
0.26510125,-0.27015653,0.77075285,-0.3868179,0.6211204,181,5,Sequential LSTM
0.43607235,-0.19395296,0.57766426,-0.37460357,0.55482,182,5,Sequential LSTM
-0.1698073,-0.16915132,0.34765625,-0.28821626,1.2795186,183,5,Sequential LSTM
0.8137035,-0.013120439,0.16695903,-0.50056505,0.5330232,184,5,Sequential LSTM
-0.24686377,-0.45587078,1.033386,-0.30730045,0.97664905,185,5,Sequential LSTM
-0.4847787,-0.31142807,0.4058522,0.27843893,1.1119156,186,5,Sequential LSTM
-0.24999912,-0.23621567,0.4151788,-0.21511978,1.2861557,187,5,Sequential LSTM
-0.35529682,-0.30295667,1.0233502,-0.20834889,0.8432522,188,5,Sequential LSTM
-0.43008205,-0.5167118,1.7944925,-0.07684659,0.22914773,189,5,Sequential LSTM
-0.5251992,-0.5460938,1.5342652,0.048413664,0.48861447,190,5,Sequential LSTM
0.05605778,-0.17528057,0.41822705,-0.39401084,1.0950068,191,5,Sequential LSTM
-0.15422398,-0.30070275,0.73946905,-0.31601188,1.0314692,192,5,Sequential LSTM
0.019239498,-0.3285992,0.8172239,-0.30734825,0.79948366,193,5,Sequential LSTM
-0.17144541,-0.49480918,0.87774664,0.29279307,0.49571517,194,5,Sequential LSTM
-0.34725693,-0.50488645,1.2104212,-0.2791247,0.9208467,195,5,Sequential LSTM
0.49357417,-0.1042487,0.31903952,-0.35776898,0.649404,196,5,Sequential LSTM
-0.15831278,-0.12398485,0.21941696,-0.27499938,1.3378801,197,5,Sequential LSTM
-0.50551355,-0.65020895,1.7068459,-0.10952385,0.5584007,198,5,Sequential LSTM
-0.2629594,-0.25615743,0.6209136,-0.2861135,1.1843168,199,5,Sequential LSTM
-0.33811164,-0.4796429,1.0855769,-0.30304673,1.0352243,200,5,Sequential LSTM
-0.52472264,-0.4207438,0.78236115,0.08919445,1.0739105,201,5,Sequential LSTM
-0.22468817,-0.7712113,1.9777119,-0.27018836,0.28837565,202,5,Sequential LSTM
