Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Model
53,0.31756237,1.0593051,0.57146436,0.31142604,0.7163588,10,Sequential RNN
54,-0.6002887,1.5504314,1.0782262,0.826522,0.69339967,10,Sequential RNN
55,1.5083574,1.9308906,1.1651253,0.75694185,1.124472,10,Sequential RNN
56,0.19386831,1.8920773,1.3314557,1.0326221,0.8232331,10,Sequential RNN
57,0.046384517,1.9612099,1.2434974,0.86092836,1.0539095,10,Sequential RNN
58,0.75076014,2.1243618,1.4588743,1.1041427,0.9772217,10,Sequential RNN
59,-0.12114202,1.7358035,1.2978588,1.064417,0.6430909,10,Sequential RNN
60,-0.5340573,1.7659444,1.2013113,0.9003394,0.82912356,10,Sequential RNN
61,0.12292539,2.7512534,2.026546,1.6402484,1.0641814,10,Sequential RNN
62,-0.13527688,1.3138126,0.85240346,0.60645413,0.6775464,10,Sequential RNN
63,0.09532378,1.7333614,1.2498242,0.9920799,0.7100393,10,Sequential RNN
64,1.2837297,2.02071,1.2640003,0.8606441,1.1111743,10,Sequential RNN
65,0.92795974,1.8510599,1.321659,1.0394671,0.7773878,10,Sequential RNN
66,0.20993893,1.227731,0.6758797,0.3817216,0.81035423,10,Sequential RNN
67,0.28341705,2.6917377,1.9468362,1.5497742,1.093834,10,Sequential RNN
68,0.630746,2.3559842,1.6981587,1.347512,0.9659691,10,Sequential RNN
69,0.5307309,1.0327834,0.56272876,0.31217107,0.69024146,10,Sequential RNN
70,0.45523253,1.6455232,1.0682116,0.76048136,0.8477413,10,Sequential RNN
71,-0.065999195,1.4622443,0.96156234,0.6946788,0.73521614,10,Sequential RNN
72,-0.62510717,2.1177075,1.6080304,1.3363526,0.7484247,10,Sequential RNN
73,0.25857502,2.5489156,1.9368824,1.6106442,0.8987282,10,Sequential RNN
74,-0.7568199,1.7016971,1.168743,0.8846566,0.7826059,10,Sequential RNN
75,-0.20605795,2.1038866,1.5089465,1.19182,0.8736272,10,Sequential RNN
76,0.4615529,1.6649868,1.1434261,0.8654132,0.76587534,10,Sequential RNN
77,-0.34449726,2.7889483,2.145572,1.802626,0.9447533,10,Sequential RNN
78,-0.60300124,2.3774924,1.7884728,1.4745018,0.8649336,10,Sequential RNN
79,0.09969241,1.7489808,1.180533,0.87752825,0.8347241,10,Sequential RNN
80,-0.6280829,1.5246968,1.1521766,0.9536086,0.5470197,10,Sequential RNN
81,0.71742404,2.3675172,1.7079811,1.3564229,0.9684805,10,Sequential RNN
82,0.58936256,1.7279586,1.2089652,0.9323208,0.7621056,10,Sequential RNN
83,-0.9349591,1.1320354,0.6724028,0.4274003,0.6749375,10,Sequential RNN
84,0.48353305,1.3392733,0.8815975,0.63763785,0.6720649,10,Sequential RNN
85,1.5876496,1.3460635,0.82673395,0.54991055,0.76259863,10,Sequential RNN
86,0.26128682,1.2091172,0.70327216,0.43363675,0.7427973,10,Sequential RNN
87,-0.027257504,1.4739904,0.9516076,0.6731565,0.7670823,10,Sequential RNN
88,0.3072811,2.0172868,1.49962,1.2236829,0.7601569,10,Sequential RNN
89,0.5171126,2.9201794,1.9675741,1.459798,1.398833,10,Sequential RNN
90,-1.0651339,1.7440511,1.25846,0.99962074,0.7130561,10,Sequential RNN
91,-1.4163103,1.7458904,1.0656855,0.703109,0.99883324,10,Sequential RNN
92,-2.1635828,1.6169858,0.90821344,0.5304098,1.0407813,10,Sequential RNN
93,-0.4437915,2.210874,1.6045653,1.2813781,0.8903222,10,Sequential RNN
94,0.250869,2.9968598,2.2289023,1.8195508,1.1276901,10,Sequential RNN
95,0.07647023,3.0651522,2.2502713,1.8159082,1.1965947,10,Sequential RNN
96,-1.1852344,2.91443,1.9208901,1.3912944,1.4589423,10,Sequential RNN
97,0.3292563,2.6716845,2.0501773,1.718889,0.9126387,10,Sequential RNN
98,2.098912,0.69999725,0.2056709,-0.05782475,0.7258833,10,Sequential RNN
99,1.4890907,1.7825662,1.2368178,0.9459121,0.801393,10,Sequential RNN
100,0.43370426,1.7742212,1.2114621,0.9114887,0.82637197,10,Sequential RNN
101,-0.6887744,1.3424033,0.87916017,0.63223314,0.68023956,10,Sequential RNN
102,0.47740775,2.3670678,1.7700337,1.4517913,0.8767016,10,Sequential RNN
103,0.42822868,1.6173831,1.0620505,0.7660361,0.8154663,10,Sequential RNN
104,-0.8443512,2.7328217,2.041892,1.6735992,1.0145812,10,Sequential RNN
105,-0.15078925,1.7683252,1.248302,0.97110933,0.7636168,10,Sequential RNN
106,-0.30586457,2.462108,1.8189923,1.4761856,0.9443705,10,Sequential RNN
107,-0.8705322,1.823507,1.3060342,1.0302012,0.75987124,10,Sequential RNN
108,0.74954516,2.687911,1.951609,1.5591313,1.0812067,10,Sequential RNN
109,-0.2544753,1.5822316,1.12497,0.88123125,0.6714563,10,Sequential RNN
110,-0.13615087,3.1102123,2.2645755,1.8138185,1.2417563,10,Sequential RNN
111,-2.157834,1.9140445,1.3074427,0.98409975,0.89075136,10,Sequential RNN
112,-3.3502119,3.9319134,3.1782293,2.776485,1.1067331,10,Sequential RNN
113,-2.1983705,5.340895,4.3583784,3.834658,1.4427556,10,Sequential RNN
114,-0.38030756,2.1817992,1.4654506,1.0836085,1.0519067,10,Sequential RNN
115,-1.8579514,2.7108343,1.8468724,1.3863466,1.2686661,10,Sequential RNN
116,6.623675,2.7809713,2.0867774,1.7167449,1.0193745,10,Sequential RNN
117,1.7621574,1.2857748,0.7487589,0.4625079,0.78856987,10,Sequential RNN
118,5.391964,2.7478223,2.0565643,1.688096,1.0150641,10,Sequential RNN
119,-0.8899567,0.14228743,-0.39789578,-0.68583465,0.79322046,10,Sequential RNN
120,-1.4614426,2.5842593,1.9093243,1.5495578,0.99109346,10,Sequential RNN
121,-5.2342834,3.5683093,2.7755892,2.353038,1.1640522,10,Sequential RNN
122,4.9116883,3.6495984,2.823017,2.3824158,1.2137772,10,Sequential RNN
123,-2.8326092,2.5418885,1.8905778,1.5434036,0.9564022,10,Sequential RNN
124,-15.50647,3.7619193,2.8894444,2.4243808,1.2811679,10,Sequential RNN
125,6.697431,3.9520886,3.1466334,2.717294,1.1827525,10,Sequential RNN
126,-5.501009,1.8101909,1.2716054,0.9845176,0.79087466,10,Sequential RNN
127,7.9274,2.9527469,2.086916,1.6253943,1.2714108,10,Sequential RNN
128,-1.2088785,1.2095339,0.7703555,0.53625625,0.644902,10,Sequential RNN
129,-2.0503685,2.3665557,1.6590319,1.2818937,1.0389488,10,Sequential RNN
130,-4.3063965,1.7994717,1.2712799,0.9897325,0.77561235,10,Sequential RNN
131,-1.8044426,2.752562,2.0013626,1.6009445,1.1030816,10,Sequential RNN
132,2.1919484,2.645102,1.7088641,1.2098123,1.3747982,10,Sequential RNN
133,6.803792,1.0756396,0.5367397,0.24948469,0.7913361,10,Sequential RNN
134,4.9169936,2.1002736,1.3998166,1.0264454,1.0285715,10,Sequential RNN
135,1.2231462,2.1467454,1.4790646,1.1231643,0.98044074,10,Sequential RNN
136,-0.43381935,2.2272599,1.7884636,1.5545676,0.6443414,10,Sequential RNN
137,2.2911782,1.3181454,0.8659055,0.6248438,0.66408193,10,Sequential RNN
138,-1.942331,1.6201112,1.0097619,0.6844215,0.8962549,10,Sequential RNN
139,2.178529,2.0185559,1.4012764,1.0722421,0.90643114,10,Sequential RNN
140,1.4954492,3.1157184,2.0121877,1.423962,1.6204566,10,Sequential RNN
141,11.196844,4.1306057,3.2154553,2.7276423,1.3438344,10,Sequential RNN
142,-1.1336582,2.1442316,1.5646067,1.2556442,0.8511382,10,Sequential RNN
143,1.649644,2.7298803,2.0507228,1.688704,0.99729574,10,Sequential RNN
144,-0.16435412,1.1188027,0.6727592,0.43500018,0.65498316,10,Sequential RNN
145,-0.8455472,2.9728642,2.2259119,1.8277568,1.0968461,10,Sequential RNN
146,4.675993,1.7074213,1.1235046,0.81225413,0.8574392,10,Sequential RNN
147,2.5577662,1.508104,1.0284384,0.77275735,0.70435494,10,Sequential RNN
148,2.4602692,2.08257,1.4338666,1.0880826,0.9525746,10,Sequential RNN
149,0.602978,1.4069098,0.75778663,0.41177803,0.9531913,10,Sequential RNN
150,-1.8638065,1.4560387,0.9869541,0.7369136,0.6888169,10,Sequential RNN
151,-2.8585863,1.9783661,1.3826289,1.0650779,0.874797,10,Sequential RNN
152,-0.87090474,3.4196231,2.616143,2.1878557,1.1798526,10,Sequential RNN
153,0.3148577,2.044045,1.511929,1.2282909,0.78137344,10,Sequential RNN
154,2.3110664,2.5592384,1.9039333,1.5546291,0.9622705,10,Sequential RNN
155,3.1460428,1.863,1.1237341,0.7296765,1.0855594,10,Sequential RNN
156,-4.6814623,2.7340896,2.0532472,1.6903312,0.9997695,10,Sequential RNN
157,-3.306754,2.4111924,1.7920724,1.4620562,0.9091348,10,Sequential RNN
158,0.55873966,2.3955832,1.7972171,1.4782643,0.878658,10,Sequential RNN
159,0.38953078,3.6518185,2.9994874,2.651768,0.9579024,10,Sequential RNN
160,2.0702016,3.0511682,1.8400223,1.1944329,1.7784821,10,Sequential RNN
161,1.1113937,0.816865,0.46729383,0.2809586,0.5133204,10,Sequential RNN
162,0.72565687,1.7192354,1.1984086,0.9207878,0.7647967,10,Sequential RNN
163,0.5876708,1.9965582,1.3148111,0.95141304,1.0010968,10,Sequential RNN
164,0.6419766,1.4549279,0.8961723,0.5983332,0.82049334,10,Sequential RNN
165,2.9333975,1.9160941,1.3717877,1.0816511,0.79927444,10,Sequential RNN
166,-0.017827483,2.0634735,1.391324,1.0330415,0.98700386,10,Sequential RNN
167,-1.941669,3.4473867,2.7191708,2.3310037,1.0693313,10,Sequential RNN
168,0.7737838,2.480388,1.7828293,1.4110016,1.0243162,10,Sequential RNN
169,0.6883694,2.9107635,2.1211228,1.7002132,1.1595315,10,Sequential RNN
170,-2.6617951,1.3680072,0.8358313,0.5521607,0.78146255,10,Sequential RNN
171,1.0243652,1.5791311,1.0020572,0.694454,0.847392,10,Sequential RNN
172,-0.80297875,2.2505836,1.6070621,1.2640393,0.9449656,10,Sequential RNN
173,-0.6267446,2.9704144,2.3235872,1.9788011,0.94982207,10,Sequential RNN
174,-0.7052454,3.5098045,2.5762262,2.0785916,1.3708942,10,Sequential RNN
175,3.5294273,2.870018,2.1087866,1.7030199,1.1178141,10,Sequential RNN
176,-3.4238431,2.8373978,2.055388,1.638546,1.1483254,10,Sequential RNN
177,1.9300922,1.8993973,1.4160173,1.1583569,0.7098084,10,Sequential RNN
178,2.3378434,1.4682591,1.0412887,0.81369615,0.6269762,10,Sequential RNN
179,-1.9029738,1.5822428,0.97979736,0.6586699,0.8846485,10,Sequential RNN
180,-1.2297997,2.9240623,2.250827,1.8919652,0.9885981,10,Sequential RNN
181,-2.9885511,2.747997,2.0641243,1.6995922,1.0042195,10,Sequential RNN
182,-1.4565973,2.24546,1.5862118,1.2348056,0.9680597,10,Sequential RNN
183,-1.4224787,3.4808295,2.6363635,2.18623,1.2400376,10,Sequential RNN
184,-0.5210738,2.5349638,1.8646746,1.5073835,0.9842715,10,Sequential RNN
185,-1.2212294,2.3678894,1.7571478,1.4315981,0.89683014,10,Sequential RNN
186,1.1329354,1.1861198,0.65137666,0.3663375,0.7852318,10,Sequential RNN
187,-1.9569494,1.8556666,1.2415789,0.91424614,0.90174377,10,Sequential RNN
