Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Asset_16_Weight,Asset_17_Weight,Asset_18_Weight,Asset_19_Weight,Asset_20_Weight,Asset_21_Weight,Asset_22_Weight,Asset_23_Weight,Asset_24_Weight,Asset_25_Weight,Asset_26_Weight,Asset_27_Weight,Asset_28_Weight,Asset_29_Weight,Asset_30_Weight,Day,N_Assets,Model
0.085400194,0.010827489,-0.10325341,0.009827679,0.018138092,0.14604485,-0.039611466,0.029912915,-0.6201218,0.14831463,-0.23856853,-0.19235726,0.27023345,0.30697381,-0.094182804,-0.038696148,0.14420113,0.8522295,-0.05353361,-0.47516233,0.27706146,-0.25899857,0.08657427,-0.13700502,0.056606837,0.24729627,-0.1687561,-0.08827879,0.24808607,0.57079715,177,30,Sequential LSTM
-0.08036066,0.027487125,-0.4027326,0.017743487,-0.067798115,-0.20964508,-0.013317986,-0.058885586,0.06670497,1.154,0.1622245,-0.19271666,0.22831587,0.018940212,0.3509654,-0.12086885,0.10117382,-0.36572015,0.00475246,-0.65934354,0.32675016,0.039851032,0.248406,0.13010617,0.20997515,-0.06568886,0.20245755,0.028721357,-0.30486608,0.22336876,178,30,Sequential LSTM
-0.020609466,0.038354993,-0.20503186,0.034508888,0.039297167,-0.02923583,-0.014072325,-0.050742954,-0.19810386,1.3793622,0.41471288,-0.35763484,-0.28471133,-0.06089938,0.4204839,-0.12356595,0.32157078,0.22999993,0.058770403,-0.78962237,0.0636506,0.0063966773,0.3702175,-0.073479645,0.10107115,-0.020831406,0.15087333,-0.0066694184,-0.711007,0.31694764,179,30,Sequential LSTM
0.11081743,-0.02392,-0.25587237,-0.009598593,0.013916772,-0.12583251,-0.12494002,0.21054365,-0.6486776,0.27634323,0.18836819,-0.37329224,0.1787835,0.75004464,-0.24195133,-0.08948435,0.47343245,0.5881723,-0.039274372,-0.43330562,0.21871656,-0.22195825,0.2324957,-0.15615205,-0.056592174,-0.02343561,-0.119601876,0.01993762,0.028028673,0.65428823,180,30,Sequential LSTM
0.117139384,-0.045190968,0.0021607343,-0.0018902733,0.09709644,-0.1900226,-0.07597501,0.24133882,-1.2830071,-0.022762973,-0.17758682,-0.40064332,0.1172918,1.0704712,-0.34557685,-0.10072674,0.0678669,1.0840393,-0.07275735,-0.34209797,0.24447218,-0.28328946,0.19967431,-0.11010493,-0.25517648,0.6568582,-0.17904866,-0.055038106,0.34248197,0.70000476,181,30,Sequential LSTM
0.03239115,-0.026395017,-0.11485293,-0.006499848,0.059678946,0.07968024,-0.054331917,0.15727034,-0.9573225,0.25118333,0.117224686,-0.14490162,0.04681155,0.806697,-0.3159722,-0.09115574,0.316565,0.74804246,-0.11013096,-0.4605325,0.051951498,-0.23273835,0.011353848,-0.20989901,-0.0037624056,0.28366986,-0.13577831,-0.059466954,0.28825277,0.6729672,182,30,Sequential LSTM
-0.027183969,-0.016198877,-0.05354512,0.11126406,0.0528857,0.98052627,-0.0029415744,0.03333898,-1.0577605,0.36126667,-0.20945215,-0.6258131,0.3002956,-1.0275804,0.5562686,-0.034516137,0.7323077,1.1706679,0.23818642,-0.6341827,-0.127127,-0.059882525,0.60496914,-0.38937673,0.051864557,-0.035599507,-0.17579395,-0.10673363,0.02889426,0.36095214,183,30,Sequential LSTM
0.018382981,-0.0076331752,-0.0895273,-0.017344268,0.04883245,0.016584665,-0.03670178,0.0934729,-0.40761048,0.35108617,0.2619251,-0.5518458,-0.12156389,0.04157899,0.005892023,-0.044360414,0.35714296,0.5376352,-0.035365857,-0.48788205,0.10879244,-0.27065948,0.56371814,-0.23383991,0.23490831,-0.1479771,-0.07819914,-0.00095597253,0.35569736,0.53581685,184,30,Sequential LSTM
0.051019568,-0.011064308,0.11346734,-0.012474532,0.0945116,-0.0017526492,-0.022003079,0.08195589,-0.2496369,0.4256477,0.035602678,-0.6533904,-0.3101597,-0.03412006,0.1262958,-0.0441918,0.20365004,0.8070001,0.1207975,-0.597503,0.31571907,-0.26118478,0.5908693,-0.1321212,0.009239659,-0.13092344,-0.17045212,0.002269872,0.045539685,0.6073924,185,30,Sequential LSTM
0.071269825,-0.007211402,0.28287506,-0.016023098,0.16979927,0.091836065,-0.03631232,0.09448752,-0.260803,0.25354162,0.012794811,-0.4644053,-0.48235103,0.20624837,-0.026317151,-0.075542234,0.59964615,-0.0044734655,0.10652783,-0.2536914,0.057648722,-0.16685474,0.43873778,-0.017095368,0.19410059,-0.1704274,-0.06713383,0.087150246,-0.40577942,0.78775716,186,30,Sequential LSTM
0.01364151,-0.026003005,-0.015893824,-0.023112994,0.07189154,0.21787111,-0.046363607,0.12756069,-0.047274794,0.38228774,0.16490012,-0.40382403,-0.1879859,0.31570446,-0.0994272,-0.06780145,0.014218394,-0.24024056,0.112903126,-0.26145893,0.03571975,-0.14420949,0.36077595,-0.1611866,0.16166641,0.34229815,-0.052568782,-0.021085989,-0.23107664,0.7080751,187,30,Sequential LSTM
-0.024523027,-0.033594325,-0.21377067,-0.0071475524,-0.012661772,-0.21510307,-0.0420344,0.121411726,-0.2444465,0.62395906,0.45698792,-0.21885818,0.03925955,0.38335714,-0.12718853,-0.031689,-0.14718603,0.2411033,-0.05163213,-0.49649152,0.035299476,-0.13751256,0.08750755,-0.2339711,0.2913719,0.11547639,-0.072550185,-0.002913031,0.31117544,0.6063644,188,30,Sequential LSTM
-0.01766563,-0.028260875,-0.25252214,0.006712302,-0.052041695,-0.082818076,-0.028575081,0.028355686,-0.17404333,0.6170614,-0.010932118,-0.43073523,0.33998734,0.34259593,-0.04860593,-0.06727955,-0.34563428,1.0526707,-0.006973639,-0.812422,0.24094978,-0.18838257,0.26990756,-0.19306296,-0.03538308,0.05696276,-0.120635346,-0.061038807,0.48848724,0.5133217,189,30,Sequential LSTM
-0.046927758,0.0074817035,-0.19862618,0.16553389,0.0010265405,0.03744419,-0.044916257,0.019766212,-0.77609205,0.35520104,0.21431908,0.009098724,0.24855416,0.02231343,0.0137692,-0.036425654,-0.018036334,0.59736747,-0.1367559,-0.5391276,0.085928686,-0.16851036,-0.15077269,-0.2702421,0.06149922,0.5560996,-0.100057356,-0.17225236,0.87871736,0.38462213,190,30,Sequential LSTM
-0.007892245,0.0054433085,-0.15923421,-0.003662332,0.027812874,-0.13696228,-0.045367718,0.052457485,-0.56538343,0.39508888,-0.070165604,-0.11897173,0.3381801,0.58768564,-0.23368733,-0.059742726,-0.19108452,0.9125971,-0.039830726,-0.4990063,-0.010132885,-0.07753708,-0.023944004,-0.07484877,-0.12457197,0.34888497,-0.061935455,-0.036184315,0.34172386,0.5302713,191,30,Sequential LSTM
7.068864e-5,0.041965082,-0.11961545,0.08510674,0.1333478,-0.16072287,-0.049434714,-0.048275083,-0.021091845,0.9638156,0.15026131,-0.30574608,-0.18600577,0.46921435,-0.13571759,-0.0970335,0.5361858,0.8272312,-0.042040896,-0.87391204,0.10300935,-0.19625467,0.18270507,-0.13951467,0.1273687,-0.68957216,-0.047622,0.1495464,-0.2765091,0.6192407,192,30,Sequential LSTM
0.05812785,0.04287148,-0.018839505,-0.004180916,0.07475225,-0.0030957155,-0.016817324,0.033012763,-0.27657846,0.9874216,-0.117813736,-0.8956503,-0.20643702,-0.23862879,0.5550759,-0.096707486,0.12958165,0.7601861,0.13812776,-0.7922386,-0.068911694,-0.071840055,0.8819237,-0.060295887,-0.03717091,-0.054749507,0.009496138,-0.004927135,-0.30010262,0.5944089,193,30,Sequential LSTM
0.09118329,-0.013295062,0.49461687,-0.025664145,0.32220623,0.06980386,-0.07185025,0.23695825,-0.24242212,0.88518214,0.13074128,-0.564854,-0.9995306,-0.25763807,0.37459594,-0.113065444,0.75749326,-0.18913321,0.12673181,-0.73260856,0.037386958,-0.15066652,0.5629054,-0.037416197,0.0986966,-0.4395556,0.06479794,0.06309481,-0.034615025,0.5559195,194,30,Sequential LSTM
0.06604696,-0.048471965,0.03134872,-0.029211523,0.15796871,-0.182652,-0.061423358,0.26689035,-0.5921729,1.4080558,-0.13658077,-0.4405974,-0.41616118,-0.24057482,0.35966462,-0.09522626,-0.39899182,-0.2517817,0.12022486,-1.1092786,0.22997399,-0.19220372,0.33679658,0.11707717,0.1248597,0.7903214,-0.004876152,-0.061745677,0.7056757,0.5470457,195,30,Sequential LSTM
-0.12564373,-0.027616214,-0.70539606,0.005898718,-0.15652698,-0.2578448,-0.065183155,0.04605907,-1.0722674,-0.2499351,-0.07179063,-0.3599358,1.5640663,0.48751804,-0.2965913,-0.0629496,-0.13876884,-0.48519555,-0.09743722,-0.22598806,0.31935915,-0.38883173,0.1465999,-0.09653622,-0.106491156,0.73950225,-0.07294784,-0.13916191,2.547627,0.3464086,196,30,Sequential LSTM
