Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Model
32,0.58847785,3.454826,2.3869624,1.8177489,1.568081,2,Sequential LSTM
33,-0.79087067,3.892444,2.877395,2.336334,1.4905261,2,Sequential LSTM
34,-0.15896466,3.4902833,2.4185376,1.8472551,1.5737816,2,Sequential LSTM
35,0.13689643,3.9091613,2.9280624,2.4050965,1.440676,2,Sequential LSTM
36,-0.061653942,3.6339393,2.5195532,1.9255409,1.6363959,2,Sequential LSTM
37,0.17205192,3.1954792,2.285695,1.8007448,1.3359523,2,Sequential LSTM
38,-0.40109786,3.3227663,2.4348724,1.9615891,1.3038095,2,Sequential LSTM
39,1.0213289,4.3683367,3.2896132,2.7146115,1.5840287,2,Sequential LSTM
40,-0.38202596,3.544077,2.5285995,1.9873105,1.4911547,2,Sequential LSTM
41,0.8643391,5.357174,4.033804,3.3283956,1.9432722,2,Sequential LSTM
42,-0.25024268,3.4267077,2.4297247,1.898292,1.464,2,Sequential LSTM
43,-1.0936857,4.7453256,3.5705748,2.9443853,1.7250395,2,Sequential LSTM
44,-0.2863208,3.9500844,2.8787243,2.3076472,1.573214,2,Sequential LSTM
45,1.7181357,3.229931,2.286738,1.7839793,1.3850114,2,Sequential LSTM
46,-0.34683877,3.9994886,2.841516,2.2242706,1.7004007,2,Sequential LSTM
47,1.0901346,3.4549723,2.5081396,2.0034392,1.3903575,2,Sequential LSTM
48,-1.801452,4.01028,2.9155772,2.3320591,1.6074909,2,Sequential LSTM
49,-1.1256237,4.0120244,2.7402198,2.0622973,1.8675543,2,Sequential LSTM
50,0.15475333,3.5733075,2.4545295,1.8581756,1.6428466,2,Sequential LSTM
51,0.2825046,3.586418,2.4857988,1.8991247,1.6161811,2,Sequential LSTM
52,1.3651942,3.9125724,2.9173613,2.3868737,1.461398,2,Sequential LSTM
53,0.79340094,5.333267,3.935963,3.191144,2.0518413,2,Sequential LSTM
54,-0.4824696,3.4560976,2.4274435,1.8791299,1.5105051,2,Sequential LSTM
55,0.91937494,3.257709,2.2401762,1.6977905,1.494176,2,Sequential LSTM
56,-1.9015279,3.5629601,2.4996016,1.9327894,1.5614656,2,Sequential LSTM
57,-1.7993538,4.010785,2.7377923,2.059237,1.869299,2,Sequential LSTM
58,0.9432283,3.9311488,2.6951995,2.0363894,1.8149047,2,Sequential LSTM
59,0.4117299,3.5481174,2.5436435,2.0082192,1.4749973,2,Sequential LSTM
60,0.39106682,3.3975735,2.3564112,1.8014313,1.5288718,2,Sequential LSTM
61,-0.6938596,3.201683,2.2562907,1.7523593,1.3882413,2,Sequential LSTM
62,1.4400601,3.5138988,2.4751852,1.9215091,1.5252777,2,Sequential LSTM
63,-0.03489866,3.8220353,2.6936216,2.0921316,1.6569957,2,Sequential LSTM
64,0.0221639,3.2550137,2.2446465,1.7060804,1.4836526,2,Sequential LSTM
65,2.183426,3.1490736,2.2446952,1.7626259,1.3280139,2,Sequential LSTM
66,-0.5294131,4.274409,3.0317755,2.3694036,1.8247181,2,Sequential LSTM
67,-0.10433472,3.3490558,2.3071585,1.7517859,1.5299512,2,Sequential LSTM
68,-0.1320193,3.44565,2.3805003,1.8127326,1.5640974,2,Sequential LSTM
69,0.124326795,3.1506617,2.2248204,1.7313108,1.3595315,2,Sequential LSTM
70,-0.43844983,3.3280346,2.4390595,1.9652007,1.3053976,2,Sequential LSTM
71,0.41702744,3.17921,2.1881416,1.6598631,1.455313,2,Sequential LSTM
72,0.046855137,3.4619358,2.5457318,2.0573575,1.345381,2,Sequential LSTM
73,1.0612453,3.3968024,2.3462505,1.7862656,1.5426592,2,Sequential LSTM
