Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Model
44,-2.50775,7.693605,5.5350804,4.3845043,3.1696355,5,Sequential RNN
45,1.5289781,5.1476655,3.5943134,2.766316,2.2809854,5,Sequential RNN
46,2.2657413,6.299264,4.366301,3.335955,2.838418,5,Sequential RNN
47,5.7157426,11.5056715,8.551347,6.97658,4.3382072,5,Sequential RNN
48,1.3939368,8.371007,6.0498986,4.812659,3.40838,5,Sequential RNN
49,0.11743,5.724587,3.6895874,2.6048522,2.9882507,5,Sequential RNN
50,-1.560015,6.984576,4.575792,3.2918131,3.5371294,5,Sequential RNN
51,2.4529586,9.094844,6.637396,5.327478,3.6085882,5,Sequential RNN
52,1.379522,8.165303,5.7958436,4.532824,3.4793868,5,Sequential RNN
53,-0.29646066,6.722905,5.069519,4.1881995,2.4278774,5,Sequential RNN
54,-1.0842112,9.180811,6.35362,4.8466167,4.1515293,5,Sequential RNN
55,-4.6617656,5.6172657,3.8096128,2.8460605,2.6544104,5,Sequential RNN
56,2.0263891,4.516466,3.206128,2.5076642,1.9241397,5,Sequential RNN
57,1.8721122,5.998598,4.0453305,3.0041616,2.868235,5,Sequential RNN
58,0.086375274,4.9741073,3.4982576,2.7115715,2.16718,5,Sequential RNN
59,-0.83031136,6.3099957,4.649412,3.764254,2.43845,5,Sequential RNN
60,-0.64192384,6.859039,4.915109,3.8789163,2.854523,5,Sequential RNN
61,-0.16913626,7.8194494,5.594049,4.407821,3.2678428,5,Sequential RNN
62,-1.6050655,6.6628265,4.6055727,3.5089734,3.020933,5,Sequential RNN
63,-4.8724685,9.148678,6.8740435,5.661569,3.3401406,5,Sequential RNN
64,4.4535646,3.403027,2.2988503,1.71028,1.6214044,5,Sequential RNN
65,-4.7238884,7.337106,5.346775,4.285849,2.9226573,5,Sequential RNN
66,-2.173043,8.387602,6.5091414,5.507847,2.758385,5,Sequential RNN
67,-0.74190575,6.7452674,4.8313246,3.811117,2.810491,5,Sequential RNN
68,0.45225045,7.916717,5.6860266,4.4969788,3.275609,5,Sequential RNN
69,0.5114515,8.1254225,5.786024,4.539032,3.4352398,5,Sequential RNN
70,0.103765525,5.7500978,3.7112,2.6243875,2.9939742,5,Sequential RNN
71,0.15944132,10.070134,7.360837,5.916673,3.9784124,5,Sequential RNN
72,-1.5249486,7.2033195,5.2029376,4.1366534,2.9374197,5,Sequential RNN
73,1.2784455,6.7229447,4.7431235,3.687799,2.907229,5,Sequential RNN
74,-1.1932077,6.1995335,4.242757,3.1997159,2.8733878,5,Sequential RNN
75,4.052629,8.218356,5.557588,4.1392903,3.9071527,5,Sequential RNN
76,0.9450557,6.932308,4.808873,3.6769967,3.1181142,5,Sequential RNN
77,-0.566103,8.593328,6.370215,5.1852074,3.2644851,5,Sequential RNN
78,-1.6354468,8.049848,6.283813,5.3424463,2.593295,5,Sequential RNN
79,1.061298,8.113692,5.8497386,4.6429625,3.3244543,5,Sequential RNN
80,-0.4037275,6.4098988,4.8425007,4.0070186,2.301608,5,Sequential RNN
81,0.786835,6.873042,4.6550303,3.4727414,3.2569933,5,Sequential RNN
82,-2.7979345,6.1124153,4.1338725,3.0792313,2.905349,5,Sequential RNN
83,-2.8850641,6.404526,4.528152,3.5279684,2.755325,5,Sequential RNN
84,-0.0890421,5.361169,3.6126385,2.680603,2.567592,5,Sequential RNN
85,-0.22953533,8.449516,6.0424104,4.7593255,3.5346677,5,Sequential RNN
86,-1.3959222,7.749586,5.6176295,4.4812126,3.1306272,5,Sequential RNN
87,0.6572443,8.538562,5.8548207,4.4242787,3.940884,5,Sequential RNN
88,3.2149067,9.714322,7.170752,5.8149266,3.7350519,5,Sequential RNN
89,0.6422039,7.413982,5.5899577,4.6176805,2.6784487,5,Sequential RNN
90,-2.718717,4.0511174,2.7101395,1.9953456,1.9691303,5,Sequential RNN
91,1.2298359,7.385685,5.173933,3.994982,3.2478027,5,Sequential RNN
92,-2.5766058,9.554046,7.2529073,6.0263085,3.3790565,5,Sequential RNN
93,-5.5831347,6.076338,4.3829517,3.4803114,2.4866157,5,Sequential RNN
