Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Day,N_Assets,Model
-0.039046668,-0.2980509,-0.57660174,-0.18802111,0.04616834,-0.34690273,-0.2407961,1.5569745,-0.6487265,1.7350026,58,10,Sequential RNN
-0.0049518,-0.18241386,-0.43281996,-0.16524962,0.060854252,-0.452598,-0.18871155,1.0998296,-0.34047893,1.6065403,59,10,Sequential RNN
-0.06775401,-0.30912495,-0.52749604,-0.20234953,0.0746173,-0.5313055,-0.30740237,1.5661676,-0.38259137,1.6872388,60,10,Sequential RNN
-0.0830811,-0.34799656,-0.8564254,-0.27021724,0.45396563,0.022562146,-0.31353247,1.6045206,-0.7126789,1.502884,61,10,Sequential RNN
-0.04135017,-0.14122643,-0.5283529,-0.070200644,0.19646744,0.2978659,-0.03950708,0.52250934,-0.69073874,1.4945328,62,10,Sequential RNN
-0.036931038,-0.2374119,-0.41908112,-0.14572693,0.06694336,-0.4867336,-0.19480544,1.095079,-0.3426909,1.7013581,63,10,Sequential RNN
-0.10079269,-0.33876476,-0.7729887,-0.013013245,0.016991934,-0.7076088,-0.3493919,1.6612539,-0.2288182,1.8331321,64,10,Sequential RNN
-0.005691603,0.02809856,-0.33404976,0.13698561,-0.010522519,-0.6704451,0.006954071,-0.23614745,0.8282826,1.2565356,65,10,Sequential RNN
0.032480203,0.12030546,-0.43484342,0.07231265,0.024277693,-0.40031186,0.1667998,-0.32662517,-0.27657586,2.0221806,66,10,Sequential RNN
-0.06989252,-0.27803677,-0.85018396,-0.14183706,0.12435454,-0.5050198,-0.22468533,1.2940997,-0.23423769,1.8854386,67,10,Sequential RNN
-0.04698765,-0.14085574,-0.6789516,-0.04117799,0.027254898,-0.47886294,-0.089816116,0.6819842,-0.5870796,2.3544927,68,10,Sequential RNN
-0.054229423,-0.14250703,-0.64785707,-0.046831913,0.20830652,-0.26467764,-0.11573808,0.64302826,-0.39591473,1.8164214,69,10,Sequential RNN
-0.054867145,-0.15195866,-0.65518606,0.018910242,0.11902717,-0.020045178,-0.07942147,0.7185268,-0.69842553,1.8034395,70,10,Sequential RNN
-0.029525708,-0.15065977,-0.53976417,-0.056000095,0.03548646,-0.42417046,-0.08390583,0.66065973,-0.49706525,2.0849454,71,10,Sequential RNN
