Asset_1_Weight,Asset_2_Weight,Day,N_Assets,Model
0.85099554,0.14900446,162,2,BNN-DCC-GARCH
1.0039039,-0.0039038605,163,2,BNN-DCC-GARCH
0.9482164,0.051783636,164,2,BNN-DCC-GARCH
0.9106176,0.08938239,165,2,BNN-DCC-GARCH
0.86476374,0.13523625,166,2,BNN-DCC-GARCH
0.97092265,0.029077368,167,2,BNN-DCC-GARCH
0.98082554,0.019174447,168,2,BNN-DCC-GARCH
0.8836094,0.11639059,169,2,BNN-DCC-GARCH
0.81039524,0.18960477,170,2,BNN-DCC-GARCH
0.9047906,0.09520945,171,2,BNN-DCC-GARCH
0.6925398,0.3074602,172,2,BNN-DCC-GARCH
0.78229845,0.21770154,173,2,BNN-DCC-GARCH
0.7492001,0.25079986,174,2,BNN-DCC-GARCH
1.0187743,-0.018774293,175,2,BNN-DCC-GARCH
1.7453128,-0.7453128,176,2,BNN-DCC-GARCH
0.949002,0.050997954,177,2,BNN-DCC-GARCH
0.69375306,0.30624694,178,2,BNN-DCC-GARCH
1.0052415,-0.005241471,179,2,BNN-DCC-GARCH
0.850019,0.14998104,180,2,BNN-DCC-GARCH
0.86625665,0.13374335,181,2,BNN-DCC-GARCH
0.9595246,0.04047543,182,2,BNN-DCC-GARCH
0.7889241,0.21107587,183,2,BNN-DCC-GARCH
0.80485624,0.19514374,184,2,BNN-DCC-GARCH
0.79869497,0.20130505,185,2,BNN-DCC-GARCH
0.727141,0.27285898,186,2,BNN-DCC-GARCH
0.8235095,0.17649047,187,2,BNN-DCC-GARCH
2.0668368,-1.0668367,188,2,BNN-DCC-GARCH
0.8566154,0.1433846,189,2,BNN-DCC-GARCH
1.1802276,-0.18022767,190,2,BNN-DCC-GARCH
0.83637947,0.16362055,191,2,BNN-DCC-GARCH
0.8013562,0.19864382,192,2,BNN-DCC-GARCH
1.0616481,-0.06164816,193,2,BNN-DCC-GARCH
0.96919733,0.03080265,194,2,BNN-DCC-GARCH
0.8940756,0.105924435,195,2,BNN-DCC-GARCH
0.8578937,0.1421063,196,2,BNN-DCC-GARCH
1.0224441,-0.022444092,197,2,BNN-DCC-GARCH
1.0529819,-0.05298187,198,2,BNN-DCC-GARCH
0.74439836,0.25560164,199,2,BNN-DCC-GARCH
0.7811778,0.21882218,200,2,BNN-DCC-GARCH
0.7210625,0.2789375,201,2,BNN-DCC-GARCH
0.7858865,0.21411346,202,2,BNN-DCC-GARCH
0.779961,0.22003898,203,2,BNN-DCC-GARCH
0.8127631,0.18723689,204,2,BNN-DCC-GARCH
0.94063663,0.059363395,205,2,BNN-DCC-GARCH
0.9520285,0.04797148,206,2,BNN-DCC-GARCH
0.8949947,0.10500533,207,2,BNN-DCC-GARCH
