Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Model
217,-0.6373832,1.0643939,0.7714238,0.6152589,0.43020603,29,Sequential LSTM
218,1.2664653,1.471886,1.0173303,0.7750339,0.667483,29,Sequential LSTM
219,-0.52801174,1.5059515,1.1539989,0.9663949,0.5168166,29,Sequential LSTM
220,0.92384756,0.93189704,0.59545344,0.41611576,0.49404332,29,Sequential LSTM
221,-0.43162575,1.2978177,0.8428975,0.6004068,0.66801804,29,Sequential LSTM
222,0.073712945,2.1284914,1.6696532,1.425074,0.6737707,29,Sequential LSTM
223,1.6712989,1.408304,1.0289254,0.82670105,0.5570915,29,Sequential LSTM
224,0.2623284,1.4263725,1.0205884,0.8042886,0.59586585,29,Sequential LSTM
225,0.3710161,0.72289556,0.30898982,0.08836154,0.60779136,29,Sequential LSTM
226,-0.089630105,1.9468477,1.3939689,1.0992632,0.8118626,29,Sequential LSTM
227,0.8073332,2.3964608,1.9058844,1.6443875,0.7203769,29,Sequential LSTM
228,1.2307583,1.131947,0.7565261,0.5564121,0.55127877,29,Sequential LSTM
229,0.39739692,1.6923039,1.2483318,1.0116775,0.65194094,29,Sequential LSTM
230,1.8830535,0.80067384,0.3934287,0.17635113,0.59801,29,Sequential LSTM
231,-0.09809688,1.5826868,1.1661323,0.94409204,0.6116806,29,Sequential LSTM
232,0.21161674,2.666001,2.0761085,1.7616719,0.86621493,29,Sequential LSTM
233,0.2702896,1.7226797,1.1487647,0.8428452,0.8427536,29,Sequential LSTM
234,-0.22494175,0.8344095,0.46892482,0.27410698,0.53668815,29,Sequential LSTM
235,-1.033525,1.305226,0.74570525,0.4474585,0.82161635,29,Sequential LSTM
236,-0.968763,2.3069415,1.7409317,1.4392258,0.8311452,29,Sequential LSTM
237,0.10138478,1.9426451,1.3880802,1.0924749,0.8143389,29,Sequential LSTM
238,2.1480906,1.7559052,1.3375854,1.1146048,0.6142721,29,Sequential LSTM
239,-0.0028934502,1.8492825,1.3977989,1.15714,0.6629722,29,Sequential LSTM
240,2.1950474,2.3172388,1.6468081,1.2894423,0.98447984,29,Sequential LSTM
241,-0.27413028,1.5538357,1.1569964,0.94546545,0.5827297,29,Sequential LSTM
242,0.6647236,1.3032838,0.93280333,0.7353229,0.5440236,29,Sequential LSTM
243,-1.7967019,2.377696,1.6794275,1.3072232,1.0253569,29,Sequential LSTM
244,-0.7178728,1.9817113,1.4805483,1.2134085,0.73592234,29,Sequential LSTM
245,1.4939059,1.3121238,1.0097439,0.84856355,0.44402298,29,Sequential LSTM
246,-2.7948256,1.9608463,1.514438,1.2764851,0.65551776,29,Sequential LSTM
247,-0.59668815,0.9430528,0.6294056,0.46221894,0.46056902,29,Sequential LSTM
248,-1.4439938,0.62850577,0.35724282,0.21264887,0.39833042,29,Sequential LSTM
249,0.75787795,1.9263852,1.6126817,1.4454647,0.46065143,29,Sequential LSTM
