Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Asset_16_Weight,Asset_17_Weight,Asset_18_Weight,Asset_19_Weight,Asset_20_Weight,Asset_21_Weight,Asset_22_Weight,Asset_23_Weight,Asset_24_Weight,Asset_25_Weight,Asset_26_Weight,Asset_27_Weight,Asset_28_Weight,Asset_29_Weight,Day,N_Assets,Model
0.25816014,0.07513042,0.94990945,-0.040076733,0.20049442,0.8258943,0.3328289,-0.51877886,2.6164658,1.175798,-1.8659363,-1.2413425,-0.81518203,-0.6581348,-0.25077993,0.15781935,0.13662462,-1.7152474,0.5277134,-1.043438,0.44391423,0.32529154,1.4723787,0.81342727,0.07907477,-2.090883,-0.28009057,0.71812177,0.4108432,59,29,Sequential LSTM
-0.077034004,0.07128284,-0.21281888,-0.1854568,-0.17904824,0.8988807,-0.05828724,-0.007852939,3.1287932,-0.28969508,-0.03628553,0.020734012,0.151288,0.4687685,-0.089828275,0.14515075,-0.95493555,1.1010634,-0.11106558,1.3068788,0.16034052,0.089736566,0.16005968,-0.24581955,0.6727807,-1.315047,-0.1456876,0.06356411,-3.5304608,60,29,Sequential LSTM
-0.023221603,0.19251794,-0.678597,-0.08984763,-0.46957603,0.10579049,0.23310097,-0.86415756,4.108408,0.8221434,-1.0812758,0.17225789,1.2607894,-1.003371,0.4473531,0.13706052,-0.79371864,-1.5178424,0.35275233,-0.08606547,0.19892542,0.8853529,0.07185542,0.8571124,0.114122115,-2.156623,0.270795,0.6088914,-1.0749334,61,29,Sequential LSTM
0.0049765552,0.09508853,-0.71018976,0.053106464,-0.40054086,1.3253796,0.42150384,-0.9408354,0.89879686,0.22512232,-1.914521,0.73079294,2.53617,0.24713674,-0.82237345,-0.009350247,-0.26705018,-0.041423045,0.01503966,-0.4601041,-0.14808406,0.31650296,-0.85407263,0.4393574,-0.50605327,-0.73033065,-0.25200328,0.020698667,1.7272606,62,29,Sequential LSTM
0.13114837,0.12847711,0.15307218,-0.120569706,-0.08305744,1.1753424,0.2589272,-0.47978848,3.3310308,1.6617763,-0.74346787,-0.58628005,-0.5297834,0.12819397,-0.19434705,0.14919937,-0.10518688,-0.49475327,0.39445084,-0.78828096,0.17214999,0.6613704,0.95391583,0.35966644,0.12667784,-2.122908,-0.17207624,0.55988353,-2.9247832,63,29,Sequential LSTM
-0.019159866,0.14490002,-0.29322776,-0.21569233,-0.20359501,0.6345042,0.09261001,-0.5122967,2.6747088,-0.57296294,0.107872374,0.025036655,0.43332458,-0.15558186,0.0986085,0.29543802,-0.883018,0.48658884,0.08774083,1.4212139,-0.10403224,0.4066941,0.12731628,-0.4051654,0.084109075,-0.8037809,-0.062997416,0.16781732,-2.0569723,64,29,Sequential LSTM
0.116435155,0.0068228804,0.7984736,-0.04867419,0.34433666,0.39857087,0.16096903,-0.08630537,1.2853487,0.99131006,-0.45282865,-0.64620703,-1.2076799,0.37383947,-0.4503603,0.12449759,0.27396503,-0.5879828,0.0812549,-0.83580786,0.09732894,-0.07050863,0.7276927,-0.015403651,-0.16430107,-1.1833887,-0.100523636,0.21035622,0.85877013,65,29,Sequential LSTM
-0.0055223987,-0.15712611,-0.6242321,-0.04015531,-0.046979677,0.13855642,-0.186797,0.99983466,-1.4888139,1.8619999,-0.3944778,-0.06453421,0.7335147,1.3687857,-0.33408868,-0.058913924,1.0911638,2.318476,-0.043997884,-1.2758019,0.55542517,-0.22409324,0.07972974,0.16554868,0.3432034,0.42993733,-0.22527903,-0.3301074,-3.5852551,66,29,Sequential LSTM
0.09629873,0.13214171,1.1289021,0.11539808,0.37724906,1.2131715,0.38771614,-0.63462466,1.0694352,0.8159832,-0.7450063,0.18431997,-1.3779213,1.1131544,-1.0728253,0.16559711,0.2485197,-2.0887797,0.018744914,-0.34134635,0.078923725,0.31716022,0.025900654,0.2699526,0.20843133,-0.7288237,-0.30230904,0.21400937,0.110627934,67,29,Sequential LSTM
0.18913755,-0.02004358,0.78785,-0.033811044,0.21417575,0.6466539,0.038541634,0.13719758,0.43881768,0.98238647,-1.233183,0.26705617,-0.7300875,0.86851823,-0.24299105,0.092456065,0.38296273,0.3009008,0.0488728,-0.5558803,0.55910754,0.13742307,0.0448776,0.8909269,0.32470217,-0.24647802,-0.19087517,0.04084946,-3.1400647,68,29,Sequential LSTM
