Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Day,N_Assets,Model
0.23919265,0.14164354,-0.082680844,0.1026328,0.5992119,22,5,BNN-DCC-GARCH
0.1948801,0.21039882,-0.09814336,0.075352825,0.61751163,23,5,BNN-DCC-GARCH
0.12726893,0.21461435,-0.0835924,0.13923232,0.60247684,24,5,BNN-DCC-GARCH
0.16759121,0.1540377,-0.069990695,0.16241992,0.58594185,25,5,BNN-DCC-GARCH
0.18558,0.13560283,-0.066776425,0.1635487,0.5820449,26,5,BNN-DCC-GARCH
0.4105059,0.1447964,-0.121998794,-0.075249895,0.64194643,27,5,BNN-DCC-GARCH
0.4283923,0.07494749,-0.10179491,-0.019709341,0.6181645,28,5,BNN-DCC-GARCH
0.30208704,0.106174625,-0.08354723,0.07606235,0.5992232,29,5,BNN-DCC-GARCH
0.3001924,0.0898903,-0.0786011,0.09544929,0.59306914,30,5,BNN-DCC-GARCH
0.20565729,0.122337595,-0.06785423,0.15719761,0.58266175,31,5,BNN-DCC-GARCH
0.20504661,0.11493138,-0.06512891,0.16567843,0.5794725,32,5,BNN-DCC-GARCH
0.2328249,0.22259432,-0.1070596,0.023433136,0.62820727,33,5,BNN-DCC-GARCH
0.19356677,0.17427818,-0.081777774,0.11447194,0.5994609,34,5,BNN-DCC-GARCH
0.2531984,0.19164295,-0.10033045,0.03545812,0.620031,35,5,BNN-DCC-GARCH
0.37210703,0.09725862,-0.09870827,0.014322176,0.61502045,36,5,BNN-DCC-GARCH
0.20792496,0.097021826,-0.059402816,0.1822448,0.5722112,37,5,BNN-DCC-GARCH
0.26965642,0.17297588,-0.09788754,0.038295045,0.6169602,38,5,BNN-DCC-GARCH
0.23112178,0.121211074,-0.07189445,0.13271716,0.58684444,39,5,BNN-DCC-GARCH
0.14444368,0.1564382,-0.065561235,0.18339653,0.5812828,40,5,BNN-DCC-GARCH
0.18724695,0.10055814,-0.055371854,0.19918428,0.5683825,41,5,BNN-DCC-GARCH
0.11109868,0.113301426,-0.04335332,0.2629787,0.5559745,42,5,BNN-DCC-GARCH
0.17905068,0.14641437,-0.068873815,0.15917386,0.5842349,43,5,BNN-DCC-GARCH
0.20337667,0.1483315,-0.07482735,0.13191883,0.59120035,44,5,BNN-DCC-GARCH
0.17088938,0.1287579,-0.060822718,0.18575351,0.5754219,45,5,BNN-DCC-GARCH
