Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Day,N_Assets,Model
0.095874,0.010530218,0.09036188,-0.08106203,0.269525,0.34142572,0.05491455,-0.028174307,0.06681613,0.42409995,-0.07367517,-0.10401817,0.10137118,-0.14308813,-0.02490081,67,15,BNN-DCC-GARCH
0.16172944,0.06036738,0.04422902,-0.074967496,0.21727672,0.35740188,0.085666545,0.0034502961,0.08148859,0.4278254,-0.057739805,-0.094301306,-0.0015628674,-0.14043695,-0.07042684,68,15,BNN-DCC-GARCH
0.14026067,0.021220611,0.05056971,-0.043158576,0.1971127,0.35552263,0.084465876,0.035781667,0.07494457,0.4140112,-0.06661741,-0.10354761,0.030825155,-0.12828474,-0.06310647,69,15,BNN-DCC-GARCH
0.11281467,0.047952633,0.020903246,-0.09254958,0.27041024,0.3338201,0.090329364,4.1307736e-5,0.010032711,0.4010997,-0.029734371,-0.11950527,0.104403585,-0.1513502,0.0013318341,70,15,BNN-DCC-GARCH
0.093737714,0.056569736,0.042190168,-0.05101885,0.24767825,0.29742146,0.079436965,0.02387613,0.10391535,0.42485428,-0.063893795,-0.09021454,0.028727254,-0.13680065,-0.05647946,71,15,BNN-DCC-GARCH
0.14152688,0.0036026535,0.099117145,-0.07389193,0.27454543,0.2961187,0.117523685,-0.034071095,0.12606943,0.37333435,0.01644603,-0.059532803,-0.06035191,-0.16703165,-0.053404905,72,15,BNN-DCC-GARCH
0.1292303,-0.057117987,0.107379206,-0.04737418,0.23627178,0.3156841,0.09111023,0.008218253,0.06224657,0.41191322,-0.019026004,-0.07708249,0.0031235164,-0.13530128,-0.029275257,73,15,BNN-DCC-GARCH
0.1053617,0.008091462,0.052310012,-0.059580497,0.2596004,0.36564416,0.014458324,-0.045757823,0.04837097,0.4524436,-0.057270136,-0.09745662,0.087715365,-0.11507313,-0.018857786,74,15,BNN-DCC-GARCH
0.2374136,0.015740765,-0.092711255,0.0058726813,0.2431233,0.40088794,0.110806,-0.041210417,0.0340252,0.3385738,-0.026668329,-0.11314878,-0.008129905,0.007873994,-0.112448625,75,15,BNN-DCC-GARCH
0.17902207,-0.00064876606,0.019164205,0.0025872178,0.21331222,0.3655094,0.08250681,0.019259358,0.06575987,0.37856156,-0.06960021,-0.11163053,-0.00037141825,-0.069795586,-0.07363618,76,15,BNN-DCC-GARCH
0.14261124,-0.012005805,0.047868893,0.02743213,0.2037146,0.36851758,0.056573182,0.011715238,0.064095214,0.3928673,-0.07151019,-0.09709485,0.021489492,-0.10284314,-0.053430866,77,15,BNN-DCC-GARCH
0.1955837,0.016079344,0.021390947,0.106431864,0.350227,0.25277567,0.057113606,-0.068366215,0.00953702,0.47053343,0.091682844,-0.064658046,-0.30863148,-0.10116767,-0.028531997,78,15,BNN-DCC-GARCH
0.24696071,-0.06097439,0.03363111,-0.01665517,0.22672424,0.33143085,0.12233073,-0.06773213,0.14567488,0.44473287,0.034365598,-0.005272227,-0.13985589,-0.20478527,-0.0905759,79,15,BNN-DCC-GARCH
0.16539879,0.016954182,0.07958005,-0.12870434,0.14469889,0.40714654,0.11430586,0.009582446,0.06009468,0.48451486,-0.052970372,-0.07651881,0.019103825,-0.16268922,-0.0804974,80,15,BNN-DCC-GARCH
0.15402904,0.00921808,0.06654031,-0.09492988,0.1535189,0.38199845,0.06338038,0.059680816,0.1322243,0.4344217,-0.08985272,-0.10443006,0.03591213,-0.12171958,-0.079991855,81,15,BNN-DCC-GARCH
0.15729463,0.07195707,0.10667341,-0.16491556,0.24406552,0.38744798,0.014912072,-0.030350644,-0.044645872,0.44777256,-0.11102463,-0.11771184,0.16321059,-0.09851261,-0.026172703,82,15,BNN-DCC-GARCH
0.18022804,0.06480672,0.09551021,-0.14535251,0.24026309,0.3918915,0.013881367,-0.03539845,-0.04825218,0.46597916,-0.10769055,-0.11295309,0.12407596,-0.092672504,-0.034316752,83,15,BNN-DCC-GARCH
