Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Asset_16_Weight,Asset_17_Weight,Asset_18_Weight,Asset_19_Weight,Asset_20_Weight,Asset_21_Weight,Asset_22_Weight,Asset_23_Weight,Asset_24_Weight,Asset_25_Weight,Asset_26_Weight,Asset_27_Weight,Asset_28_Weight,Asset_29_Weight,Asset_30_Weight,Day,N_Assets,Model
-0.039632432,-0.050916314,-0.23273367,-0.058412246,0.011376359,0.10049763,-0.054277945,0.2011734,0.2213718,0.346241,0.1415212,-0.4829081,0.12164825,0.6693538,-0.39410305,0.03746596,-0.17530736,-0.12828045,0.035901014,-0.12059515,0.16020311,0.11542668,0.6022263,-0.06008192,-0.1833666,-0.086699545,0.015235032,0.04116676,-0.18168533,0.42819196,27,30,BNN-DCC-GARCH
0.0064316364,-0.03257641,-0.017957643,-0.019995436,0.053512856,0.30185926,0.0035780512,0.0489772,-0.026016777,0.16364661,0.0020085433,0.24799423,-0.03102994,0.058148786,-0.01664703,-0.00095350516,0.16360623,-0.10507143,-0.02730421,-0.13486978,0.8927705,-0.119878866,-0.18204868,0.004685541,0.037337873,0.01896322,-0.1251286,-0.026356338,-0.24421892,0.10653305,28,30,BNN-DCC-GARCH
0.014223185,-0.04097607,0.020390846,-0.04441958,0.056446243,-0.18662067,-0.024084423,0.21209744,0.100889444,0.37227857,-0.024383128,-0.00014693436,-0.20071642,0.34633285,-0.12148962,0.011492427,-0.38268048,-0.35428467,-0.07353539,-0.22725761,0.5493897,-0.10032861,0.0044331905,0.11661237,0.15420409,0.35873696,0.027713137,-0.047332145,0.19203916,0.29097602,29,30,BNN-DCC-GARCH
0.012182303,-0.052217573,0.0034873898,-0.032191075,0.02347844,-0.008106539,-0.039785367,0.29357892,-0.11310366,0.3302972,-0.13331677,-0.1442007,-0.06997201,0.38208616,-0.20052649,0.011025317,-0.55279195,0.3083974,-0.11701311,-0.12918577,0.026710808,-0.15764266,0.12889346,-0.014376318,0.039939143,0.46317697,-0.042022604,0.0055603767,0.4494828,0.3281561,30,30,BNN-DCC-GARCH
-0.022262886,-0.022406375,-0.07911827,-0.02496579,-0.0025707993,-0.1545887,-0.02188436,0.16441461,0.19892174,0.22926956,0.13015711,0.06270563,-0.07126593,0.57031924,-0.20165047,0.03841801,-0.4580178,-0.46175465,-0.1602017,-0.03231159,0.30730933,-0.017436128,-0.019280398,-0.008956421,-0.01001468,0.37469643,0.034530543,0.039337825,0.34129107,0.2773156,31,30,BNN-DCC-GARCH
-0.012504109,-0.05669827,-0.050159942,-0.05288427,0.021911755,-0.17365883,-0.045071926,0.30974248,0.30911937,0.28492114,-0.042160675,-0.10724358,-0.03138618,0.38169456,-0.23583275,0.039887678,-0.49207723,-0.39694747,-0.055879682,-0.049339868,0.12518609,-0.05560185,0.11934782,0.09567979,0.050278574,0.30436996,0.07950304,0.105068,0.22725487,0.40348125,32,30,BNN-DCC-GARCH
-0.032614063,-0.009832585,-0.15210417,-0.031814944,-0.04514872,-0.08666249,-0.004474205,0.102581255,0.19887924,0.70680237,0.13601822,0.07546704,0.07275185,0.115644865,-0.14116445,0.048762787,-0.13209127,-0.26423696,-0.1395324,-0.18236369,0.116486624,-0.041912448,-0.026234698,-0.012182769,0.21191871,0.015315289,0.04507558,0.07828709,0.0040933476,0.37428552,33,30,BNN-DCC-GARCH
-0.034847204,-0.016735608,-0.16345854,-0.00526206,-0.06687117,-0.04850301,-0.009238329,0.08221865,-0.004469319,-0.056299448,-0.033939015,-0.067601226,0.24317904,0.2434623,-0.15812525,0.016779318,-0.22281326,0.7830341,-0.09859187,0.051544204,-0.0021936973,-0.13381599,0.029874407,-0.06012264,-0.026162716,-0.011455111,-0.030982163,-0.022645652,0.42972043,0.39432067,34,30,BNN-DCC-GARCH
-0.068836525,-0.03257906,-0.24440216,-0.0703167,-0.10074874,0.07204252,-0.032311484,0.19334355,0.23880766,0.038551975,0.099610545,0.023023425,0.2836722,0.12110423,-0.26685324,0.04350352,-0.38647053,0.32046068,-0.11883668,0.07356318,-0.02305636,-0.14995652,-0.07203787,-0.1252014,-0.078780964,0.07900771,0.03743913,-0.055836473,0.6486294,0.55346495,35,30,BNN-DCC-GARCH
-0.048454132,-0.025596863,-0.42320365,-0.038399063,-0.14609787,0.124744564,0.01116732,-0.009568033,0.517835,0.080942966,0.034860436,-0.9471502,0.5893913,0.2797179,-0.4809092,0.13786894,-0.07180518,0.13379198,-0.08308976,0.2049824,0.031106355,-0.0402651,1.3106184,-0.07415993,0.15717486,-0.29224318,-0.03438933,0.16346616,-0.47102904,0.40869212,36,30,BNN-DCC-GARCH
