Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Asset_16_Weight,Asset_17_Weight,Asset_18_Weight,Asset_19_Weight,Asset_20_Weight,Asset_21_Weight,Asset_22_Weight,Asset_23_Weight,Asset_24_Weight,Asset_25_Weight,Asset_26_Weight,Asset_27_Weight,Asset_28_Weight,Asset_29_Weight,Day,N_Assets,Model
0.047757216,-0.014215972,0.149937,-0.047526926,0.0911256,0.43007696,-0.07074943,0.3561047,-0.7016845,-0.053636488,-0.3501049,-0.5230897,0.20073538,0.61345184,-0.25474858,0.028013043,0.36568558,-0.65864456,-0.04618444,-0.30272967,0.33219773,-0.18649246,0.46952412,0.0059683905,-0.21840394,0.40641162,-0.1822231,-0.26992565,1.3833711,63,29,BNN-DCC-GARCH
0.013662222,0.015680887,0.07060529,-0.0437375,0.19099964,-0.071476296,0.018952323,-0.1177815,-0.39584637,-0.13003013,-0.120494634,-0.7635585,0.14664619,0.073965095,-0.20854826,0.3167392,-0.05820237,-0.9897745,0.10210401,0.026679195,0.21458526,-0.14466564,0.83870375,0.007074085,-0.15063407,0.8853441,0.06288908,-0.16746044,1.3775799,64,29,BNN-DCC-GARCH
-0.07831026,0.002804606,-0.15700212,0.06027365,-0.011602019,-0.096672975,0.0726189,-0.24056071,-0.34327233,0.056035757,-0.26763824,-1.1240487,0.79843575,0.40799588,-0.30383503,0.21400513,0.09660673,0.18328422,0.8129044,-0.14400733,-0.2510272,0.080568336,1.1719264,-0.09223283,-0.34666574,0.3243481,0.12948318,0.08743889,-0.0418544,65,29,BNN-DCC-GARCH
-0.034678116,0.0627785,0.2527415,0.019928878,0.16900024,0.8341854,0.027291723,0.03458603,-0.23577416,-0.22269338,-0.7850999,-0.53032666,0.22757801,-0.030839615,-0.032034732,0.045541316,0.64542055,-1.6400118,0.006591748,-0.36492932,0.3081782,0.34495595,0.25016317,0.102153815,0.09255785,-0.3156699,0.28035867,-0.5604973,2.0485425,66,29,BNN-DCC-GARCH
-0.2239706,0.008455554,-0.15094534,-0.0036420159,0.09693558,-0.26822618,0.020861218,-0.016800478,-0.4752159,-0.25881055,-0.22973478,-0.454858,0.78025293,0.87865263,-0.26239872,0.04040163,-0.24471581,-0.51949644,0.18625893,-0.03037994,0.061303366,-0.17666994,0.34419927,0.060506646,-0.019182086,0.6896206,0.053685233,-0.13548857,1.2494016,67,29,BNN-DCC-GARCH
0.09427577,0.004805456,0.1692437,-0.012398991,0.12862699,0.35807323,-0.020441508,-0.006499874,0.5133563,0.52506334,-0.25186488,0.15099241,-0.2944842,-0.22943597,-0.050956756,-0.040319227,-0.16386789,0.0702178,-0.11408153,-0.5191766,0.13450634,0.11256702,-0.19420221,-0.030223293,-0.115223624,-0.43149436,0.008187706,-0.18496968,1.3897243,68,29,BNN-DCC-GARCH
0.054064635,-0.004449714,0.07577806,-0.04863432,0.0921357,1.1701856,-0.02913861,0.087769724,0.26891485,-0.0646707,-0.3302855,-0.13520542,0.11108514,-0.24900389,-0.2864885,-0.051742177,-0.07381734,-0.95286757,0.009702105,-0.16295761,-0.011641461,0.3097687,0.03770105,-0.06256111,-0.17188741,-0.3041143,-0.18400581,-0.31108445,2.2174501,69,29,BNN-DCC-GARCH
0.053738594,-0.02013759,-0.13575669,-0.07080963,0.083156675,1.1668819,-0.054483276,0.19424935,0.24776079,-0.0403832,-0.27578208,-0.37320194,0.31177905,-0.43714133,-0.25295436,-0.051194377,-0.29955018,-0.9734069,0.2231305,-0.04203357,-0.12262759,0.62370056,0.25438818,-0.12992236,-0.38729304,-0.15759626,-0.20462054,-0.35952225,2.2296317,70,29,BNN-DCC-GARCH
0.09471092,-0.009205585,0.36800557,-0.08330208,0.30753943,0.5676306,-0.028233934,0.22370611,-0.08870206,0.15630145,-0.14051527,0.13511376,-0.6226836,-0.15531224,-0.10484048,-0.048124384,-0.14509134,-1.1231071,-0.15326056,-0.2003454,0.73473585,-0.03011257,-0.05027333,0.048193704,0.20158112,0.38854295,-0.21466249,-0.28568804,1.2573988,71,29,BNN-DCC-GARCH
0.049940642,-0.023443144,-0.17611782,-0.08786819,0.0006761599,0.82664955,-0.06364144,0.5487196,0.47539967,0.5749616,-0.11977263,0.035893034,0.0077609206,-0.067007154,-0.10827183,-0.036948733,-0.20273043,-0.648398,-0.084164105,-0.33138803,0.19251767,0.080589354,-0.004589799,-0.01807654,0.026200287,-0.15928207,-0.18656895,-0.21208347,0.71104383,72,29,BNN-DCC-GARCH
0.031098647,0.05958106,0.27175117,0.010723021,0.17588589,1.3374666,0.03979614,-0.055065047,-0.29124707,0.07773644,-0.6738755,-0.50962794,0.097521536,-0.14427197,-0.07854929,-0.07339205,0.23889734,-1.9980435,0.073425114,-0.12951422,0.2709068,-0.122437775,0.53720105,0.18887846,-0.07305113,0.2811309,-0.28363845,-0.5214798,2.2621946,73,29,BNN-DCC-GARCH
-0.012994694,-0.0020422032,-0.31660607,-0.037028905,0.025556814,0.7380343,0.013205264,0.013125901,-0.17478348,1.5099243,-0.085429676,-0.6297591,0.29717267,-0.4942495,0.13462342,-0.07798128,-0.61066127,0.6061027,0.24244195,-0.7622578,-0.29455602,0.48567542,0.7017338,-0.13651226,-0.39895302,0.49393398,-0.096799344,-0.45087844,0.31996223,74,29,BNN-DCC-GARCH
0.03496473,-0.0038762987,0.037929185,-0.033770643,0.055697504,0.4037931,-0.0021179589,0.09353136,0.77017725,1.428536,0.051846508,0.42566672,-0.4442963,-0.07979742,0.09384967,-0.042847157,-0.3832901,0.11856163,-0.0005211113,-0.80175346,0.40975368,-0.13352324,-0.37286133,-0.035416774,-0.08715885,-0.27696347,-0.04144895,-0.25230104,0.06763693,75,29,BNN-DCC-GARCH
0.1302096,0.002350923,-0.22404651,-0.14190085,0.010794363,1.4102707,-0.08456779,0.4179389,0.6842384,0.49262917,0.16717318,-0.1015891,-0.22258386,-0.153929,-0.11473682,-0.06691019,0.058536634,-1.1875501,0.12677899,-0.31856525,0.36008033,0.15324509,0.14147319,-0.18719487,-0.028162872,-0.46208912,-0.3510041,-0.32161063,0.8107218,76,29,BNN-DCC-GARCH
0.0132242,0.020973876,0.24629354,0.088503025,0.14214006,-0.1315,0.0239346,-0.10156411,-0.47642344,0.027749412,-0.18649349,-0.12532586,-0.14959197,-0.1212991,0.010730404,-0.001963026,0.36901623,-0.59873986,0.102087,-0.07069848,0.1907016,-0.12203697,0.1646229,0.35677716,0.51375985,0.74172354,0.17388289,-0.05874107,-0.041742373,77,29,BNN-DCC-GARCH
0.1447499,-0.018267894,0.21155547,-0.07401697,0.16339171,0.49118397,-0.045389246,0.26785102,-0.08799544,1.8246018,0.07843829,0.40642163,-0.7798758,-0.3042577,0.11679762,-0.08591896,0.2696696,0.20502971,-0.12025261,-0.98845136,0.070308216,-0.1583789,-0.32065415,-0.048980605,0.36813372,0.10919807,-0.06837503,-0.08583243,-0.54068357,78,29,BNN-DCC-GARCH
0.13511397,-0.023802917,0.052092686,-0.028502047,0.115609236,0.55970824,-0.02396754,0.17634267,-0.42909735,0.611011,0.46494842,-0.29059508,-0.4671342,-0.30002013,-0.16363595,0.027840886,0.3197212,-0.6796816,0.017845113,-0.43784988,0.0735496,-0.14498642,0.3871811,-0.2750092,0.18064144,0.31263903,-0.13924573,-0.12558384,1.0948671,79,29,BNN-DCC-GARCH
0.07956412,-0.03500227,0.27545068,-0.052099813,0.2951101,0.15414663,-0.013649296,0.18121657,-0.38131496,0.08066559,-0.12781768,-0.04396839,-0.41013557,0.06489516,-0.08206448,-0.0494859,-0.08212742,-0.8817817,-0.14222239,-0.24105921,0.7076206,-0.2246879,0.112651594,0.066730954,0.012990547,0.8216995,-0.1430352,-0.12319891,1.1809092,80,29,BNN-DCC-GARCH
0.042778417,-0.015638856,0.025039624,-0.07753676,0.0074773924,0.7731961,-0.009682518,0.17711906,1.3020307,0.17189083,-0.052436486,0.22336428,-0.19006495,-0.043917947,-0.11037744,-0.036243625,-0.19600153,-0.4636116,-0.11031964,-0.1235925,0.16395952,0.07905602,-0.11084687,-0.015393026,-0.12189102,-0.45775348,-0.10857192,-0.08968964,0.3676579,81,29,BNN-DCC-GARCH
-0.03495933,0.062456876,-0.3068697,0.05597738,-0.17331418,0.2668277,0.062328547,-0.43792602,-0.19325316,-0.24059398,-0.36658,-0.3998468,1.3206137,0.02096257,-0.112916164,0.06080233,0.18514043,-1.2705996,0.07381799,0.2230208,-0.025054492,-0.0034346178,0.40204102,0.09453904,-0.27429733,0.293557,-0.01565438,-0.15949915,1.892714,82,29,BNN-DCC-GARCH
0.06536616,0.051255163,0.11564748,-0.03504094,0.08621646,0.16822311,-0.0038067894,-0.15755056,0.61048603,0.8954364,-0.04274935,0.31059018,-0.40147892,-0.370548,0.11378288,-0.038815156,-0.3244671,-0.46349066,-0.01583977,-0.5414009,0.12059701,0.3246651,-0.29327056,0.0498742,-0.10750259,-0.40028873,-0.016602432,-0.06256064,1.363273,83,29,BNN-DCC-GARCH
0.064087555,0.08312188,-0.10939851,0.19239432,-0.04340857,1.1699517,0.021256631,-0.36014405,-0.29286122,0.04663036,-0.4067432,-0.73827124,0.45222664,-0.6270772,-0.06685174,0.09337739,0.51137334,-1.8208591,0.58755267,0.31116563,-0.3814415,0.40783912,0.9104356,0.019900195,-0.48088685,0.38182133,-0.03711991,-0.30072898,1.4126586,84,29,BNN-DCC-GARCH
0.03127278,0.010882395,0.042313367,-0.1413773,0.18977156,0.3140988,-0.058759462,0.29058504,0.20318204,0.31667012,0.037658773,0.12279739,-0.304238,-0.19662808,-0.004098974,-0.038214933,-0.4436817,-0.8378733,-0.17445911,-0.16862155,0.35177135,0.065028,-0.06962983,-0.004022984,-0.041753627,0.34780273,-0.11199223,-0.22590894,1.4974256,85,29,BNN-DCC-GARCH
