Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Day,N_Assets,Model
-0.057586584,-0.13278095,-0.8380278,-0.12855643,-0.19472565,0.35138863,-0.12979761,0.6988381,0.27648574,0.7994071,-0.29004323,-0.009092731,1.1322646,0.0033836176,-0.48115677,59,15,Sequential RNN
-0.21022649,-0.059353475,-1.2316295,-0.057765804,-0.43033183,0.08129484,-0.053548086,0.16524142,0.15746343,0.61147237,-0.19165033,-0.04758383,2.2773402,0.7352617,-0.7459842,60,15,Sequential RNN
-0.13537103,-0.06267693,-1.4322577,-0.0978003,-0.4379648,0.54859334,-0.04214866,0.14819746,0.6675791,0.50319034,-0.5068356,-0.037140734,2.3933039,0.30440724,-0.8130764,61,15,Sequential RNN
-0.25727087,-0.04647046,-1.6126589,-0.041451246,-0.5052811,0.03197618,-0.059113525,0.13870375,0.03047068,0.467771,-0.3262553,-0.09543109,3.0052361,1.1077915,-0.8380165,62,15,Sequential RNN
-0.1668132,-0.14287286,-1.2558573,-0.08672351,-0.27073488,-0.1326901,-0.12620321,0.6003218,0.0700776,0.9573214,-0.06519554,-0.020342,1.7326964,0.43056762,-0.52355236,63,15,Sequential RNN
-0.23028652,-0.047054328,-1.2277782,0.008907609,-0.41526905,-0.15346876,-0.06243251,0.14144635,-0.07742319,0.42831746,-0.15165836,-0.092362195,2.475706,0.9635582,-0.56020236,64,15,Sequential RNN
-0.19553423,-0.046720102,-1.5275574,-0.095551424,-0.45317763,-0.06153511,-0.062377214,0.06720557,1.1021482,0.23982409,-0.26629183,-0.026637523,2.5383298,0.39874884,-0.61087453,65,15,Sequential RNN
-0.1339352,-0.011613762,-1.2548424,-0.015562496,-0.2686464,0.3925985,0.05757373,-0.087118864,0.159231,1.2696011,0.0061573815,0.077424735,1.4259851,0.42868775,-1.0455402,66,15,Sequential RNN
-0.15021382,-0.16002564,-0.9483354,-0.17883082,-0.24814442,0.2399351,-0.18706717,1.0003226,0.042765483,0.45866132,-0.242755,-0.06827722,1.5569468,0.4981214,-0.61310315,67,15,Sequential RNN
-0.11929291,-0.085061505,-0.9228109,-0.060185056,-0.1648561,-0.019861044,-0.07438397,0.38910598,-0.031663015,1.0861993,0.023498513,-0.015187494,1.1322818,0.44101456,-0.5787988,68,15,Sequential RNN
-0.14702311,-0.07137975,-1.1521583,-0.08291159,-0.3017589,0.15373756,-0.060547795,0.3169975,0.1002374,0.82677317,-0.51288587,-0.06972607,1.9503855,0.80189216,-0.7516322,69,15,Sequential RNN
-0.20660865,-0.08186806,-1.194281,-0.08557789,-0.34469235,0.02134742,-0.09336609,0.42846504,-0.10132401,0.9217718,-0.21373403,-0.048415955,1.9293367,0.7391981,-0.67025095,70,15,Sequential RNN
-0.15909374,-0.009955632,-1.2605312,-0.006152283,-0.28349438,-0.21630341,-0.016682353,-0.0055408888,0.06353727,0.85120165,-0.062984586,-0.04008583,1.9992566,0.7510438,-0.6042149,71,15,Sequential RNN
-0.046993252,-0.08954529,-0.96854186,-0.08772582,-0.19897231,0.52742,-0.04408845,0.27474248,0.4342245,0.8838335,-0.26814306,-0.011942777,1.1324201,0.69905204,-1.2357397,72,15,Sequential RNN
-0.16651422,-0.084778875,-1.1747844,-0.07207822,-0.34223813,0.14294864,-0.07100392,0.28511602,0.28467378,0.6023078,-0.3264422,-0.068076774,2.0214748,0.7634601,-0.7940654,73,15,Sequential RNN
-0.30837688,-0.106991015,-1.9363753,-0.10930869,-0.5647581,0.061992917,-0.16208014,0.5047951,0.2787146,0.59631705,-0.42530635,-0.060442198,3.3081095,0.5263808,-0.602671,74,15,Sequential RNN
-0.2463488,-0.105615385,-1.5617888,-0.11756583,-0.48002294,0.476591,-0.13300067,0.5477147,-0.018511321,0.26563007,-0.323701,-0.082865976,2.9595003,0.33075562,-0.51076967,75,15,Sequential RNN
-0.22932869,-0.038477562,-1.7473369,-0.07475665,-0.647265,0.33696502,-0.025888653,-0.019148016,0.5223314,0.12827545,-0.46665052,-0.10845003,3.3805447,1.0077605,-1.0185755,76,15,Sequential RNN
-0.14257525,-0.19208355,-1.2948003,-0.1049665,-0.25444463,-0.15167996,-0.12598155,0.7783527,0.011292245,0.6748056,-0.36782154,-0.104638994,2.0502121,0.83252853,-0.6081985,77,15,Sequential RNN
-0.25880235,-0.14305268,-1.8999949,-0.16388804,-0.56050617,0.734597,-0.18203509,0.78492635,0.25054622,0.07705293,-0.6206797,-0.09643807,3.466069,0.07318055,-0.46097547,78,15,Sequential RNN
-0.3048036,-0.09099835,-1.7186185,-0.07048373,-0.5644788,0.27836505,-0.11753658,0.3040309,-0.085726716,-0.019371249,-0.14213465,-0.15880519,3.3877516,1.2730337,-0.97022367,79,15,Sequential RNN
-0.12552896,-0.08317356,-1.4902152,-0.1739284,-0.46495944,0.5155057,-0.09314405,0.26990926,0.8071807,0.32076046,-0.36418232,-0.0022364915,2.504651,0.0044189994,-0.6250577,80,15,Sequential RNN
-0.3616968,-0.15613277,-2.4824708,-0.15897386,-0.6883769,0.60419863,-0.1775348,0.8556853,-0.37014645,0.30764303,-0.9517507,-0.18465677,4.4865475,0.83862495,-0.5609602,81,15,Sequential RNN
-0.3407787,-0.09453663,-1.722266,0.011337069,-0.56886894,-0.01467542,-0.21785669,0.6081196,-0.02163659,0.1709314,-0.30893058,-0.09835151,3.368146,0.70050836,-0.4711414,82,15,Sequential RNN
-0.13844465,-0.027744405,-1.3038492,-0.025598578,-0.2548698,-0.06208554,-0.030466205,0.14252095,-0.043128207,1.5138559,-0.09774626,0.017412152,1.5693218,0.062940575,-0.32211876,83,15,Sequential RNN
-0.22991009,-0.14919326,-1.1648566,-0.18966347,-0.45420882,0.3360033,-0.1827201,0.89099395,0.12015703,-0.06580883,-0.45001155,-0.11818696,2.5895934,0.52270573,-0.45489326,84,15,Sequential RNN
0.017074434,-0.013932444,-0.5406438,-0.037702277,-0.0812511,0.22059098,0.012447272,0.08443426,-0.0098375315,1.3409015,-0.38470143,-0.009666935,0.60691345,0.30450743,-0.5091338,85,15,Sequential RNN
-0.2748752,-0.06666481,-1.7054967,-0.088624045,-0.53541356,-0.099396616,-0.101007365,0.38332132,-0.1491254,0.75275177,-0.29728177,-0.08402603,3.0208619,0.7911845,-0.54620695,86,15,Sequential RNN
-0.16441803,-0.15760675,-1.084029,-0.15954612,-0.329282,0.28537056,-0.14962298,0.7512441,0.06294647,0.41495278,-0.512799,-0.111660935,2.0128574,1.0624534,-0.9208603,87,15,Sequential RNN
-0.11869267,-0.1159213,-1.0598446,-0.11789321,-0.21943821,-0.063441746,-0.12034318,0.56095815,0.22157413,1.0798793,-0.14884037,-0.012505583,1.2995894,0.3897868,-0.57486707,88,15,Sequential RNN
