Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Day
-0.15194273,-0.25178578,-0.1937811,-0.38612282,0.42335936,0.71749604,-0.40279868,1.2595983,-0.425645,0.4116224,71
-0.1274831,-0.28236634,-0.1978082,-0.47928244,0.41459525,0.67350405,-0.42157114,1.4506199,-0.44972572,0.41951767,72
-0.09675877,-0.17727916,-0.3172138,-0.3733269,0.44614094,0.77373296,-0.40880054,1.1146578,-0.072324485,0.11117195,73
0.01022934,-0.24302688,-0.14841668,-0.4496415,0.28376856,0.6710564,-0.49956292,1.6202116,-0.38180304,0.13718516,74
0.024544243,-0.07041301,-0.41455203,-0.19754231,0.29343653,1.0187573,0.015120125,0.49674624,-0.8417933,0.67569613,75
0.08779122,-0.17264609,-0.30206773,-0.24954319,0.2295564,0.94087046,-0.30413398,1.1267517,-0.44766805,0.09108929,76
0.028414853,-0.36974198,-0.34780723,-0.42402428,0.22295336,1.0185375,-0.6200327,2.064064,-0.26031512,-0.31204844,77
-0.052622385,-0.21562298,-0.31841958,-0.36582854,0.20948629,0.9077718,-0.351537,1.4840552,-0.56807905,0.27079618,78
0.04091041,-0.09116348,-0.4354999,-0.45923364,0.47908464,0.53195477,0.19699743,0.37790075,-0.3675707,0.7266198,79
0.069582045,-0.021898879,-0.33028814,-0.40570822,0.6041146,0.6573799,0.3789699,-0.23025833,-0.3496044,0.62771153,80
0.07523236,-0.07062036,-0.4456995,-0.42096433,0.4025249,0.51129115,0.24822177,0.11003144,-0.21020828,0.80019087,81
0.055820905,-0.07487098,-0.2560149,-0.6548192,0.32725096,0.6824476,0.23743509,0.36752415,-0.6710459,0.9862723,82
0.2865778,-0.03226843,-0.15479253,-0.3147777,0.26846346,0.94138455,0.26709774,-0.20529008,-0.23278634,0.17639154,83
0.11462395,-0.062379636,-0.18575692,-0.3644701,0.1753349,1.2232955,0.14266671,0.15124767,-0.40965158,0.21508959,84
0.1486873,-0.04007021,-0.15063618,-0.345658,0.27617133,0.9975247,0.43638068,-0.3906033,-0.14666705,0.21487075,85
-0.1853262,0.07258914,-0.3729258,-0.24620469,0.237749,0.59292394,0.10258425,0.3497326,-0.3228922,0.77177,86
-0.23796861,-0.10522741,-0.09205005,-0.35876888,0.21678956,1.4145015,-0.0045850906,0.7454276,-0.8391725,0.2610539,87
-0.25282642,-0.32913414,-0.1873755,-0.61898506,0.22375952,1.42218,-0.5058953,2.0015774,-1.0071347,0.2538341,88
-0.17197658,-0.30167684,-0.19077894,-0.5397227,0.10466657,0.72303015,-0.955292,2.7177382,-0.52252156,0.13653378,89
-0.11470466,-0.01679583,-0.15643042,-0.05957051,0.40268898,1.0190505,-0.08883394,0.1629001,-0.575708,0.42740378,90
-0.14033352,-0.07917447,-0.3529635,-0.20862713,0.30824462,0.8959022,-0.19659767,0.704678,-0.53996617,0.60883766,91
-0.01790414,0.037422456,0.55127865,0.17015217,0.27879718,1.3446133,0.2327676,-1.0161846,-0.31876072,-0.26218197,92
-0.0645316,-0.1594879,0.3053336,0.085456416,0.65051526,1.9177951,0.36406684,-1.1240978,-0.65789884,-0.31715104,93
-0.36498955,0.15757616,0.6061332,0.77116907,0.4380264,1.0079441,0.65929204,-2.319428,-0.14776175,0.19203821,94
