Asset_1_Weight,Asset_2_Weight,Day
0.81214297,0.18785705,80
1.0202957,-0.020295786,81
0.816031,0.18396899,82
0.7516318,0.24836822,83
0.9818322,0.018167766,84
0.92085886,0.07914113,85
0.73000383,0.26999614,86
0.91130745,0.08869253,87
0.90528697,0.094713055,88
1.1949778,-0.1949778,89
1.5629234,-0.5629234,90
0.8291728,0.17082722,91
1.2476141,-0.24761409,92
1.5511461,-0.55114615,93
0.81806016,0.18193987,94
0.9371359,0.062864125,95
1.378299,-0.37829903,96
1.1599898,-0.15998988,97
0.7419786,0.2580214,98
1.1032761,-0.1032761,99
0.95990217,0.040097844,100
0.73164505,0.26835498,101
1.7970511,-0.7970511,102
1.4492851,-0.4492852,103
1.8634903,-0.86349034,104
1.4265732,-0.42657316,105
1.1228685,-0.12286854,106
0.95177424,0.048225734,107
1.3319658,-0.33196583,108
1.1389517,-0.13895172,109
1.576767,-0.5767669,110
1.4102833,-0.4102834,111
1.0869141,-0.08691409,112
0.8758324,0.12416765,113
2.0735738,-1.0735738,114
1.5406785,-0.54067844,115
0.84947515,0.15052485,116
0.9596018,0.040398184,117
0.777565,0.22243501,118
0.79564303,0.20435695,119
0.7175873,0.28241274,120
1.4096043,-0.40960434,121
1.9029529,-0.9029529,122
1.572003,-0.57200307,123
1.6713511,-0.6713511,124
2.238689,-1.238689,125
1.6716082,-0.67160815,126
2.0170903,-1.0170903,127
2.0369332,-1.0369331,128
2.4506872,-1.4506872,129
1.9040825,-0.90408254,130
2.21909,-1.21909,131
3.0892587,-2.0892587,132
3.240734,-2.240734,133
3.4737823,-2.4737823,134
4.0520043,-3.0520043,135
3.6842203,-2.6842203,136
0.9363886,0.063611366,137
1.3878924,-0.38789234,138
0.51568866,0.4843113,139
0.4834574,0.5165426,140
0.5350861,0.46491387,141
6.8263364,-5.8263364,142
1.4728086,-0.47280863,143
0.6460514,0.35394862,144
0.35768288,0.6423171,145
0.43532667,0.5646733,146
-0.12942168,1.1294217,147
-1.7222774,2.7222774,148
-0.90994585,1.9099458,149
0.5493594,0.45064062,150
-0.4125437,1.4125437,151
-4.3198385,5.3198385,152
0.5763117,0.42368826,153
0.6263072,0.3736928,154
0.82267165,0.17732836,155
1.3362807,-0.3362807,156
1.0697771,-0.06977714,157
1.8124772,-0.81247723,158
0.7791739,0.22082612,159
2.7599418,-1.7599417,160
1.210448,-0.21044803,161
1.7789961,-0.77899617,162
1.362959,-0.36295903,163
1.0451934,-0.04519346,164
2.423673,-1.4236729,165
1.0600028,-0.060002826,166
1.6005511,-0.6005511,167
1.6450379,-0.64503795,168
0.6394395,0.36056045,169
0.67756796,0.32243204,170
2.1612272,-1.1612272,171
0.8464407,0.15355933,172
1.1460778,-0.14607775,173
0.6961262,0.30387378,174
0.9663539,0.033646084,175
3.5145805,-2.5145805,176
1.6335108,-0.6335109,177
0.8896198,0.11038018,178
1.4749379,-0.4749379,179
2.75798,-1.7579801,180
2.1979017,-1.1979017,181
2.8017917,-1.8017917,182
1.2826957,-0.28269562,183
1.3440723,-0.34407234,184
1.0453541,-0.04535407,185
0.8270048,0.1729952,186
0.70604795,0.29395205,187
2.6430538,-1.6430538,188
0.970253,0.02974699,189
1.792278,-0.79227805,190
1.6054366,-0.60543656,191
1.6744161,-0.674416,192
2.0277724,-1.0277723,193
1.5730385,-0.5730384,194
1.914974,-0.914974,195
2.8613162,-1.8613162,196
2.438152,-1.4381521,197
0.7537938,0.24620624,198
0.65297925,0.34702078,199
0.64347667,0.3565233,200
0.6255418,0.37445816,201
1.2408929,-0.24089286,202
0.94415486,0.055845164,203
1.4846644,-0.48466447,204
1.44266,-0.44265994,205
0.7115334,0.28846657,206
0.93892837,0.061071616,207
0.91515476,0.084845245,208
0.6177105,0.38228953,209
0.8382196,0.16178045,210
3.1144187,-2.1144187,211
2.786112,-1.7861122,212
1.5119566,-0.51195663,213
1.1211121,-0.12111209,214
4.6489034,-3.6489034,215
0.7477055,0.25229448,216
0.9200012,0.07999876,217
1.0829048,-0.08290482,218
1.7212441,-0.72124404,219
1.4150794,-0.41507933,220
1.0170121,-0.017012073,221
0.85951793,0.14048205,222
2.3860948,-1.3860947,223
2.2889388,-1.2889389,224
0.6577784,0.34222162,225
0.9143676,0.08563239,226
0.81648475,0.18351522,227
2.1008258,-1.1008258,228
1.9991934,-0.9991934,229
0.7906622,0.20933776,230
0.9079234,0.09207658,231
0.8427406,0.15725937,232
1.1094538,-0.10945378,233
1.8563538,-0.85635376,234
1.9905411,-0.9905411,235
0.7520312,0.2479688,236
2.2012708,-1.2012708,237
1.2791088,-0.27910873,238
1.6655544,-0.6655544,239
1.1106412,-0.11064124,240
1.1494168,-0.14941685,241
0.7956688,0.2043312,242
1.7083113,-0.7083113,243
0.86837894,0.1316211,244
0.73440355,0.26559648,245
0.81175596,0.18824404,246
0.7818121,0.2181879,247
0.6536979,0.34630206,248
0.64313793,0.35686204,249
