Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Asset_16_Weight,Asset_17_Weight,Asset_18_Weight,Asset_19_Weight,Asset_20_Weight,Asset_21_Weight,Asset_22_Weight,Asset_23_Weight,Asset_24_Weight,Asset_25_Weight,Asset_26_Weight,Asset_27_Weight,Asset_28_Weight,Asset_29_Weight,Asset_30_Weight,Day
0.035424642,-0.0075012683,-0.07541414,-0.08901303,0.15782109,0.0781956,0.009588605,0.04288862,-0.0052435654,0.05370114,0.031768594,0.045762215,-0.03324424,-0.006420968,-0.007748873,0.017092092,-0.04033629,0.007148392,-0.0249463,0.07373465,0.026058903,0.022242086,-0.05044087,-0.013533865,0.08370687,-0.029857831,0.06206686,-0.0042095995,0.018254112,0.6224564,81
0.03123616,0.003795396,-0.040984962,-0.09061271,0.13541695,0.071969755,0.03166927,-0.011032826,-0.06437293,0.05967429,0.042773195,0.029452927,0.021697637,0.020982185,0.0057839286,0.019168248,-0.025358139,0.003939375,-0.01644577,0.07111062,-0.0027789823,0.049827833,-0.05580085,-0.03556494,0.10404924,-0.06129242,0.05430174,0.01059942,0.016010774,0.6207856,82
0.054447316,0.002714828,-0.044233475,-0.08565946,0.13864768,0.064274125,0.028290374,-0.019154353,-0.060841452,0.037928328,0.04521948,0.042743742,0.015147363,0.028484136,0.02038559,0.013701558,-0.026103647,0.00313543,-0.017776137,0.061874207,0.0089492565,0.052541867,-0.0621713,-0.03328489,0.113964565,-0.048865765,0.059192806,0.0024185113,0.01195511,0.5920742,83
0.02837544,0.00087185466,-0.041145522,-0.08614235,0.140256,0.06507259,0.036249593,-0.0078104744,-0.05384316,0.042574737,0.041858874,0.0393897,0.0031502554,0.046430513,0.02315693,0.021857627,-0.021341164,-0.0014272301,-0.011551393,0.05773706,0.015113696,0.04189907,-0.06327661,-0.037994962,0.103245,-0.052155726,0.06460527,0.021900933,0.0055422336,0.5774012,84
0.022824,-0.008581724,-0.026096018,-0.11133767,0.14815244,0.050381716,0.05563745,-0.008434287,-0.051413715,0.039893508,0.05356182,0.043953393,-0.009962401,-0.008916499,-0.022882061,0.05239558,-0.0031033952,0.024524556,0.026136054,0.034248173,0.01333666,0.049202804,-0.05044709,-0.019478379,0.065673806,-0.036787845,0.04799825,-0.0052777412,0.01508605,0.6197126,85
0.026021592,0.020034138,-0.049905263,-0.07850084,0.15305567,0.061816137,0.019829523,-0.014548041,-0.041054517,0.029568609,0.08010832,-0.009150039,-0.02060779,0.0051431335,-0.025719792,0.049504746,-0.0016217001,0.022619557,-0.010780176,0.017634323,0.021971066,0.055415105,0.0010164691,-0.0072962847,0.04676687,-0.040341306,0.07861516,-0.013480279,0.02159368,0.60229194,86
0.005384817,0.009702123,-0.008704125,-0.0948356,0.15343536,0.038887363,0.02724816,0.021643925,-0.054237116,0.028144334,0.05140528,-0.0061919806,0.00397523,-0.016875595,-0.036391437,0.044570126,0.030237727,0.015221343,0.030222131,0.023041833,0.059895743,0.03289784,0.00038874926,-0.0030521606,0.033266,-0.08687839,0.031675726,0.023007512,0.009484277,0.6334308,87
0.014387667,-0.0063161305,-0.019640023,-0.08667676,0.14528385,-0.015466997,0.0026817592,0.04698222,-0.04738979,0.010387158,0.04888159,-0.012358345,0.0010630689,0.0037704313,-0.016375558,0.064812794,0.03267803,0.007345062,0.017316278,0.042698402,0.07189807,0.037363313,0.03321722,7.755712e-5,0.04663383,-0.07863452,0.013443297,-0.010184385,0.00774363,0.6443773,88
0.0075029344,-0.0011830543,-0.017402379,-0.08961005,0.1540779,-0.00085623475,0.023703197,0.013894876,-0.03165993,0.012892482,0.03694942,0.020494824,-0.005550882,-0.002803846,-0.033329144,0.077017374,0.033135034,0.014673868,-0.0004722402,0.041232426,0.06896299,0.047280107,0.019453218,0.002423779,0.033601966,-0.05578037,0.033858567,-0.032695808,0.016600884,0.6135881,89
0.022731267,0.013409536,-0.010737075,-0.07208235,0.16602027,0.00021425883,0.038719404,-0.03922248,-0.034844723,0.012764874,0.019924697,0.015013886,-0.021989115,0.0012206305,-0.030365212,0.06241957,0.030483402,0.029585026,-0.009152898,0.04463712,0.08233042,0.034525957,0.008735349,0.008215357,0.022012867,-0.04580318,0.023552837,-0.033447072,0.030790333,0.630337,90
0.014031147,0.0066754576,-0.014497759,-0.07175901,0.14376567,0.002712957,0.034807015,-0.02980444,-0.044059172,0.026214475,0.020916075,0.011060978,0.037036613,0.005274058,-0.03595739,0.060096584,0.025083326,0.030424494,-0.014023776,0.04843058,0.07260577,0.038859043,0.009525544,0.01261339,0.020677857,-0.04449487,0.035668656,-0.03824062,0.030282933,0.6060744,91
0.011440529,0.012467985,0.043820802,-0.06669167,0.1296133,0.009745403,0.03454062,-0.054882966,0.012357803,0.0033040207,0.044665053,0.011583684,0.033024065,0.017720323,-0.013845408,0.038095236,0.005712963,-0.003483419,-0.0064417794,0.018896729,0.07160771,-0.0010375881,0.016731055,-0.038115915,0.024436826,-0.016915888,0.06028108,-0.041895837,0.0010440262,0.6422213,92
-0.008404719,-0.013337312,-0.016079666,-0.04588024,0.12744045,-0.015534372,0.044809107,-0.011808178,-0.002552937,0.01566773,0.09280164,0.023367533,-0.0030221257,-0.017654777,-0.00019103505,0.0734312,-0.014745925,-0.06301528,-0.051029656,0.04795879,0.07754715,0.01742779,-0.023031574,0.0011483586,0.10240027,-0.048936687,0.05279094,0.016104655,-0.056292955,0.6986218,93
-0.014093586,0.0023443683,0.017537886,-0.024533812,0.11866481,-0.049575217,0.040186986,-0.035282906,-0.009618862,0.02037281,0.08705418,0.006418496,-0.036510862,-0.01767298,0.019582255,0.085862376,-0.0016027017,-0.08295429,-0.04686248,0.052580517,0.070097975,0.02403468,-0.010033264,0.013122846,0.09851408,-0.04207413,0.072894916,0.029649956,-0.0727617,0.68465763,94
-0.013924372,-0.007340326,0.0059681977,-0.032810744,0.11590548,-0.059732627,0.02981933,-0.0072059263,-0.02301702,0.018113244,0.093153566,0.015421393,-0.010345648,-0.03429889,0.0036278293,0.073209085,-0.0062402077,-0.04702814,-0.03390509,0.049562607,0.063170835,0.034002125,-0.027703267,0.018914033,0.11595047,-0.05721341,0.0883494,-0.0055912584,-0.03826052,0.67944986,95
-0.016551709,-0.007075766,0.012032781,-0.037207402,0.1350892,-0.048252933,0.026428957,0.011069618,-0.03231246,0.02337156,0.101404585,0.01005668,-0.02135738,-0.02614426,-0.0038796759,0.06497666,-0.012199366,-0.02253491,-0.044631243,0.042947814,0.06330469,0.030251356,-0.023851316,0.0042444477,0.10243843,-0.063788794,0.10866909,-0.009690387,-0.016841073,0.6500328,96
-0.01627919,-0.0077049225,0.020968348,-0.017722802,0.1257688,-0.04799123,0.034370635,-0.03842622,-0.024790755,0.020921962,0.10411959,0.027060196,-0.011438683,-0.03122712,0.0325317,0.09052516,0.023077702,-0.059724607,-0.04106863,0.035456203,0.03683778,0.07857333,-0.029547801,0.0022563087,0.10986173,-0.0747167,0.104397036,0.0027249726,-0.04716324,0.59835047,97
-0.017435908,0.00052478473,0.04525445,-0.0025300737,0.11537665,-0.06292773,0.03444661,-0.049832728,-0.037936885,0.011579153,0.0990391,0.02539103,-0.024684807,-0.033235002,0.041407805,0.069422044,0.04617805,-0.0720169,-0.02422471,0.025256421,0.04004276,0.09776371,-0.03899863,0.012234363,0.09242497,-0.07530462,0.11655936,0.022125632,-0.059647206,0.6037483,98
-0.024960157,0.0020072984,0.052224703,0.0021100997,0.10387635,-0.03951145,0.03129001,-0.035542175,-0.04769649,0.022390787,0.0838074,0.018991284,-0.01655788,-0.026666354,0.033483487,0.06419373,0.030191716,-0.058616925,-0.039229605,0.016870165,0.030613111,0.079429194,-0.03569438,0.030236667,0.0907632,-0.0675288,0.16829489,0.032549307,-0.054957073,0.55363786,99
-0.019913424,0.014370452,0.044049166,0.01391539,0.09473177,-0.06908474,0.028893638,-0.034735423,-0.06509461,-0.022676034,0.06018545,0.020011378,0.009502368,0.005511973,0.026643772,0.06831425,0.03410217,-0.027430506,-0.05551533,-0.008457847,0.05240351,0.048956458,-0.052828882,0.009749305,0.0684603,-0.05922624,0.122147135,0.064238094,-0.0015952851,0.63037175,100
-0.015547083,0.022698998,0.05631627,-0.0110722305,0.07476509,-0.06034496,0.009118554,0.019518632,-0.05099808,-0.03550592,0.016260104,0.012828938,0.011774889,0.05237431,0.02715579,0.055954233,-0.010788485,-0.008931968,-0.047210734,0.0054292805,0.05225139,0.09267685,-0.039863694,0.00918707,0.042600743,-0.07177962,0.13448781,-0.014842839,0.01854247,0.6529442,101
-0.022143353,0.015951512,0.046168093,-0.017498111,0.05619703,-0.051161923,0.00461838,0.03365338,-0.06518578,-0.02908228,0.057058904,0.0031275488,0.022268202,0.03587455,0.0058720014,0.066548996,0.008934606,0.0078124055,-0.05084267,-0.0004373407,0.06629714,0.078385405,-0.036349054,0.0050096074,0.047130436,-0.090608634,0.12715384,-0.002033055,0.029214343,0.6480658,102
-0.024805017,0.020488102,0.055428315,-0.018487932,0.067932986,-0.042280376,0.0025415572,0.03447093,-0.07024771,-0.029666945,0.061529428,-0.009570503,0.029255094,0.040115513,0.0022892128,0.07785844,-0.00011112777,0.013859942,-0.046865087,0.00013367087,0.07444155,0.06014903,-0.03717313,0.019918622,0.043648403,-0.09851062,0.11918282,-0.0059284614,0.034119107,0.6262842,103
-0.027833575,0.0035586802,0.0249837,-0.047337905,0.09957499,-0.022700664,-0.00023874742,0.06244925,-0.048069634,-0.031675704,0.03018893,0.0020970595,0.031343475,0.026567845,0.015727127,0.022876313,-0.004342104,0.047872007,-0.028501133,-0.005397063,0.1302715,0.024738334,-0.05966589,0.008481735,0.03767388,-0.079575785,0.0885763,-0.021098716,0.058303386,0.6611524,104
-0.022816,0.00087420625,0.02375237,-0.044279736,0.0915306,-0.007821122,-0.00092682143,0.06181821,-0.0570818,-0.032367125,0.036475766,-0.0040165037,0.039929498,0.026923861,0.0062951976,0.03659316,-0.005245388,0.05266085,-0.031909954,-0.011153933,0.11285352,0.029593477,-0.05498006,0.0164595,0.035114333,-0.08574294,0.08764569,-0.012570828,0.06316618,0.6492258,105
-0.043395106,0.0022158308,0.03704259,-0.030046841,0.08348808,0.07215127,0.009874528,0.030686077,-0.07543579,-0.023299215,0.025103806,-0.0018474165,0.055222776,-0.007383797,-0.03752296,0.02762933,-0.006318941,0.07659175,-0.0305433,0.017061867,0.07694953,0.03741858,-0.062438823,0.007901481,0.054506842,-0.06624793,0.09015137,-0.04228523,0.07838065,0.644389,106
-0.04045019,-0.0006922264,0.026809312,-0.036821555,0.10201224,0.06434807,0.0051805046,0.040689096,-0.07395131,-0.018454198,0.031640455,-0.016323946,0.060934987,0.012162411,-0.01653734,0.032072715,-0.010580366,0.083165355,-0.0313735,-0.00067124626,0.08053759,0.038425922,-0.0531576,0.0058898777,0.034312792,-0.07203425,0.083261624,-0.04203497,0.086171895,0.62546784,107
-0.022635108,-0.009067307,0.0370849,-0.04033527,0.09846459,0.06523678,0.01683376,0.032129012,-0.10952127,-0.0056607686,0.011234768,0.0033895406,0.046522368,0.0036619154,-0.029001644,-0.021343414,0.022821689,0.08311377,-0.020089475,2.1450598e-5,0.06547815,0.05893446,-0.051465277,-0.04219339,0.04235288,-0.057630718,0.13267332,-0.014716275,0.092248164,0.61145836,108
