Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Day
-0.0030902107,0.036744673,0.09696886,-0.47272706,0.6779302,0.54817307,-0.049022075,0.18351443,-0.04240819,0.16926958,-0.10177066,-0.18919952,0.22078244,0.091345154,-0.16651064,55
-0.0069388226,0.025267962,0.37530127,-0.2530044,0.6816485,0.3135845,0.00729768,0.051624287,0.014593097,0.050493114,-0.07544538,-0.103174,-0.048495345,0.035797503,-0.06854993,56
-0.00423456,0.024002105,0.32639846,-0.33243996,0.63176304,0.36386544,-0.0076732067,0.10124395,-0.074521065,0.12419877,-0.13200581,-0.116078235,0.07953036,0.09596177,-0.0800111,57
0.10316744,0.05449348,0.36310047,-0.24272953,0.66041243,0.36724335,0.0613144,-0.011712228,0.058081005,0.14986038,-0.29389003,-0.116186135,-0.06736764,-0.06348929,-0.02229811,58
0.03181434,0.06873216,0.3752126,-0.120929174,0.70918345,0.4028181,-0.010975945,-0.11498749,-0.02382695,0.15065162,-0.28823343,-0.1288818,0.0011152516,-0.03619196,-0.015500775,59
0.029827261,0.03241006,0.31346247,-0.23478566,0.56828225,0.5207887,-0.072231665,0.17140639,-0.105893575,0.22883764,-0.28618366,-0.23094027,0.13093723,0.015021643,-0.08093885,60
0.016123466,0.034166265,0.28319103,-0.17261826,0.6371038,0.4050642,-0.05991121,0.078972846,-0.061468408,0.26035243,-0.1977099,-0.17931302,0.019515015,0.021590177,-0.08505841,61
-0.026778484,0.018229024,0.29225627,-0.106787086,0.6568045,0.42767,-0.08101193,0.053472724,-0.112420276,0.37076256,-0.17742072,-0.15574376,-0.027160153,-0.06016336,-0.07170927,62
-0.0045727286,0.019237582,0.24856044,-0.16975302,0.6173859,0.3957647,-0.073274344,0.17515014,-0.060420133,0.26008487,-0.12271247,-0.15249552,-0.027322855,-0.02671832,-0.07891424,63
-0.040566258,0.031873625,0.19789003,-0.090020694,0.5685095,0.33593372,-0.118192464,0.19291393,-0.025808709,0.23935366,-0.07051463,-0.10418994,-0.032173906,0.019685116,-0.10469303,64
0.042704225,0.024569884,0.08874566,-0.16508323,0.6154648,0.3826046,-0.106637694,0.08260209,-0.24671955,0.18816714,-0.18664081,-0.052091096,0.103378184,0.20992504,0.019010738,65
-0.050327927,0.033690277,0.095920175,-0.18290551,0.705932,0.36060628,-0.045378238,0.11387281,-0.15094417,0.27693775,-0.031578355,-0.10297985,-0.25965965,0.2325248,0.004289598,66
-0.026840203,0.02828156,0.10331895,-0.276715,0.75757116,0.4020913,-0.09162476,0.07082507,-0.08899267,0.19100268,0.009794882,-0.11668415,-0.14420617,0.2625417,-0.080364324,67
-0.023290923,0.092329375,0.046212476,-0.24034299,0.68848693,0.40104368,-0.052919596,0.046603948,-0.082380734,0.18245779,-0.022012608,-0.114446774,-0.11296542,0.2324713,-0.041246444,68
-0.03690468,0.039481267,0.038651153,-0.2916608,0.63929796,0.46648014,-0.026138334,0.10139022,-0.120501935,0.19310819,0.062123317,-0.1140292,-0.09559673,0.20352338,-0.059223954,69
-0.03550906,0.03877466,0.020412875,-0.2574869,0.5968128,0.4227091,-0.039355922,0.08866604,-0.0963828,0.22890711,0.064452186,-0.10144212,-0.07560504,0.20579769,-0.060750563,70
-0.04548796,0.031428415,-0.017357307,-0.2792631,0.62041986,0.394132,-0.03595266,0.098867856,-0.085538745,0.203038,0.05937974,0.0027681903,-0.0392373,0.18592258,-0.093119554,71
-0.039443582,0.01646832,-0.029653791,-0.30363694,0.60264975,0.39497623,-0.037987877,0.12449641,-0.09044933,0.19329698,0.059329968,-0.017346596,0.004626351,0.16469686,-0.04202278,72
-0.04452806,0.03837507,-0.042430732,-0.29241422,0.56778854,0.3897015,-0.039733317,0.12257139,-0.040675815,0.20130776,0.06366277,-0.036193512,0.0076368977,0.16425076,-0.059319012,73
0.037918627,0.03161727,0.08258299,-0.26224998,0.497461,0.35942975,-0.013771575,0.13007186,-0.16603625,0.15953085,-0.031194506,-0.058321033,0.120668285,0.14150849,-0.029215805,74
0.062313642,0.027032368,-0.020716457,-0.25163427,0.5415746,0.39177898,0.0467892,0.080267176,-0.3066654,0.1793538,-0.0015728797,0.012128041,0.063434295,0.3283393,-0.15242238,75
0.15716086,0.011443319,-0.023756268,-0.22180296,0.48956075,0.3783893,-0.008980584,0.14941911,-0.20025896,0.12909901,-0.015048559,0.011379699,0.024770822,0.21893944,-0.10031498,76
0.14549382,0.036559794,-0.037588824,-0.1823035,0.5169343,0.48683888,-0.078299515,0.14998005,-0.22454767,0.08659153,-0.027757293,-0.020120334,0.049741637,0.13928874,-0.040811583,77
0.1226556,-0.0019250878,-0.057027478,-0.1940319,0.49608234,0.3128121,-0.055671804,0.19285668,-0.24864326,0.1713849,-0.095812045,0.06263029,0.09843212,0.23983324,-0.0435757,78
0.119223304,-0.07884319,-0.16424042,-0.24187589,0.561412,0.23923373,0.11995254,0.0089713875,-0.0868019,0.23002666,-0.09820856,0.28475812,0.13798176,0.06466457,-0.09625411,79
0.14304084,-0.019574013,-0.12766042,-0.304622,0.5588544,0.28832215,0.1676235,-0.1108574,-0.19296154,0.23110099,-0.0755491,0.16500941,0.1264532,0.14649151,0.0043284902,80
0.1623359,-0.0595375,-0.24369155,-0.3265312,0.4813428,0.39629352,0.0756627,0.03372681,0.07105999,0.3584054,-0.105399124,0.04383427,0.06587962,0.019509403,0.027108956,81
0.1833366,-0.010448539,-0.14236692,-0.38986173,0.44209513,0.39282322,0.10501348,-0.08713636,-0.16619612,0.4154264,-0.08427689,-0.020240758,0.21765591,0.08336853,0.06080805,82
0.2642547,-0.03095749,-0.13659652,-0.288396,0.37319162,0.27610824,0.1025411,-0.11147145,-0.1028863,0.19122447,0.015678806,-0.004431743,0.13097526,0.16658224,0.15418309,83
0.1601718,-0.031788953,-0.13159277,-0.27514714,0.3517543,0.32857397,0.118582845,-0.07930152,-0.09190857,0.22973074,-0.08032431,-0.028110027,0.10310527,0.2729431,0.15331125,84
0.18042517,-0.082646795,-0.097765,-0.40800965,0.4528631,0.48832506,0.21494831,-0.1421431,0.010440421,0.17880931,0.015175439,0.0039938395,0.028173132,0.1718117,-0.014400902,85
0.13311669,0.03353894,-0.19972384,-0.25244504,0.41162574,0.39079496,0.10921009,-0.10892383,-0.06160688,0.31388697,0.15779991,-0.025792334,-0.020871768,0.14173985,-0.022349462,86
-0.046092898,0.0016672664,-0.019580761,-0.30526227,0.4571115,0.52530247,0.16014922,0.012654917,-0.25521624,0.3988073,0.009438122,-0.02047612,0.054773502,0.11745012,-0.09072612,87
0.013599711,-0.07631508,-0.045025505,-0.31658766,0.43258765,0.27457458,0.0360369,0.12382564,-0.20907272,0.27816534,0.07173662,0.10771752,0.14234242,0.19204098,-0.025626408,88
0.001055785,-0.07590868,-0.04929318,-0.31114116,0.463399,0.3418718,-0.0017051673,0.025281401,-0.010016682,0.27959946,0.019258222,0.17221244,0.11764226,0.15738796,-0.12964344,89
0.08521346,0.023831837,0.06799734,-0.19303696,0.5166167,0.29236424,0.11323061,-0.26764452,0.031751722,0.30700237,-0.06252467,0.08811878,-0.052180357,0.16096744,-0.11170796,90
0.050440103,0.017068142,-0.037096478,-0.20179535,0.37064904,0.355767,0.03975117,-0.14878324,0.011454898,0.30311242,-0.10650243,0.076627836,0.23886155,0.17794938,-0.14750403,91
0.06785109,0.023113843,0.21875669,-0.19413555,0.3948693,0.42948377,0.119410574,-0.28427544,0.11739285,0.03364739,-0.30786657,0.020497808,0.27581194,0.19642459,-0.11098225,92
0.05930079,-0.29118502,-0.3064413,-0.36985424,0.8933155,0.54305166,0.31148973,-0.1332929,-0.058046907,0.24892746,-0.049778763,-0.14308436,0.27261215,0.090521805,-0.06753554,93
-0.051639594,-0.091754384,0.06299552,-0.21015139,0.96952194,0.45223105,0.36693075,-0.54723567,-0.19089232,0.368366,-0.16073346,-0.30152932,0.05269633,0.17032929,0.11086523,94
-0.060106244,-0.16881847,-0.05158712,-0.23213384,0.90071416,0.4819054,0.28204012,-0.32583424,-0.1851356,0.33673728,0.030125355,-0.2853847,0.15041123,0.096783146,0.030283494,95
0.0065148016,-0.23758848,-0.17674598,-0.25950962,0.8743249,0.56110334,0.19628085,-0.2851655,-0.11020336,0.27101672,0.3662668,-0.1346887,0.06533704,0.04454994,-0.18149276,96
-0.047260586,-0.151527,-0.05065739,-0.112875275,0.7356068,0.34292397,0.15692711,-0.35681587,-0.13009371,0.22947791,0.19672556,-0.07292057,0.05143995,0.039547786,0.1695013,97
-0.030639153,-0.06828696,0.15636756,-0.033367537,0.7801434,0.35045895,0.20050049,-0.5652214,-0.21190922,0.2276225,0.18905021,-0.29767695,-0.018029818,0.06518782,0.2558001,98
