Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Asset_16_Weight,Asset_17_Weight,Asset_18_Weight,Asset_19_Weight,Asset_20_Weight,Asset_21_Weight,Asset_22_Weight,Asset_23_Weight,Asset_24_Weight,Asset_25_Weight,Asset_26_Weight,Asset_27_Weight,Asset_28_Weight,Asset_29_Weight,Day
-0.08149426,0.049473375,-0.007892845,-0.23320396,0.27160293,0.006863361,1.0252417,-0.23490043,-0.06669043,0.0904095,-0.022345636,0.2609269,-0.1672769,0.10953573,-0.3741718,-0.00038957858,0.9410776,0.24764493,0.10816718,-0.356262,0.2611061,-0.38481632,-0.28512666,0.024439923,0.06089766,-0.8331464,-0.12883452,0.35976204,0.35940278,134
-0.1326786,0.052376065,-0.09944493,-0.26601383,0.24060714,0.0045175194,1.0743024,-0.22620425,-0.14381087,0.29221445,0.118981734,0.40596944,-0.14298931,0.31705397,-0.57009596,-0.0013634742,1.0192065,0.06811593,0.063572034,-0.446759,0.28667498,-0.378645,-0.40842453,-0.029827615,0.058447253,-0.77392966,-0.14212726,0.41473195,0.345543,135
-0.07406685,0.057211068,-0.1467206,-0.2964072,0.18506812,-0.1352407,1.0198745,-0.16387512,-0.22243282,-0.25541863,0.16607706,0.4496434,0.0012507605,0.15479419,-0.44958997,-0.055936076,0.96881324,0.09650572,0.15050702,-0.107681535,0.45697048,-0.32158124,-0.45512488,-0.100149445,0.12366302,-0.75040466,-0.15122402,0.39238653,0.46308863,136
-0.12969765,0.0574592,-0.3115985,-0.27075434,0.1357795,-0.07264624,0.91452307,-0.13327833,-0.3598771,-0.22091179,0.6209238,0.47733355,0.11498555,0.09596131,-0.3578048,-0.017088333,0.9824609,0.024638074,0.10667643,-0.11330084,0.42710298,-0.28992486,-0.5156728,-0.238676,0.04318414,-0.62320536,-0.14960596,0.34540546,0.45760894,137
-0.08283688,0.06788406,-0.2795151,-0.19648221,0.16459759,-0.062123016,0.65788144,-0.19821732,-0.45587674,-0.4132147,1.1364572,0.26949996,0.008038974,-0.02835609,-0.19267182,0.03955557,0.8729653,0.109002165,0.18228339,0.018735358,0.41413188,-0.23534812,-0.37284657,-0.3570711,-0.13306431,-0.44719815,-0.13580124,0.19701655,0.45257407,138
-0.14058448,0.080180846,-0.39827597,-0.23924331,0.08430815,-0.21546593,0.617385,0.083347134,-0.4078722,-0.5094018,0.036908038,0.25889245,0.6100137,0.28043863,-0.39245248,-0.04563364,0.6877606,0.15153295,0.17843042,0.017634923,0.6658623,-0.14930797,-0.34251788,-0.026736828,0.027680513,-0.4466417,-0.13373536,0.25582328,0.41167057,139
-0.1149407,0.06460526,-0.3576158,-0.2260736,0.094464906,-0.22959484,0.49927232,0.15740731,-0.4645563,-0.4354884,0.39318323,0.31953475,0.381346,0.37494203,-0.4547968,-0.03783674,0.65725577,0.08788787,0.14768001,0.018809976,0.63373667,-0.10916278,-0.38112566,-0.15883195,-0.0028599354,-0.32695416,-0.11794588,0.21005078,0.37760675,140
-0.10239138,0.05470677,-0.3021838,-0.20751773,0.09185784,-0.24349354,0.37009168,0.29361695,-0.47462556,-0.39829874,0.39624384,0.29685777,0.2579709,0.30425426,-0.3975709,-0.04307279,0.5460248,0.19325614,0.1693365,-0.01970464,0.6437188,-0.101654574,-0.35862264,-0.15925126,-0.01996836,-0.280767,-0.09822257,0.19396895,0.39544025,141
-0.14333566,0.01349674,-0.4531049,-0.26541993,0.058814675,-0.20788024,0.32739764,0.578742,-0.11844486,-0.48903045,-0.10539412,0.14092703,0.7199981,0.3597626,-0.31450942,-0.11270318,0.64932203,-0.027073637,0.013896172,0.07455768,0.6428208,-0.22111301,-0.23987249,0.052729387,0.20672005,-0.5756062,-0.07615952,0.3058944,0.20456827,142
-0.12667699,0.04349674,-0.49455646,-0.24597654,0.020207852,-0.22651678,0.47838464,0.30346122,-0.17208685,-0.24191958,0.14472377,0.4214216,0.5493919,-0.069588244,0.019577634,-0.07194636,0.49930358,0.14737165,-0.1165793,-0.17504609,0.73866206,-0.23408811,-0.49016502,-0.01449956,0.26340982,-0.4429457,-0.08359174,0.17510438,0.4016664,143
