Day,Actual_Return,VaR_1_percent,VaR_5_percent,VaR_10_percent
54,-0.00896763021048698,0.012494886235416086,0.008783811919399424,0.006805662173857501
55,-0.0015971292580687427,0.01174368803081794,0.008129684132198367,0.006203276767735951
56,-0.0003247197864123736,0.006919552325879633,0.004754112413269139,0.003599847085401871
57,0.01274619602156483,0.00965825474678583,0.006746568568230187,0.005194524393757796
58,-0.0019294774918871983,0.011085196221388174,0.007737453363780337,0.005952973690782327
59,0.00196160164092374,0.012120394158972052,0.008501452333966123,0.006572412858962964
60,-0.00040725404991304886,0.012100210467922787,0.008511145513371317,0.006598031594865907
61,0.00011109827523495246,0.01087580442308805,0.007629755055277998,0.005899482044242682
62,-0.004215642717347221,0.011865276935994965,0.00832501177220931,0.006437910076975548
63,0.0075528047680884,0.011022202136007244,0.0076759992442856995,0.005892340434161001
64,-0.0021253608517207818,0.0082528752906118,0.0057064701740541035,0.004349135288135685
65,0.0005561544835143096,0.007813199791724738,0.005403721860856908,0.004119374593742337
66,0.009511907962484583,0.008075643614656392,0.005618084814794937,0.004308108538216805
67,0.0018749503169111005,0.010166668094932796,0.00701924935583551,0.005341550380369557
68,-0.004051809901409059,0.010083891506577868,0.007002893876520596,0.005360599985609011
69,0.000141445720513984,0.009774658509863282,0.0067618625965480865,0.00515592292469285
70,0.00110184744480215,0.008230584949428842,0.005674824845120617,0.0043125033798285676
71,-0.0008195692013663053,0.009758990572509153,0.00677457997853919,0.0051837708073041
72,-0.005414949521252305,0.010358469141587851,0.007195653400179554,0.005509747212027995
73,-0.005340181560019017,0.009915153882298185,0.0068196419073629855,0.005169611295172858
74,-0.0019747681275222384,0.010482164287404477,0.007273585414815669,0.005563285663347626
75,0.0016238975558205279,0.01145107810916734,0.008055218039555898,0.0062450899848290956
76,-0.004208521864041089,0.009140653089382209,0.0063420796017561775,0.004850328976193404
77,0.001793530565357744,0.010345280852312363,0.007171984397783335,0.005480491574003545
78,-0.009700798237988847,0.00863507311324478,0.0059966971772973665,0.004590338198224076
79,0.0007941892586738089,0.008705341427786662,0.006019389001754523,0.004587669867173515
80,-0.005807467423905273,0.009613508842668877,0.006676248526038657,0.005110572322019905
81,0.0018005319766776409,0.008727920563464336,0.006012016664424727,0.004564332207227402
82,0.0005338012638961822,0.010083370644558312,0.0070506814602765595,0.0054341378862761535
83,-0.0028709449045722256,0.008378411124542472,0.0058085572660356985,0.004438723270972615
84,0.003463044416009575,0.00837363260205464,0.005822573885676219,0.004462758446549397
85,0.0055722194932643215,0.009482078201378379,0.006570632933758042,0.005018717174365705
86,0.001983174810921066,0.008522592626497278,0.005857450644306272,0.004436824301376263
87,0.00328911200605218,0.010183238368740431,0.0071566587182519,0.005543371767991495
88,-0.004923621445734665,0.013882037659142199,0.009787501274893213,0.007604951043641551
89,-0.017334042394796415,0.01032885863273356,0.0071441498868332915,0.0054465738592829275
